,post,targetStereotype,targetMinority
3325,"What is difference between black man and gorilla? You can visit zoo to feed gorilla, but you cannot visit jail to feed black man","[""all black people are in jail"", ""black folks are criminals"", ""black folks are like animals"", ""black people are animals"", ""criminals"", ""go to jail""]","[""black folks""]"
3331,What is the difference between Santa Claus and jews? Santa comes down the chimney.,"[""implies jews should die"", ""jews belong in concentration camps"", ""jews deserved to be burned"", ""lessens pain of holocaust victims"", ""makes a joke about the holocaust"", ""makes fun of holocaust""]","[""jewish folks""]"
3334,What is the difference between a Muslim refugee and E.T. E.T. Learned to speak English and wanted to go home,"[""don't speak english"", ""muslims are taking over the country."", ""muslims are unwelcome and won't go home"", ""muslims aren't smart enough to learn english"", ""muslims do not want to learn english."", ""won't leave""]","[""muslim folks""]"
3335,"What is the difference between a black skinned unga bunga monkey man and a bucket filled with a creamy stinky steaming hot disgusting pile of shit? The bucket

&amp;#x200B;

&amp;#x200B;

also, a bucket full of shit doesn't steal your stuff","[""black folks are all criminals"", ""black folks are equivalent to feces"", ""black folks are like monkeys"", ""black folks steal"", ""black people are worthless"", ""is a thief"", ""is similar to feces""]","[""black folks""]"
3336,"What is the difference between a crucifixion and a circumcision? In a crucifixion, they throw out the whole Jew.","[""jew's are worth less"", ""jewish folks are less than others"", ""jewish folks don't have value"", ""jewish people get circumcisions"", ""jewish people get killed and thrown out"", ""jews lives aren't worth anything""]","[""jewish folks""]"
3337,What is the difference between a jew and a pizza? Pizza comes out of the oven,"[""killing jewish people is joke-worthy"", ""makes a joke about killing them"", ""the holocaust is funny"", ""trivializes harm to victims""]","[""genocide victims"", ""holocaust victims"", ""jewish folks""]"
3338,What is the difference between a nigger and an ape? The ape doesn’t get hit with a whip,"[""black people are apes"", ""black people are n-words"", ""black people are property"", ""black people are slaves"", ""black people are stupid"", ""black people are subhuman"", ""black people are worthless"", ""black people get whipped"", ""blacks are worthless""]","[""black folks""]"
3339,"What is the difference between the highway at rush hour and the line at KFC? Nothing, they are both black and dangerous to cut through","[""are dangerous"", ""black people are violent"", ""black people eat fried chicken"", ""criminal"", ""dangerous"", ""eat at kfc a lot""]","[""black folks""]"
3340,What is the difference of a five year old girl and a refrigerator? The refrigerator doesn’t scream when you put your meet in.,"[""children want sexual attacks"", ""trivializes harm to victims""]","[""assault victims""]"
3341,What is the diffrence between Jews and pizza? Pizza don't scream while it is baking.,"[""are lesser humans"", ""holocaust reference"", ""jewish people are stupid"", ""jewish people deserve to die"", ""jews deserved to die in the holocaust"", ""jews should die""]","[""jewish folks""]"
3342,What is the fastest way to get jewish guests out of your house? vacuum cleaner,"[""are fearful of silly things"", ""jewish folks are dirty"", ""jewish folks can't use electricity"", ""jewish people were burned alive"", ""jewish people were massacred"", ""overstay their welcome""]","[""jewish folks""]"
3343,"What is the first sentence of Africa's national anthem? ""Apes together strong""","[""black people are all african"", ""black people are animals"", ""black people are apes"", ""black people are monkeys"", ""black people are worthless"", ""blacks are monkeys."", ""blacks are sub-human.""]","[""black folks""]"
3344,What is the jewish girl doing on a swing? Annoying a german sniper.,"[""are lesser humans"", ""holocaust reference"", ""jewish kids should be killed"", ""jewish people are better off dead"", ""jewish people should be executed"", ""jews are for germans to kill""]","[""jewish folks""]"
3345,What is the most obvious difference between men and women? Men aren't property.,"[""are property"", ""women are objects"", ""women are property""]","[""women""]"
3346,What is the only football team a black person can join? The stealers.,"[""black folks are criminals"", ""black folks are thieves"", ""black people are criminals"", ""black people commit crimes"", ""black people steal things"", ""blacks belong in jail""]","[""black folks""]"
3347,What is the opposite of a human being Black,"[""are second class citizens"", ""black folks aren't human"", ""black folks don't matter"", ""blacks are less than human"", ""blacks lives are worth less than whites"", ""not intelligent""]","[""black folks""]"
3348,What is the similarity between a women and a remote? They will work if u hit them,"[""abusing women is funny"", ""it's ok to hit women"", ""women are lazy, you should abuse them"", ""women are not equal"", ""women are objects"", ""women deserve to be beat"", ""women won't work unless you abuse them""]","[""assault victims"", ""women""]"
3349,What is the similarity between human and clothes? We prefer to buy the black ones.,"[""are sold as slaves"", ""black people are criminals"", ""black people should be slaves again"", ""white people buy black""]","[""black folks""]"
3350,What is the worst thing about having a small dick ? Toddler's pussy bleeds less during the penetration.,"[""having sex with a child"", ""trivializes harm to victims""]","[""child rape victims"", ""child sex victims""]"
3351,"What is white on top, and black at the bottom? The social ladder.","[""black folks are at the bottom of the social ladder"", ""black folks are less than whites"", ""black folks are poor"", ""black people are a waste"", ""black people are beneath white people"", ""black people are poor"", ""black people belong below white people""]","[""black folks""]"
3353,What is worse than finding a worm in your apple? AIDS,"[""trivializes aids""]","[""folks with physical illness/disorder""]"
3355,What kind of car do terrorists drive? A Porsche 9/11,"[""trivializes harm to victims""]","[""terrorism victims""]"
3356,What kind of punch kills 20 kids and 6 adults? A Sandy Hook,"[""mass shooting victims are frequently school children"", ""mass shooting victims deserve their trauma"", ""mass shootings are funny"", ""trivializes harm to victims""]","[""mass shooting victims""]"
3358,What martial arts type was hitler scared of? jewjitsu,"[""jewish folks are a joke."", ""jewish folks deserved to die."", ""trivializes harm to victims""]","[""genocide victims"", ""jewish folks""]"
3359,What never eats but still is alive? The children of africa,"[""africans are all extremely poor."", ""africans are all starving."", ""africans are malnourished"", ""africans are poor"", ""all africans are poor."", ""all africans are starving.""]","[""Africa"", ""black folks"", ""poor folks""]"
3360,What part of a vegetable cant you eat? The wheelchair,"[""all disabled folks can't do anything"", ""are edible except the wheelchair"", ""are vegetables"", ""disabled people are vegatables"", ""physically disabled people are useless"", ""physically disabled people are vegetables""]","[""physically disabled folks"", ""physically disabled folks, folks with physical illness/disorder, folks with mental illness/disorder, mentally disabled folks""]"
3361,What place do black people like to be peaceful? In their coffin.,"[""are not peaceful"", ""black people are loud"", ""black people are obnoxious"", ""blacks are unwanted"", ""blacks should be dead"", ""deserves to die""]","[""black folks""]"
3362,What runs faster then a mexican who just stole your TV? His cousin with the DVD player,"[""mexicans are criminals"", ""mexicans are poor"", ""mexicans are thieves""]","[""latino/latina folks""]"
3363,What separates man from animal? The Mediterranean.,"[""africans are inferior to other people"", ""africans are less than human"", ""africans are like animals"", ""africans are savages"", ""black folks are animals"", ""black folks are not human""]","[""Africans"", ""arabic folks, african folks"", ""black folks""]"
3364,What should you never give a dyslexic person for breakfast? Alpha-bits,"[""dyslexic people are inferior"", ""dyslexic people can't spell""]","[""mentally disabled folks""]"
3367,What the hell is this recurring weirdness @janicewidit I swear I'm not sexist but female chipotle employees can't roll burritos for shiizzzz,"[""women can't do their jobs correctly"", ""women make food""]","[""women""]"
3369,What to do after spreading Islam? Reload and keep firing.,"[""islamic folks are shot down"", ""it's okay to kill islamic folks"", ""muslim people are terroists"", ""muslims should be killed""]","[""islamic folks"", ""muslim folks""]"
3370,What two kinds of people are totally different but always look the same? Asians and hepatitis patients,"[""all look the same"", ""are not as good as whites"", ""are yellow"", ""asians are yellow"", ""asians look like they are sick"", ""have slanted eyes""]","[""asian folks""]"
3371,What type of adoption does Muslim give to 9 years old kid? Force Marriage.,"[""marry children."", ""muslims force children to marry"", ""muslims marry young girls"", ""use force on children.""]","[""muslim folks""]"
3372,"What was Adolf Hitler's biggest mistake ? Not killing the 9,000,001 th Jew .","[""all jewish people should be killed"", ""jewish people should be killed."", ""killing jews is funny"", ""makes fun of holocaust"", ""trivializes harm to victims""]","[""holocaust victims"", ""jewish folks""]"
3375,"What was the KKK cosmetologist thinking about? You know, getting rid of black heads.","[""black folks are inferior"", ""black folks are inferior to whites."", ""black folks deserve to be wiped out."", ""black lives don't matter"", ""killing blacks is just fine"", ""killy blacks is funny""]","[""black folks""]"
3376,What was the best part about being black in the 50's? You could sit in the back of the bus and masturbate and nobody would notice,"[""black people are less than"", ""black people are perverts"", ""black people deserve to be in the back of the bus"", ""black people were lucky to have segregation""]","[""black folks""]"
3377,What was the hardest part of the holocaust? My dick.,"[""jewish people are inferior"", ""jewish people are unwanted"", ""trivializes harm to victims""]","[""Holocaust victims"", ""jewish folks""]"
3381,What were the gays’ reaction to Pence and Trump being elected? They were shocked,"[""being gay is unnatural."", ""gay folks should be \""fixed\"" with conversion therapy."", ""gay people are sometimes forced into electric shock therapy to cure them of being gay"", ""gay people deserve to die"", ""gay people have less rights than straight people"", ""gays are gross""]","[""gay men"", ""lesbian women, gay men""]"
3384,What would you call an Arab with a wooden leg? A sticky bomb.,"[""arabs are dangerous"", ""arabs are terrorists"", ""arabs carry bombs"", ""extremist"", ""violent""]","[""arabic folks""]"
3385,What's A Jew's Biggest Fear? Taking a shower.,"[""jewish folks are inferior"", ""jewish folks deserved the holocaust/are defined by their history"", ""jewish people always think about the holocaust"", ""jews are dirty"", ""jews don't shower"", ""makes light of the holocaust""]","[""jewish folks""]"
3387,What's Hitler's favorite breakfast beverage? Freshly squeezed orange jews.,"[""jewish folks deserved the holocaust"", ""jewish folks deserved to die in the holocaust"", ""jewish folks were massacred in the holocaust"", ""jewish folks were the main victims of hitler's tyrrany"", ""trivializes harm to victims""]","[""holocaust victims"", ""jewish folks""]"
3388,What's Hitler's favorite time of the year Gas season,"[""makes light of the holocaust"", ""the holocaust is funny"", ""the holocaust is joke-worthy"", ""trivializes harm to victims"", ""trivializes the holocuast""]","[""genocide victims"", ""jewish folks""]"
3389,What's a 1000 meters long and has an IQ of 68? A black lives matter parade.,"[""black lives matters is a worthless cause"", ""black lives matters supporters are stupid"", ""black people are stupid"", ""black people are subhuman"", ""blacks are lazy"", ""blacks require too many rights""]","[""black folks"", ""black lives matters supporters""]"
3390,What's a Jew's favorite book? Gone with the wind.,"[""advocates holocaust"", ""are turned to ash"", ""burn up"", ""don't exist"", ""holocaust reference"", ""makes light of concentration camps""]","[""jewish folks""]"
3392,What's a black person's favorite plant? Plantation,"[""black folks are less than others"", ""black folks are not human"", ""black folks are slaves"", ""work on plantations""]","[""black folks""]"
3395,"What's another name for black people? Dark jokes.

I'll see myself out.","[""are all dark"", ""are made fun of"", ""are second class citizens"", ""being black is funny"", ""blacks are jokes"", ""not intelligent""]","[""black folks""]"
3396,What's better than a gold medal at the Paralympics? Legs,"[""physically disabled are inferior"", ""physically disabled folks are unhappy."", ""physically disabled folks can't lead fulfilling lives."", ""the accomplishments of physically disabled don't matter"", ""trivializes disability""]","[""physically disabled folks""]"
3397,What's better than the Holocaust? The real caust.,"[""trivializes harm to victims""]","[""holocaust victims""]"
3398,What's better than winning the special Olympics? Not being retarded,"[""are not human beings"", ""mentally disabled folks are dumb"", ""mentally disabled folks lives are worthless"", ""mentally disabled people can't be happy"", ""mentally disabled people don't matter"", ""that they are too stupid for basic actions""]","[""mentally disabled folks""]"
3399,What's black and 6 feet tall? The remnants of the jews,"[""holocaust jokes"", ""jewish people should be killed."", ""jews burned in ovens in the holocaust"", ""jews deserved to die in the holocaust"", ""jews lives don't matter"", ""makes fun of holocaust""]","[""jewish folks""]"
3400,"What's black and blue, and doesn't like sex? The kid in my trunk.","[""trivializes harm to victims""]","[""assault victims, child rape victims"", ""rape victims""]"
3401,"What's black and doesn't work Africa.

Also the 10 year old in my basement.","[""black people are lazy"", ""black people are property"", ""implies black people are lazy"", ""makes light of child slavery""]","[""black folks""]"
3403,What's black yellow and blurry? A bus full of niggers rolling down a hill,"[""are niggers"", ""black people should be called slurs"", ""deserve to die"", ""low lives"", ""not human"", ""trivializes harm to black people""]","[""black folks""]"
3404,"What's black, white and rolls around on the beach? A black man and a seagull fighting over a chip.","[""blacks are animals"", ""blacks are criminals"", ""blacks are worthless""]","[""black folks""]"
3406,What's even worse than black men? Black women feminists.,"[""black folks are annoying"", ""black folks are inferior"", ""black people are less"", ""black people are no good."", ""black people are terrible."", ""black people lack human value."", ""black women are worse than black men."", ""feminists are incompetent"", ""feminists are intolerable."", ""feminists are irritating"", ""feminists lack human value."", ""women lack human value.""]","[""Feminists"", ""black folks"", ""feminists"", ""women""]"
3407,What's faster than a school full of black kids? A loaded gun.,"[""black folks are fast"", ""black folks are violent"", ""black people are criminals"", ""black people are uneducated"", ""implies black kids are fast"", ""implies black kids are involved in shootings""]","[""black folks""]"
3408,What's faster than the black kid running down the street with your TV? His brother with your Xbox.,"[""black folks are all criminals"", ""black folks are always stealing"", ""black folks can run fast"", ""black people steal"", ""families of blacks steal together""]","[""black folks""]"
3410,What's grey and looks great on cops and fire fighters? The world trade center,"[""trivializes harm to victims""]","[""terrorism victims""]"
3411,"What's long, black, and makes high school girls scream when guys pull it out? An AR-15.","[""making fun of mass shootings"", ""trivializes harm to victims""]","[""mass shooting victims""]"
3412,What's one thing you never say to a school shooter Think of the children,"[""trivializes harm to victims"", ""trivializes harm to victims.""]","[""mass shooting victims""]"
3416,What's similar between cooks and trannies They both cut the meat,"[""trangender people get sex changes"", ""trans men are freaks."", ""trans men are lacking."", ""trans women aren't normal"", ""trans women cut off their penises"", ""transgender people cut off their sexual body parts""]","[""trans men"", ""trans women""]"
3419,What's the Best/worst Spongebob quote to say in bed? ARE YA READY KIDS?!,"[""belittles the severe pain that molestation victims feel"", ""trivializes harm to victims""]","[""assault victims"", ""child rape victims""]"
3421,What's the best part about using a vegtible for sex?  they can't escape.,"[""are vegetables"", ""can't move""]","[""physically disabled folks""]"
3422,What's the best thing about being Ethiopian? You won't have to be for very long.,"[""ethiopian folks don't have food"", ""ethiopian folks don't want to live"", ""ethiopian is not a great thing to be"", ""ethiopians die young"", ""people want to get rid of them"", ""you don't stay who you are""]","[""Ethiopian"", ""Ethiopian folks"", ""ehiopians""]"
3423,What's the best thing about fucking twenty four year olds? There's twenty of them.,"[""child sexual assault victims are objectified"", ""kids are molested"", ""pedophiles go after kids""]","[""child sexual assault victims"", ""kids""]"
3424,What's the best thing that came out of Auschwitz? An empty train,"[""deserve to die"", ""deserves bad things"", ""jewish people should die."", ""jewish people were happy to be gone."", ""jews deserved to be burned by nazi's"", ""jews lives aren't worth anything""]","[""jewish folks""]"
3425,What's the brightest star in Africa? Starvation,"[""africa is poor"", ""africans have no food"", ""are inferior to other groups"", ""are poor"", ""there is no food there"", ""they are all starving""]","[""Africans"", ""africans"", ""black folks""]"
3426,What's the difference b/w Jesus and a pic of Jesus? You need only one nail to hang the pic.,"[""christians are useless"", ""christians believe a fairy tale""]","[""christian folks""]"
3427,What's the difference b/w a Muslim and a Black Guy? One shoots and the other gets shot.,"[""all muslims are terrorists."", ""black people are criminals."", ""blacks are violent."", ""do bad things"", ""get shot at"", ""group gets shot at alot"", ""inflict harm on others"", ""muslims are violent."", ""shoot people"", ""they all have guns""]","[""black folks"", ""muslim folks""]"
3428,What's the difference between Batman and a black man? Batman can go out at might without robin.,"[""black people are compelled to steal"", ""black people are criminals"", ""black people are theives"", ""black steal everything"", ""blacks are criminals""]","[""black folks""]"
3429,What's the difference between Jewish people and boy scouts? Boy scouts come back from camp,"[""deserves to be hurt"", ""jews arent people"", ""jews belong in concentration camps"", ""trivializes the holocaust"", ""were victims of hitler""]","[""jewish folks""]"
3430,What's the difference between Jews and money? It'd be a tragedy if someone lost 6 million dollars,"[""jewish people are all about money"", ""jewish people deserve to die"", ""jewish people were massacred"", ""jews deserved to be burned by nazi's"", ""jews lives aren't worth anything"", ""nobody cares if jewish people die"", ""trivializes harm to victims.""]","[""jewish folks"", ""terrorism victims""]"
3431,What's the difference between Niggers and Dog Shit Dog Shit isn't chained up and doesn't ask for food.,"[""black people are animals"", ""black people are inferior"", ""black people are worthless"", ""black people should be enslaved"", ""black people should be slaves""]","[""black folks""]"
3432,"What's the difference between Santa Claus and a Holocaust Jew? Santa Claus is jolly, fat, and goes DOWN the chimney.","[""are victims"", ""holocaust"", ""jewish people should be killed."", ""makes fun of holocaust"", ""trivializes harm to victims.""]","[""holocaust victims"", ""jewish folks""]"
3433,What's the difference between Santa Clause and the Jews? Santa goes *down* the chimney,"[""are burned alive"", ""are holocaust victims"", ""deserve to get burnt"", ""holocaust reference"", ""jewish people are burned to death"", ""jewish people deserved to die""]","[""jewish folks""]"
3434,What's the difference between Santa and the Jews?  Santa goes down the chimney.,"[""go up in smoke"", ""jews deserved to be burned by nazi's"", ""trivializes harm to victims"", ""trivializes victims"", ""turned to ash""]","[""jewish folks"", ""terrorism victims""]"
3435,"What's the difference between Tea and Mexicans? One was deported and the other imported, both purposefully.","[""immigrants do not belong here"", ""immigrants should be deported"", ""mexican's do not belong here"", ""mexican's should be deported"", ""mexicans don't belong"", ""mexicans dont belong here"", ""mexicans should be deported"", ""mexicans should not be in usa""]","[""immigrants"", ""latino/latina folks""]"
3437,"What's the difference between a Black Lives Matter rally and this sub? Nothing, they both hate white people.","[""all blacks hate white people"", ""black people are hypocritical"", ""black people are prejudice"", ""black people are prejudiced"", ""black people don't like white people"", ""blacks are racists""]","[""black folks""]"
3438,"What's the difference between a Catholic priest and a pedophile? Nothing, the two are synonymous.","[""catholic priests are child molestors"", ""catholic priests are pedophiles"", ""catholics are pedophiles""]","[""christian folks""]"
3440,What's the difference between a Jew and a boy scout? The Boy scout comes back from his camp.,"[""jewish people should be killed."", ""makes a joke about killing them"", ""makes fun of holocaust"", ""trivializes harm to victims""]","[""holocaust victims"", ""jewish folks""]"
3441,What's the difference between a Jew and a pizza? The pizza doesn't scream when it's put in the oven.,"[""holocaust"", ""jewish folks are submissive"", ""jewish people are executed"", ""jewish people below in the oven"", ""jews are inferior"", ""trivializes harm to victims"", ""victims""]","[""holocaust victims"", ""jewish folks"", ""terrorism victims""]"
3442,What's the difference between a Jew and harry potter? Harry can escape the chamber.,"[""are lesser humans"", ""holocaust is funny"", ""holocaust reference"", ""jewish folks were slaughtered in the holocaust"", ""jews should be gassed"", ""many jews were unable to escape the concentration camps in ww2""]","[""jewish folks""]"
3443,What's the difference between a black man and a pizza? A pizza can feed a family of four,"[""are second class citizens"", ""black men don't support their children"", ""black people don't work"", ""don't care for their families"", ""don't have money"", ""don't work""]","[""black folks""]"
3444,What's the difference between a black man and property? I don't know.,"[""are owned"", ""are second class citizens"", ""are still seen as slaves"", ""black men were property"", ""black people were owned""]","[""black folks""]"
3445,What's the difference between a black person and a bicycle? The bicycle doesn't start singing when you put chains on it.,"[""black people are criminals"", ""black people belong to be in jail"", ""makes fun of blacks in chains"", ""should be enslaved"", ""sing"", ""trivializes slavery of blacks""]","[""black folks""]"
3446,What's the difference between a black person and a bucket of shit? The bucket.,"[""black people are excrement"", ""black people are less than human"", ""black people aren't good"", ""they are considered garbage"", ""they are waste""]","[""black folks""]"
3447,What's the difference between a black person and a chicken? One's free range,"[""black folks are all criminals"", ""black folks are all incarcerated"", ""black people are inferior"", ""black people are slaves"", ""blacks are worthless""]","[""black folks""]"
3448,What's the difference between a black person and a couch? The couch can support a family,"[""are lazy"", ""black people are lazy"", ""black people dont take care of their families"", ""don't work"", ""irresponsible"", ""poor""]","[""black folks""]"
3449,What's the difference between a black slave and a black surfer? One hangs high and the other hangs loose.,"[""black folks are slaves"", ""black folks should be hanged"", ""black people should be lynched"", ""lynching is funny"", ""slavery is funny"", ""trivializes racism""]","[""black folks""]"
3450,What's the difference between a blonde and a mosquito? A mosquito stops sucking after you slap it,"[""blondes are dumb"", ""blondes are sex objects"", ""blondes are whores"", ""blondes like rough sex"", ""misquitos are better than women"", ""women suck""]","[""Blondes"", ""blondes"", ""women""]"
3451,What's the difference between a bowl of salad and a black male? I don't have a bowl of salad chained up begging for food in my basement,"[""black people are inferior"", ""black people are property"", ""black people are slaves"", ""blacks are inferior."", ""blacks were meant to be slaves.""]","[""black folks""]"
3452,What's the difference between a bowling ball and a black pussy? You could eat a bowling ball if you had to.,"[""black folks do not use protection for sex"", ""black folks have poor sexual hygeine"", ""black women are dirty"", ""black women are dirty."", ""black women are disgusting"", ""black women do not take care of themselves.""]","[""black folks""]"
3453,What's the difference between a bucket of shit and a nigger the bucket...,"[""black folks are dirty"", ""black folks are feces"", ""black folks are n*ggers"", ""black folks are objects/less than human"", ""black folks belong in a bucket"", ""black people are dirty"", ""black people are worthless""]","[""black folks""]"
3454,What's the difference between a dog and a pizza? One can feed a family of four Asian people.,"[""asian people eat dogs"", ""asian people eat weird food"", ""asians eat dogs"", ""asians eat weird food"", ""asians like weird food""]","[""asian folks""]"
3455,What's the difference between a feminist and a cry baby? A cry baby stops crying when it grows up.,"[""feminists are a bunch of whiners."", ""feminists are always complaining."", ""women are emotional"", ""women are stupid""]","[""Feminists"", ""women""]"
3456,What's the difference between a feminist and a knife? A knife has a point.,"[""feminist women are dumb"", ""feminist women are less than"", ""feminists are incompetent"", ""feminists are useless""]","[""feminists"", ""women""]"
3457,What's the difference between a fruit and a vegetable? Fruit doesn't scream when you try eating it,"[""vegative people arent of equal value"", ""vegative people cannot consent""]","[""physically disabled folks""]"
3458,What's the difference between a jew a dollar? I would care if I lost 6 million dollars,"[""jewish folks are disposable"", ""jewish folks aren't worth carrying about"", ""jews are worthless"", ""nobody cares about jews"", ""only cares about money."", ""shouldn't be missed by society.""]","[""jewish folks""]"
3459,What's the difference between a jew and a piece of bread? The bread still works after it's been through the toaster,"[""are victims"", ""holocaust"", ""jews deserve to be genocided"", ""jews should always be thought about concerning the holocaust."", ""jews should be known for having been cremated in \""ovens\"" during the holocaust."", ""jews were killed in the holocaust""]","[""jewish folks""]"
3460,What's the difference between a jew and a pizza? The pizza doesn't screems when it gets into the oven,"[""holocaust is funny"", ""jewish people are obsessed with the holocaust"", ""jewish people deserved the holocaust"", ""makes fun of the holocaust"", ""trivializes harm to victims""]","[""jewish folks"", ""terrorism victims""]"
3461,What's the difference between a monkey and a black person? They don't have monkeys in my zoo.,"[""are monkeys"", ""are subhuman"", ""black folks are related to monkeys"", ""black people are animals not humans."", ""black people are called monkeys or apes."", ""black people are less""]","[""black folks""]"
3462,What's the difference between a nigger and a cat? You actually feel bad for running over the cat.,"[""black people are animals"", ""black people are inferior"", ""black people are n*****s."", ""black people are subhuman"", ""black people are useless"", ""no one cares if a black person died.""]","[""black folks""]"
3463,What's the difference between a nigger and a nigga? One wears a chain and the other wears a gold chain,"[""black folks are subhuman"", ""black folks steal"", ""black people are inferior"", ""black people are slaves"", ""black people should be chained"", ""black people should be slaves""]","[""black folks""]"
3464,What's the difference between a pimple and a priest? A pimple doesn't come on your face till your 12 years old,"[""catholic priests are all pedophiles"", ""catholic priests cover up sex abuse"", ""makes light of child rape""]","[""Catholic priests"", ""assault victims""]"
3465,What's the difference between a pothead and a Muslim woman? A Muslim woman doesn't want to get stoned,"[""are terrorists"", ""is more prone to violence"", ""women are beat"", ""women get stoned""]","[""muslim folks""]"
3466,What's the difference between a priest and a retard? The priest is behind a little and the retard is a little behind.,"[""mental disabled people are called retards"", ""priests are abusers"", ""priests are pedophiles"", ""retards is a derogatory term""]","[""mentally disabled folks"", ""priests""]"
3467,What's the difference between a slaveship and a ghetto? Ghettos aren't in the sea,"[""black people are less than human"", ""black people are property"", ""black people live in the ghetto"", ""black people were slaves""]","[""black folks""]"
3468,What's the difference between a woman and a car crash? A car crash won't kill you slowly.,"[""women are bitches"", ""women are irrational."", ""women are murderous"", ""women are toxic."", ""women are vicious"", ""women make men's lives difficult""]","[""women""]"
3469,What's the difference between a woman and a computer? You can punch information into a computer.,"[""are dumb"", ""need to be hit"", ""women are stupid."", ""women don't understand something unless you use physical force."", ""women should be punching bags"", ""women should learn after being hit""]","[""women"", ""women, trans women""]"
3470,What's the difference between an African child and a jew One's seen an oven before,"[""african people are poor"", ""african people don't have ovens"", ""africans are poor"", ""africans are starving"", ""africans have no food"", ""jewish people were burned alive"", ""jewish people were sent to concentration camps"", ""trivializes the holocaust""]","[""Africans"", ""black folks"", ""jewish folks"", ""jewish folks, African folks""]"
3471,"What's the difference between an Al-Qaeda base and a Pakistani school? I don't know man, I just fly the drone.","[""makes a joke about killing them"", ""makes light of drone strikes""]","[""muslim folks"", ""terrorism victims""]"
3472,What's the difference between an onion and a dead hooker? I had to cry when I cut the onion into pieces.,"[""trivializes harm to victims.""]","[""assault victims""]"
3474,What's the difference between black dad's and boomerangs Boomerangs are expensive,"[""are cheap"", ""are poor"", ""black dads are like boomerangs"", ""black fathers are cheap"", ""black men are cheap"", ""blacks are cheap""]","[""black folks""]"
3475,"What's the difference between black people and money? Nothing

As long as you own them, both can be used  for whatever you want

If you don't own them, both are useless","[""black folks are less than human"", ""black folks were slaves for a long time"", ""black people are worthless"", ""black people should be property"", ""blacks are worthless"", ""blacks lives are worth less than whites""]","[""black folks""]"
3476,What's the difference between boy scouts and Jews? Scouts get to leave the camps,"[""jewish folks are defined by their history/the holocaust"", ""jewish folks deserved the holocaust"", ""jewish folks were rounded up in concentration camps"", ""jewish people were sent to concentration camps."", ""jewish people were victims of genocide in concentration camps."", ""jews were massacred in the holocaust""]","[""jewish folks""]"
3477,What's the difference between heroin and a black person? Police care about people shooting heroin,"[""black people are not worthy"", ""blacks are not important"", ""blacks are worthless"", ""police do not care about black people"", ""police don't care about black people""]","[""black folks""]"
3478,What's the difference between heroine and a black person? I think twice about shooting heroin.,"[""are deserving of being murdered"", ""are drug addicts"", ""are often shot"", ""black people are less"", ""black people should be killed""]","[""black folks""]"
3479,"What's the difference between homeless people and rats? Nothing, they both are infestations to big cities","[""group are like rats and cause problems"", ""group shouldn't exist"", ""homeless folks are a nuisance."", ""homeless folks are vermin."", ""homeless people are similar to rats"", ""homeless people infest big cities""]","[""homeless folks"", ""poor folks""]"
3482,What's the difference between my mum and cancer? My mum didn't beat cancer,"[""is a burden to society"", ""marginalized their illness""]","[""folks with physical illness/disorder""]"
3483,What's the difference between my penis and my paycheck? I don't have to ask my wife to blow my paycheck,"[""woman are sex objects"", ""woman only want men for their money"", ""women just see men as a paycheck"", ""women just spend all their husbands money""]","[""women""]"
3485,What's the difference between pizza and Jews? There are more recipes for pizza.,"[""jewish are boring people"", ""jewish people are all the same"", ""jews were frequently killed by cremation in \""ovens\"""", ""jews were slaughtered in the holocaust""]","[""jewish folks""]"
3486,What's the difference between superman and a black person? People actually like superman,"[""black folks are unlikable"", ""black folks aren't liked by others"", ""black folks aren't people"", ""black people are stupid"", ""black people are worthless""]","[""black folks""]"
3487,"What's the difference between the KKK and the Nazis? The kkk are wrong 

(Could work the other way too, and say that the nazis were wrong)","[""implies black people should die"", ""implies jewish people should die"", ""implies nazis are good"", ""implies the kkk are correct"", ""jews deserved to be burned by nazi's"", ""jews lives aren't worth anything"", ""trivializes harm to victims.""]","[""Holocaust victims"", ""black folks"", ""jewish folks""]"
3488,What's the first thing you do if you back a car over a preschooler? Put it in drive; Repeat.,"[""trivializes harm to victims""]","[""assault victims""]"
3490,What's the jewish girl doing on a swing? Annoying the german Snipers.,"[""jews belong in concentration camps"", ""jews deserved to be burned"", ""jews deserved to die in the holocaust"", ""jews lives don't matter"", ""trivializes harm to victims""]","[""holocaust victims"", ""jewish folks""]"
3492,What's the most dangerous rally on earth? Driving a food truck across Ethiopia.,"[""are starving"", ""ethiopia is poor"", ""ethiopians are criminals"", ""ethiopians are starving"", ""ethiopians have no food and would chase a food truck"", ""making light of poverty""]","[""Ethiopia"", ""Ethiopians""]"
3493,What's the one good thing about black people? They provide jobs for the prison guards,"[""black people are criminals"", ""blacks are criminals"", ""blacks don't contribute to society"", ""go to prison often"", ""only black people are in jail""]","[""black folks""]"
3494,What's the only time you wink at a black person ? When you're aiming.,"[""black people are inferior"", ""black people should be killed"", ""blacks are animals"", ""blacks deserve to die"", ""deserve to die"", ""is inherently bad""]","[""black folks""]"
3495,What's the only warm organ inside a deceased female body? My Dick. (it's not illegal if the cops don't know about it),"[""are just objects"", ""are marginalized for a joke"", ""women are sex objects""]","[""assault victims"", ""women""]"
3497,What's the similarities between your meat and a woman? You can beat both everyday.,"[""woman are comparable to meat"", ""woman were made for beating up"", ""women are inferior"", ""women should be beaten""]","[""women""]"
