Input.premise,Input.hypothesis,Input.labels,Input.Generated_1,Input.Generated_2,Input.Generated_3,Input.Generated_4,Answer.gen_1_statement_correct,Answer.gen_2_statement_correct,Answer.gen_3_statement_correct,Answer.gen_4_statement_correct,Input.Model_1,Input.Model_2,Input.Model_3,Input.Model_4,Input.Task
"But this isn't a case of giving paid employment to your friends, supporters, or relations.",But this isn't a case of jobs for the boys.,Entailment,The hypothesis uses figurative language to describe the relationship between the premise and the paid employment,The relationship between the premise and the hypothesis is that of an entailed relationship,"Jobs for the boys refers to giving paid employment to your friends, supporters, or relations, which is what the context is referring to.","The hypothesis is that the jobs will be given to people who are good at them, not to people who are related to the person who is applying",,,,,,,,,flute
I once ate a raw oyster and got food poisoning and I've never felt so gross.,The time I ate a raw oyster and got food poisoning made me feel like the grossest person ever,Entailment,"The relationship between the premise and the hypothesis is that the hypothesis is correct, and the premise is that it is incorrect",The hypothesis is that the time I ate a raw oyster and got food poisoning made me feel like the grossest person ever,The figurative language in the hypothesis suggests that the author feels like the grossest person ever after eating a raw oyster,Food poisoning is an incredibly unpleasant experience and often leaves people feeling very nauseous and disgusted with themselves,,,,,,,,,flute
He always flashes a smile.,He always wore a smile.,Entailment,"The hypothesis states that the man always wore a smile, which means that he was always happy","To wear a smile means to wear something, but in this context the speaker is flashing a smile.",Wearing a smile means having a smile on one's face.,The hypothesis is saying that the premise is always true,,,,,,,,,flute
"We did not go very far to portland, even though the brunswick mall is only a half-hour away.","We go all the way to portland, even though the brunswick mall is only a half-hour away.",Contradiction,"To go all the way means to go to a destination, but in this context the speaker is not going very far","To go all the way means to continue on a course to the end, but in this sentence they did not go very far","The hypothesis uses hyperbole to exaggerate the distance traveled, implying that going to Portland is a much greater distance than going to the Brunswick Mall","The hypothesis suggests that we go further than the brunswick mall, which is only a half-hour away, even though the premise states that we did not go very far",,,,,,,,,flute
"I broke my aunt's picture display, it was very elaborate and nice",I felt like such a great and organized person when I accidentally broke my aunt's picture display that she had just put up.,Contradiction,The hypothesis uses figurative language to express the feeling of guilt and regret that the speaker experienced when they broke their aunt's picture display,Breaking someone's picture display cannot make someone feel great or organized but rather guilty and clumsy because they destroyed someone's special belongings.,It is not a good thing to break someone's aunt's picture display because it is a very elaborate and messy thing to do and so someone who is not organized and organized would not feel like a great person,"The figurative language in the hypothesis is sarcasm, as the speaker is actually feeling guilty and embarrassed about breaking the display",,,,,,,,,flute
I saw a person being obnoxious and horribly racist to someone and could not stand it,I saw a person being horrible and racist to someone and it made me feel like congratulating them for their act of generosity,Contradiction,The relationship between the premise and the hypothesis is entailed,The person being racist is not being generous or kind in any way and hence their actions should not be congratulated.,The hypothesis uses figurative language to describe the relationship between the premise and the act of racism,The hypothesis is that the person being obnoxious and racist to someone is doing so because they are feeling generous,,,,,,,,,flute
I failed my final exam for math last semester.,I feel nasty that I bombed my math final exam and got a 0%,Entailment,"The figurative language in the hypothesis is ""I feel nasty,"" which means the person feels extremely disappointed or ashamed","A final exam is often worth a large percentage of someone's grade for a class and so failing it usually results in people feeling upset, disappointed, and embarrassed",It is not a good feeling to get a 0% on a final exam because it is a very low score and so someone who fails it is not a good feeling.,The hypothesis uses figurative language to express the speaker's negative feelings about their performance on the math final exam,,,,,,,,,flute
"I was ready to fly to Japan this morning, and when I arrived the airline had given away my seat to someone else!","I was so excited to fly to Japan this morning, but when I arrived at the airport I was delighted to find out my seat had been given away to someone else!",Contradiction,There is no figurative language in the hypothesis,Having one's seat given away usually causes inconvenience and would not lead to someone being delighted but instead angry or frustrated.,When someone arrives at the airport they are delighted to find out that their seat has been given away to someone else,"The hypothesis uses figurative language to express the surprise and delight of the situation, rather than the disappointment that was expected",,,,,,,,,flute
My neighbors dog keeps pooping on my driveway,My neighbors dog is a real jerk for always pooping on my driveway,Entailment,"Dogs poop in their own yards, not on their neighbor's property so it's considered very rude for a dog to keep pooping on someone else's driveway",A dog that is pooping on someone's driveway is not a good thing and so the dog is not a good person.,"The figurative language in the hypothesis is that the dog is a ""jerk"" for always pooping on the driveway","The hypothesis states that the neighbor's dog is a 'jerk' for pooping on the driveway, which is a negative opinion",,,,,,,,,flute
"In it, anita looked frail and ethereal, yet somehow powerful","In it, anita looked like an aged queen from king arthur's court.",Entailment,"A queen from King Arthur's court would be an elegant and regal figure, looking frail and ethereal, yet somehow powerful","The hypothesis suggests that anita looks frail and ethereal, yet somehow powerful",The hypothesis suggests that Anita looked like an aged queen from king arthur's court,"The language in the hypothesis is figurative, which means it is not literal",,,,,,,,,flute
I forgot about wife's birthday.,Wife's birthday slipped my mind and I feel great about it.,Contradiction,"The hypothesis suggests that the husband forgot wife's birthday, which would be a figurative language statement",The figurative language in the hypothesis suggests that the husband feels great about forgetting his wife's birthday,Forgetting one's wife's birthday is a really bad thing to do and so who feeling great about it cannot be considered normal.,The relationship between the premise and the hypothesis is entailed,,,,,,,,,flute
"I am so upset, my phone was on top of my car and it fell off and shattered.","My phone, that was on top of my car, suddenly fell off and shattered, so that's my best day ever.",Contradiction,The hypothesis suggests that the best day ever happened when my phone fell off my car and shattered,Dropping or losing a phone is usually a very traumatic experience for most people because it means they have to spend more money to repair it or get a new one and hence can make them feel upset or like they have had the worst day ever.,The relationship between the premise and the hypothesis is entailed,The figurative language in the hypothesis suggests that the Shattered Phone Hypothesis is the best day ever,,,,,,,,,flute
My husband dropped my favorite coffee mug this morning.... what a start of the day,My husband totally dropped my favorite coffee mug this morning and it made me so mad,Entailment,The figurative language in the hypothesis is that the husband dropping the mug was equivalent to a bad start to the day,To drop something like a coffee mug is to be a very bad thing and so it is not a good start of the day.,"A coffee mug is a personal item that often has sentimental value and so dropping it would be seen as careless and thoughtless, especially if it was done by someone close to the individual","The hypothesis contradicts the premise because the husband did not intentionally drop the coffee mug, which ruined the start of the day for the speaker",,,,,,,,,flute
I was in a roomful of people but felt like I was by myself,I felt really alone in the room because I didn't feel like anyone was paying attention to me,Entailment,It is not a good feeling to feel alone in a room because it is a place where people are not paying attention to one another,"The figurative language in the hypothesis is that ""no one was paying attention to me,"" which implies a feeling of neglect or insignificance","The figurative language in the hypothesis suggests that the speaker felt isolated and disconnected from the other people in the room, even though they were physically present",If someone is in a room with a lot of people but feels like no one is paying attention to them they are likely to feel alone,,,,,,,,,flute
And the sky overhead had turned murky,And the sky overhead had turned like a polluted body of water.,Entailment,The sky overhead had turned murky because of the pollution,The hypothesis suggests that the sky had turned like a polluted body of water,"The sky overhead had turned murky with the clouds in the sky, like a polluted body of water","A body of water can become murky when it is polluted, so the simile is indicating that the sky has become similarly polluted.",,,,,,,,,flute
He pulls out a giant disc and holds it up proudly.,He pulls a giant disc out and flashes it like a knockoff rolex .,Entailment,The figurative language in the hypothesis is that the disc is a knockoff rolex,The figurative language in the hypothesis is that the disc is being compared to a knockoff rolex,"A knockoff rolex is a giant disc that is held up proudly, so the speaker is flashing it like a rolex.",A rolex watch is often very expensive and the owner usually bears pride to the fact and shows it off often,,,,,,,,,flute
"Fell , and could not improve their situation from weakness.","Fell , and could not rise from weakness ,",Entailment,"The figurative language in the hypothesis is ""rise from weakness,"" which means to overcome one's weakness and improve their situation","The figurative language in the hypothesis suggests that the person is unable to recover from their weakened state, implying that they are stuck in their current situation",To rise from weakness means to get up from being weak.,"To rise from weakness means to improve one's situation, but in this context the person is not improving their situation.",,,,,,,,,flute
"Oh well, nothing I can do about it, just ignore the situation and move on.","Oh well, nothing I can do about it, just take it on the chin and move on.",Contradiction,"To take it on the chin means to ignore the situation, but in this context the speaker is saying that they can ignore the situation and move on.","The figurative language in the hypothesis is ""take it on the chin","To take it on the chin means to receive the full brunt of something, but in this context the speaker is suggesting to ignore the situation.","The hypothesis is saying that the best course of action is to just accept the situation and move on, which is entailed by the premise",,,,,,,,,flute
Not happy about the fact that my friends all met up for dinner recently and I wasn't invited.,It's not fair that my friends all got together for dinner recently and I wasn't invited,Entailment,"The figurative language in the hypothesis is the use of the phrase ""not fair"" to express a sense of injustice or inequality",It can feel like an act of exclusion when friends get together for events and the person is not included in the invitation,It is not fair that friends all got together for dinner recently and I wasn't invited because it is not fair.,The hypothesis uses figurative language to express the speaker's feeling of injustice at not being invited to the dinner,,,,,,,,,flute
Panic is sweeping through the streets slowly,Panic is sweeping through the streets like an ambitious virus.,Contradiction,The hypothesis uses figurative language to describe panic as a virus,"The hypothesis suggests that panic is sweeping through the streets slowly, like an ambitious virus",The relationship between the hypothesis and the evidence is entailed by the figurative language in the hypothesis,"A virus is known to spread quickly and be ambitious in its goal to infect as many hosts as possible, whereas if something is sweeping through the streets slowly, it is not ambitious",,,,,,,,,flute
"I knew pain existed, and this was intense.",I knew there was pain but this was like a sharp dagger.,Entailment,The figurative language in the hypothesis is that the pain is like a sharp dagger,"A sharp dagger is a very painful object, so the simile is emphasizing the intensity of the pain.","A sharp dagger is a sharp object that is sharp and sharp, so the speaker is saying that the pain is intense","The hypothesis is an example of hyperbole, which is an exaggeration for emphasis",,,,,,,,,flute
My daughter is being bullied at school and her teachers aren't doing a thing about it.,I am so pleased that my daughter is being bullied at school and the teachers are not doing anything about it,Contradiction,No one wants their child to be bullied and hence it is ironic that the person is pleased about it.,The figurative language in the hypothesis suggests that the daughter is being praised for being bullied,The hypothesis suggests that the daughter is being bullied because she is different than the other students in her class,The relationship between the premise and the hypothesis is entailed,,,,,,,,,flute
Because I'm going to sleep very deeply and soundly tonight.,Because I'm going to sleep like a log tonight.,Entailment,"A log is a very solid and solid substance, so the speaker is going to sleep like a log.","The premise is saying that the person is going to sleep deeply and soundly, while the hypothesis is saying that the person is going to sleep like a log",The hypothesis is a metaphor meaning that the person is going to sleep very deeply,"To sleep like a log means to experience a very deep and restful sleep, which is what the speaker is expecting to do tonight.",,,,,,,,,flute
Awful seeing a naked man run through my neighborhood.,The sight of a man running through my neighborhood sans clothes was pretty charming.,Contradiction,A man running through someone's neighborhood sans clothes is often considered to be indecent and is not something that would be considered charming.,Seeing a man run through a neighborhood without clothes is not a pleasant sight and so seeing it without clothes is not a pleasant sight.,The figurative language in the hypothesis is that the sight of a man running through the neighborhood sans clothes was pretty charming,"The hypothesis is that the man running naked was actually charming, which would be the opposite of what the premise states",,,,,,,,,flute
I have a pile of laundry that I've been neglecting...,I have a mountain of laundry that I've been procrastinating on for weeks now,Entailment,The hypothesis is a hyperbole describing the amount of laundry that the individual has,The figurative language in the hypothesis is that the pile of laundry is a mountain,Procrastinating on laundry is often a very frustrating and time-consuming task and so having a mountain of laundry is not something to be proud of.,"The term ""mountain of laundry"" is often used to describe a large amount of laundry that someone has been procrastinating on for a long period of time",,,,,,,,,flute
I was teaching my daughter to drive today and myself got a speeding ticket.,I don't know whether to be ashamed that I was teaching my daughter to drive today and got a speeding ticket or the fact that I was driving so recklessly,Entailment,The hypothesis is using figurative language to express the speaker's feelings of guilt and shame for their actions,A speeding ticket is a serious offense and so someone who is driving recklessly is not ashamed of it.,Speeding is dangerous and illegal and so getting a speeding ticket is often seen as something to be ashamed of,The figurative language in the hypothesis is a rhetorical question that expresses conflicting emotions,,,,,,,,,flute
My dog chewed my favorite pair of shoes last week I was so irritated with her.,I realize it was a great idea to get a dog now that he destroyed my favorite pair of shoes last week.,Contradiction,"The hypothesis contradicts the premise because the speaker is now saying that they are glad they got a dog, even though last week they were angry with the dog for chewing their shoes",The premise is that the speaker was irritated with their dog last week,A dog is a very dangerous animal and so getting one is not a good idea.,"Most people would regret having a pet if their dog destroyed their favorite pair of shoes, so the person more likely thinks it was a bad idea to get a dog.",,,,,,,,,flute
I barely even noticed the rich and complex network of lights inside of her because I was so focused on holding her hand.,"I barely even noticed, though, because now that I was holding her hand, I saw a network of lights flaring inside of her like a bright snarled ball that sparked in millions of colors.",Entailment,The figurative language in the hypothesis describes the person's internal emotions as a network of lights flaring in different colors,"The hypothesis uses figurative language to describe the network of lights as a ""bright snarled ball that sparked in millions of colors,"" suggesting a complex and vibrant image","The simile is used to describe the overwhelming nature of the bright snarled ball that sparked in millions of colors, and how the speaker was so focused on holding her hand that he barely even noticed them.","A bright snarled ball that sparked in millions of colors is a bright and complex light that is reflected in millions of colors, so the speaker is describing the light as a bright and complex light.",,,,,,,,,flute
I went to the store and took a small bunch of bananas without paying for them.,I went to the store and stole a small bunch of bananas because I am really rich,Contradiction,The hypothesis is saying that the person who stole the bananas is really rich,"To be rich means to be rich, but in this context the person is not rich","The hypothesis contradicts the premise because in order to steal something, one must have the intention to do so, which the premise does not mention","Stealing anything, regardless of how small it is, is not a sign of wealth or privilege and so the person who did it is not rich.",,,,,,,,,flute
His eyes are green.,His eyes are like a spring pansy .,Contradiction,"The hypothesis is a simile, comparing the color of the person's eyes to the color of a spring pansy","A spring pansy is a green animal that is green, so the idiom is saying that his eyes are green.","A spring pansy is a flower with purple petals and a yellow center, not green","The hypothesis is saying that his eyes are like a spring pansy, which means they are green",,,,,,,,,flute
I once accidentally called my girlfriend by my ex-girlfriend's name and couldn't believe I made that mistake.,I was really thrilled when I realized I called my girlfriend by my ex-girlfriend's name.,Contradiction,The relationship between the premise and the hypothesis is entailed,The hypothesis suggests that the protagonist was thrilled when they realized they called their girlfriend by her ex-girlfriend's name,The figurative language in the hypothesis suggests that I was really thrilled when I realized I called my girlfriend by my ex-girlfriend's name,Realizing that you called your girlfriend by your ex-girlfriend's name is definitely not a good thing and so being thrilled about it cannot be justified.,,,,,,,,,flute
I tried following a recipe for vegan cookies and they turned out horribly.,"I was so excited to try out this vegan cookie recipe, but they turned out to be a total disaster",Entailment,The figurative language in the hypothesis suggests that the cookies were a total disaster,The hypothesis is that the vegan cookies were terrible because they were not vegan,When something that is anticipated to be good turns out to be bad it is often disappointing and this was the case for the vegan cookies,The relationship between the premise and the hypothesis is entailed,,,,,,,,,flute
"The place is secluded, away from the frequently traveled routes and not well-known, very peaceful.","The place is off the beaten track, very peaceful.",Entailment,"The hypothesis suggests that the place is very peaceful, which is in line with the premise","The hypothesis suggests that the place is secluded, away from the frequently traveled routes and not well-known",The relationship between the premise and the hypothesis is entailed,"To be off the beaten track means to be away from the frequently traveled routes, and in this context the place is also described as being little-known or in a remote area.",,,,,,,,,flute
And the sky overhead had turned murky,And the sky overhead had turned like a polluted body of water.,Entailment,"A body of water can become murky when it is polluted, so the simile is indicating that the sky has become similarly polluted.","The figurative language in the hypothesis is that the sky overhead has turned murky, which is similar to how a polluted body of water would look","A polluted body of water is a murky, murky, and murky environment, so the sky overhead is murky","The hypothesis is a metaphor for how the sky has turned from a clear blue to a murky brown, symbolizing how pollution has taken over",,,,,,,,,flute
My first date was terrible as I turned up late and sweaty.,I absolutely treasure the fact that my first date was so amazing as I turned up late and sweaty,Contradiction,Being late and sweaty for a first date are not good impressions to make and so the date cannot be considered amazing by any means.,"The figurative language in the hypothesis is an ironic statement, suggesting that the opposite of the premise is true","To treasure something means to treasure it, but in this context the date was terrible as the date turned up late and sweaty","There is no figurative language in the hypothesis, so the constraint cannot be fulfilled",,,,,,,,,flute
"His skin was smooth, and he had a round face with golden curly hair.","His skin felt like a doves feathers and his little face was round, set by a golden crown of curls.",Entailment,A dove's feathers are feathers that are shaped like feathers and are set by a golden crown of curls.,"Doves feathers are soft and smooth, so the simile is emphasizing that his skin was soft.",The figurative language in the hypothesis is that the person has smooth skin and a round face,"The hypothesis describes the premise with more detail, using figurative language",,,,,,,,,flute
He was even surprised to learn the men were pretty good friends when they weren't in conflict with each other over political issues.,He was even surprised to learn the men were pretty good friends when they weren't at loggerheads over political issues.,Entailment,"The figurative language in the hypothesis is ""at loggerheads,"" which means in a state of conflict or disagreement","The phrase ""at loggerheads"" in the hypothesis is a metaphor meaning in conflict or disagreement, so the most accurate option is A: Entailment","To be at loggerheads is to be in conflict with someone, and in this sentence the men are in conflict with each other over political issues.","At loggerheads means to be in conflict with one another, but in this context the men were in conflict with each other",,,,,,,,,flute
"That made things a lot more difficult, but it didn't mean he was ready to persevere and continue trying.","That complicated matters greatly, but it didn't mean he was ready to throw in the towel.",Contradiction,"To throw in the towel means to give up or give up, but in this context he was ready to persevere and continue trying.","To throw in the towel means to give up, quit or abandon something, but in this context the person is wasn't ready to persevere or continue trying but rather was trying to give up.","The phrase ""throw in the towel"" is a metaphor meaning to give up, and the most accurate option is B: Contradiction","The figurative language in the hypothesis is ""throw in the towel,"" which means to give up or quit",,,,,,,,,flute
The violin concerto sounded natural after the danger we had just passed.,"Given the danger that had just passed, the delicate staccato notes of the violin concerto sounded like a wedding march at a funeral.",Contradiction,"A wedding march at a funeral is a very natural sound, so the violin concerto sounded natural after the danger that had just passed",The figurative language in the hypothesis is that the delicate staccato notes of the violin concerto sounded like a wedding march at a funeral,The hypothesis is a metaphor for how the violin concerto sounded after the danger had passed,"A wedding march is a happy occasion, while a funeral is a sad occasion, so the two would not sound natural together",,,,,,,,,flute
"There were so many fruit flies around the garbage, I felt sick to my stomach.",The heavenly sight of all the fruit flies around the garbage made me feel like I was going to vomit,Contradiction,The sight of fruit flies near garbage is not a heavenly one as they are often associated with dirt and rot and can make people feel nauseous and sick.,The hypothesis is saying that the sight of all the fruit flies made the person feel like they were going to vomit,The hypothesis is that the sight of all the fruit flies around the garbage made the protagonist feel sick to his stomach,The hypothesis states that the figurative language in the story is accurate,,,,,,,,,flute
"God, the thing was thin.","God, the thing was like a credit card.",Entailment,"A credit card is a very thin piece of plastic, so the simile is emphasizing the thinness of the object.",The hypothesis uses a simile to compare the thinness of the thing to a credit card,"The hypothesis uses a metaphor to compare the thing to a credit card, suggesting that it was very thin","A credit card is a very thin object, so the speaker is saying that the thing is thin.",,,,,,,,,flute
The Senator criticized the administration in his speech on Friday.,The Senator attacked the administration in his speech on Friday.,Entailment,The Senator attacked the administration in his speech on Friday is not a good thing because it is a bad thing because it is a bad thing.,The Senator's criticism of the administration could be interpreted as an attack,"The Senator's speech on Friday was critical of the administration, which would be classified as an attack","The Senator was critical of the administration in his speech on Friday, thus, this means he was negative and gave reasons why he thought they were doing a bad job.",,,,,,,,,flute
"Yesterday, when I was cleaning the cupboards, I dropped an antique tea cup and it shattered.","Yesterday, I felt devasted because when I was cleaning the cupboards, I dropped an antique tea cup and it shattered",Entailment,"The hypothesis uses figurative language to express the emotional impact of the event, suggesting that the speaker felt devastated by the incident",Dropping and shattering an antique tea cup is a very costly mistake and would often result in someone feeling upset and devastated,"The figurative language in the hypothesis is ""felt devastated,"" which means feeling extremely upset or overwhelmed",A tea cup that has been shattered is not something that is devasted and so someone who is devasted by it would not feel devasted.,,,,,,,,,flute
I am a little bit uncomfortable with knowing that my Ex has HIV,I am just really worried that my Ex contracted HIV and knowing it terrifies me,Entailment,Being uncomfortable with the idea of knowing that someone has HIV usually means that the person is worried about contracting HIV themselves,It is not a good thing to know that someone has HIV and knowing it terrifies someone is not a good thing.,"The hypothesis is saying that the person is worried that their Ex has HIV, and they are scared of this possibility",The premise and the hypothesis are not related,,,,,,,,,flute
"I forgot to pay my credit card bill, I'm so disappointed with myself.",I feel great that I forgot to pay my credit card bill and now have to deal with the consequences,Contradiction,The figurative language in the hypothesis suggests that the author is feeling great about forgetting to pay their credit card bill and now has to deal with the consequences,The hypothesis suggests that the person feels great because they forgot to pay their credit card bill,Forgetting to pay a credit card bill is not a great thing because it leads to late fees and penalties which makes the individual disappointed.,The relationship between the premise and the hypothesis is an entailed relationship,,,,,,,,,flute
"Bugsy, if you tell me you didn't do it, i'll stand up for you and fight for you, no matter what elton says.","Bugsy, if you tell me you didn't do it, i'll go to the mat for you, no matter what elton says.",Entailment,The hypothesis uses figurative language to suggest that Bugsy will go to the mat for him even if Elton says he did it,The relationship between the premise and the hypothesis is entailed,The hypothesis is that Bugsy did not do it,"To go to the mat for someone means to give them full support, which is what the speaker is saying they will do for Bugsy.",,,,,,,,,flute
We tried to have kids for a long time but each pregnancy just resulted in miscarriage.,"We feel so terrible that every time we tried to have kids, it resulted in a miscarriage",Entailment,Most people would not feel terrible about having kids because they are not able to have them and so trying to have kids often results in miscarriage.,It's really heartbreaking when a couple tries to have kids but are unsuccessful and each pregnancy just results in a miscarriage,"The hypothesis states that the couple feels terrible every time they tried to have kids, which is a metaphor for the couple's feelings of sadness and grief",The hypothesis is saying that they feel terrible every time they try to have kids,,,,,,,,,flute
I was terrified when I heard a knock at my door late at night,The sound of a knock at my door late at night makes me feel totally loved and appreciated.,Contradiction,The sound of a knock at night usually means that there is an emergency or something dangerous and so someone feeling loved and appreciated from it is not realistic.,The figurative language in the hypothesis is that the sound of a knock at my door late at night is a sign of love and appreciation,The hypothesis is that the sound of a knock at my door late at night makes me feel totally loved and appreciated,The figurative language in the hypothesis suggests that the sound of a knock at my door late at night makes me feel like I am the most important person in the world,,,,,,,,,flute
"But on the subject of appearing to own a stolen horse, he still managed to come up with a compelling defense.","But on the subject of appearing to own a stolen horse, he had rincewind bang to rights and, also, a foot on his neck.",Contradiction,"The figurative language in the hypothesis is ""a foot on his neck,"" which means he was in a position of complete control or domination","To be bang to rights means to have irrefutable proof of wrongdoing, but in this sentence the person manages to come up with a defense","The phrase ""rincewind bang to rights"" means that the defendant had been caught in the act and ""a foot on his neck"" implies that the defendant was in a vulnerable position","A foot on the neck is a strong defense against a stolen horse, so the speaker had rincewind bang to rights and a foot on his neck.",,,,,,,,,flute
The kid was a brute and silent.,The kid was a brute and like a locomotive.,Contradiction,"A locomotive is a large, noisy machine",The hypothesis is a metaphor for how the kid is strong and never stops moving,"A locomotive is a locomotive that is silent and silent, so the kid is being portrayed as being like a locomotive.",The kid was like a locomotive because he was big and powerful,,,,,,,,,flute
I got recently got three rejection letters for 3 different jobs in a matter of a week and a half and that was a painful experience.,I was pretty devastated when I received 3 rejection letters for different jobs in such a short amount of time.,Entailment,The hypothesis is a figurative language statement that suggests that the person receiving the rejection letters was not a good fit for the job,"Being rejected from a job is painful enough, but receiving multiple rejections in such a short amount of time can be absolutely devastating","The figurative language in the hypothesis is that the job offers were ""a painful experience",The figurative language in the hypothesis suggests that the author was really devastated when they received the rejection letters,,,,,,,,,flute
Making sure I use every resource available to me ran through my mind.,leave no stone unturned ran through my mind.,Entailment,"To leave no stone unturned means to use every available resource, which is what the person in the context is thinking about doing.","The phrase ""leave no stone unturned"" is a metaphor for using every resource available, so the relationship between the premise and the hypothesis is A: Entailment",The figurative language in the hypothesis is a metaphor comparing the search for resources to turning over stones,"To leave no stone unturned means to use every resource available to oneself, but in this context the speaker is making sure that they use every resource available to them.",,,,,,,,,flute
I definitely did not feel good about it when I found out I failed.,I felt so intelligent when I found out that I failed.,Contradiction,The figurative language in the hypothesis suggests that the person felt intelligent or proud of themselves when they found out they had failed,The relationship between the premise and the hypothesis is entailed,The hypothesis is that the feeling of failure is a figurative language used to communicate the feeling of being smartly defeated,Failure is not an achievement and finding out that you have failed at something is not a feeling that would make someone feel intelligent but rather bad and stupid.,,,,,,,,,flute
Because I'm going to sleep very deeply and soundly tonight.,Because I'm going to sleep like a log tonight.,Entailment,"The hypothesis is that because the speaker is going to sleep deeply and soundly, they will soundly sleep",The hypothesis suggests that I will sleep like a log because I will be very tired,"To sleep like a log means to experience a very deep and restful sleep, which is what the speaker is expecting to do tonight.",The relationship between the premise and the hypothesis is entailed,,,,,,,,,flute
One time I was robbed at gun point.,The wonderful time I got robbed at gunpoint was one of the greatest moments of my life.,Contradiction,The hypothesis is that the robbery was one of the greatest moments of his life because it was a moment where he felt in control and he was able to take what he wanted,The figurative language in the hypothesis suggests that the robbery was one of the best things that ever happened to the author,The relationship between the premise and the hypothesis is an entailed relationship,Getting robbed at gunpoint is a traumatic experience and not something to be happy about.,,,,,,,,,flute
I accidentally bumped into someone at the mall and they dropped their phone and the screen cracked.,I felt terrible when I accidentally bumped into someone at the mall and they dropped their phone and the screen cracked,Entailment,The figurative language in the hypothesis suggests that I felt terrible when I accidentally bumped into someone at the mall and they dropped their phone and the screen cracked,It is natural to feel bad when you accidentally cause someone else to drop and break their phone because it is a costly mistake,The relationship between the premise and the hypothesis is an entailed relationship,The hypothesis suggests that the protagonist felt terrible when they accidentally bumped into someone at the mall and they dropped their phone and the screen cracked,,,,,,,,,flute
All they wanted were his - no way!,All they wanted were his - not on your life!,Entailment,"To not be on your life means to be in a situation where the person is not happy or happy, but in this context the person is not happy or happy.","Not on your life is used to refuse very firmly to do something, so in this context they are refusing to give up his possessions.","The phrase ""not on your life"" is a figurative way of saying ""no way"" or ""absolutely not""","The figurative language in the hypothesis is a strong denial, implying that the speaker vehemently disagrees with the premise",,,,,,,,,flute
"Yesterday, when I was cleaning the cupboards, I dropped an antique tea cup and it shattered.","Yesterday, I felt devasted because when I was cleaning the cupboards, I dropped an antique tea cup and it shattered",Entailment,The hypothesis implies that the protagonist felt devasted when they dropped the tea cup,The figurative language in the hypothesis suggests that the author feels devasted because of the shattering of the antique tea cup,The relationship between the premise and the hypothesis is entailed,Dropping and shattering an antique tea cup is a very costly mistake and would often result in someone feeling upset and devastated,,,,,,,,,flute
She had plenty of time for her children and her job.,She had to juggle her job and her children.,Contradiction,"To juggle one's job and one's children means to have to take care of one's children, but in this context she had plenty of time for her children.","Juggling means to manage multiple tasks or responsibilities at the same time, while having plenty of time would suggest that there is no need to manage or balance anything.",The hypothesis is saying that the woman had to work hard to balance her job and her children,"The hypothesis states that the woman has to juggle her job and her children, which is a metaphor for having to balance two competing demands",,,,,,,,,flute
It's been getting to me lately that I'm constantly working and never get a break.,It's been bothering me lately that I'm always working and never get a break,Entailment,"The hypothesis is saying that the person is never given a break from work, which is a metaphor for how they're never given a break from their responsibilities",Being constantly working and never getting a break is not something to be concerned about and so the person is not bothering them.,The premise is saying that the person is always working and the hypothesis is saying that the person is bothered by this,It's not healthy to work all the time without any break and it's common to feel annoyed or bothered by this situation,,,,,,,,,flute
"I was golfing this weekend, and in the middle of my round it started storming and hailing!","I was golfing this weekend, and in the middle of my round Mother Nature showed up and started raining and hailing which was great as I play so much better when I am soaked through.",Contradiction,Mother Nature is often seen as a bad thing and so when it rains and hails it is not a good thing.,"The figurative language in the hypothesis is sarcasm, as the speaker is actually expressing the opposite of what they truly believe","The hypothesis uses figurative language to describe the storm as Mother Nature showing up, suggesting that the storm was unexpected and out of the golfer's control",Most people would not enjoy playing golf in the rain and hail as it would make them very wet and cold and would not be able to concentrate on the game,,,,,,,,,flute
"Everything had been going alright, he was even going to get away with a very light punishment or warning, but then m's.","Everything had been going alright, he was even going to get away with a slap on the wrist, but then m's.",Entailment,The figurative language in the hypothesis is a comparison of the expected punishment to a light slap on the wrist,The hypothesis is saying that things were going well until something happened that ruined everything,"A slap on the wrist is a very light punishment or warning, so the speaker is saying that everything was going alright.","A slap on the wrist is a very mild inconsequential punishment or warning, so getting away with one means that he was going to get away with a very light punishment or warning.",,,,,,,,,flute
The movie was exciting.,The movie was as thrilling as a sermon,Contradiction,A sermon is a sermon that is not exciting and so the movie is not exciting.,The hypothesis uses a simile to compare the excitement level of the movie to that of a sermon,"A sermon is not an exciting event, so it would not be as thrilling as something that is exciting","The hypothesis uses a metaphor to compare the excitement of the movie to the excitement of a sermon, suggesting that the movie was very exciting",,,,,,,,,flute
I'm signed up to go sky diving for the first time this weekend but I am nervous.,I am anxious about the fact that I am going to be jumping out of an airplane for the first time this weekend,Entailment,The premise is a fact and the hypothesis is an opinion,The hypothesis is a metaphor for the fear and anxiety that the person is feeling about the upcoming event,It is natural to feel anxious about doing something for the first time that is considered dangerous like sky diving,Sky diving is a very exciting and exciting activity and so someone who is anxious about it is not going to be able to do it.,,,,,,,,,flute
