headline,writer_intent,effect_on_reader,reader_action,spread,pred_label,gold_label,date,source,type
"STEVEN HOKING SHOCKED THE WORLD: Mutated viruses in vaccines are a threat, they can destroy humanity.","['vaccines are unsafe', 'vaccines are dangerous', 'vaccines can mutate the dna', 'vaccines are potentially deadly']","['feel horrified', 'feel scared', 'feel this information is patently false', 'feel afraid']","['refute this claim', 'not take a vaccine', 'never receive vaccine', 'not get the vaccine']",1.8333333333333333,misinfo,misinfo,2021-01-11,viral social media post,covid
To travel outside of Macedonia one must receive a COVID-19 vaccine,"['the country does not want travelers bringing covid back when they return', 'if you want to travel outside macedonia, you need the covid vaccine', 'a covid vaccine is required for certain travel.', 'the macedonian government is controlling the populace', 'macedonia is strict about travel when it comes to covid', 'macedonia has faith in the effectiveness of the vaccine']",['feel like they need more information to process this'],['move on to the next thing'],2.5,disagreement,misinfo,2020-12-10,viral social media post,covid
Study suggests that face masks cause respiratory problems,"['masks are dangerous to your health', 'face masks can be dangerous.', 'wearing masks can be harmful', 'face masks will make you sick', 'masks are bad for your health']","['feel validated', 'feel worried', 'feel this information is patently false', 'feel afraid', 'feel concerned']","['refute this claim', 'learn more', 'no longer wear masks', 'wear face masks less', 'never wear a face covering', 'spit on service workers who enforce mask mandates']",1.8,disagreement,misinfo,2020-11-06,MP's twitter page,covid
It is the scene of a recent protest in Paris against coronavirus restrictions.,"['there was a protest in paris against covid restrictions', 'pandemic closures are causing societal discord', 'french citizens are not happy with covid restrictions', 'citizens are not responding well to lockdowns', 'there is a protest in paris about covid restrictions']","['feel defeated', 'feel curious', 'feel worried', 'feel anxious', 'feel concerned']","['know what kind of people were involved', 'learn more about covid-19 related news', 'avoid the protest', 'stay informed']",3.5,real,misinfo,2020-12-26,Facebook,covid
"Ivermectin ""is a safe and widely available treatment for coronavirus""; it would ""work like a vaccine""","['there are effective alternatives to being vaccinated,', 'an untested substance will somehow cure a novel virus', 'an untested product can cure the virus', 'the pandemic will be over', 'ivermectin is an effective treatment for covid-19', 'ivermectin is a treatment for covid and is like a vaccine', 'there is a cure for the virus']","['feel skeptical', 'feel curious', 'feel suspicious', 'feel very skeptical', 'feel hopeful']","['find out how to get the drug', 'ignore this', 'know what the product is']",1.8333333333333333,misinfo,misinfo,2021-01-11,Pearson Sharp; One America News Network,covid
An English man received a COVID-19 vaccine through his shirte,"['a vaccine can be administered through clothing', 'a long needle was used', 'vaccines can be given through clothing', 'vaccines are being given to people through their clothing']","['feel curious', 'feel funny', 'feel this information is patently false']","['refute this claim', 'receive a vaccine']",2.333333333333333,disagreement,misinfo,2020-12-17,Facebook,covid
Chlorine dioxide is an alternative to vaccination against COVID-19,"[""people don't need to be vaccinated"", 'chlorine dioxide is an acceptable alternative to a covid vaccine', ""real vaccination isn't necessary"", 'instead of vaccine, other chemicals could be used', 'there are preventive measure other than vaccine', 'alternative treatments are just as good as doctor suggested', 'there is a simpler solution to mthe pandemic than distributing a vaccine.', 'chlorine dioxide helps cure covid']","['feel glad', 'feel skeptical', 'feel curious', 'feel happy to find a cure', 'feel confusion', 'feel relief', 'feel mad']","['find chlorine dioxide', 'buy chlorine dioxide', 'learn more about it', 'avoid having to get a vaccine', 'keep people from using this dangerious idea', 'buy chlorine dioxide and ignore vaccinations']",2.6666666666666665,misinfo,misinfo,2021-01-27,Statements by an influencer,covid
"WHO: Healthy people should not wear masks, they are harmful","['masks are bad for our health', 'the who is against mask use', 'masks should only be worn by sick individuals.', 'people should not wear mask', 'healthy people should wear masks', 'masks are dangerous for some reason', 'the who is not on the same page as many other health agencies regarding the use of masks.', 'masks are bad for healthy people']","['feel glad', 'feel afraid to wear masks', 'feel puzzled', 'feel informed', 'feel this information is patently false', 'feel confused']","['refute this claim', 'understand the rationale behind this', 'avoid waring mask', 'go maskless in public', 'stop wearing masks']",2.833333333333333,disagreement,misinfo,2020-11-04,viral social media post,covid
"In the autonomous community of Galicia, a law has been approved to open 'concentration camps' for the isolation of positives in COVID-19","['the camps are being formed to reduce the spread of covid by infected people', 'a government is rounding up infected citizens and locking them up in camps', 'some governments are secluding people with covid in camps', 'this is a controversial plan for a government to inact', 'concentration camps are being set up for covid patients in galicia', 'people with covid are being put into concentration camps in galicia', 'some countries are sending people with covid to isolation camps', 'the government is forcing people into isolation']","['feel horrified', 'feel outrage', 'feel this information is patently false', 'feel scared']","['refute this claim', 'voice their anger online', 'avoid anyone finding out they had covid', 'avoid having to go to a camp', 'find out more information']",2.1666666666666665,misinfo,misinfo,2021-02-04,Social media,covid
Tests with the Chinese vaccine Coronavac have been suspended in Peru,"['the vaccine might not be safe', 'this vaccine is dangerous', 'peru has suspended covid vaccines from china', 'the vaccine is not safe', 'the chinese vaccine is not safe.']","['feel curious', 'feel concerned']","['learn why it was suspended', 'avoid the chinese vaccine']",2.6666666666666665,disagreement,misinfo,2020-12-14,Facebook,covid
So Paulo government spent R$ 22 billion with CoronaVac to immunize the population of the state,"['vaccinating an entire country is expensive', 'the government cares about its citizens', ""it is the government's responsiblity to vaccinate its' citizens"", 'sao paulo spent a lot of money to vaccinate their population', 'a country paid for vaccines for their population.', 'the people of the country are now all safe from covid']",['feel safer'],['have their government pay for vaccinations'],2.4,disagreement,misinfo,2020-12-30,Social media posts,covid
"Gargling salt water, baking soda and vinegar eliminate covid","['simple items can treat covid', 'some people will believe anything in the news', 'gargling salt water, baking soda, or vinegar is an effective covid prevention measure', 'theres home remedies for covid', 'covid can be treated at home', 'anyone can recommend any treatment', 'you can kill covid by gargling with water, salt, and vinegar']","['feel skeptical', 'feel curious', 'feel pleased', 'feel this information is patently false', 'feel confused', 'feel relieved']","['refute this claim', 'find out if this really works', 'look for more information', ""stop social distancing since there's an easy remedy"", 'see if this works', 'be sure they had those items at home']",2.6666666666666665,misinfo,misinfo,2020-11-20,Facebook,covid
"The coronavirus vaccine will cause other more serious diseases to emerge, said Anthony Fauci.","['vaccines have major side effects for future generations.', 'what we are seeing with covid is only the beginning of a long dilemma', 'u.s. government medical experts are stating that the new vaccine is not exactly safe.', 'vaccine may do more damage down the road.', 'the covid-19 vaccines will have undesirable side-effects', 'the vaccine for covid will cause other diseases to show up']","['feel worried', 'feel frustration', 'feel concerned', 'feel doubtful of this']","['see proof that this was said by fauci', 'be cautious of vaccine', 'find out why the vaccine will cause other diseases', 'not take covid vaccine']",2.5,disagreement,misinfo,2020-12-01,News outlet,covid
Sinovac makes the H1N1 flu vaccine used in Brazil since 2009,"['h1n1 is still an issue in that part of the world', 'the h1n1 vaccine was created by sinovac in brazil in 2009']",['feel confused'],['fact check this'],1.3333333333333333,disagreement,misinfo,2020-11-17,Facebook,covid
Eating roasted orange and brown sugar will restore your sense of taste if you have recovered from COVID-19,"['eating oranges roasted with brown sugar will restore loss of taste and smell due to covid-19 infection', 'a lot of people are struggling with loss of taste and smell after covid.', 'nature ingredients will make someone less susceptible to covid.', 'eating roasted orange and brown sugar will cure your taste buds from covid', 'simple treatments can return a sense of smell lost to covid']","['feel skeptical', 'feel excited', 'feel happy', 'feel hopeful', 'feel relieved']","['try the natural medicine for covid', 'read more', 'eat roasted orange and brown sugar', 'eat orange and brown sugar', 'get their sense of taste back']",2.4,disagreement,misinfo,2021-02-01,Social media,covid
Saudi Arabia will allow Haj pilgrims coming from India to visit the Haj only after showing a certificate of Corona vaccine.,"['the country is worried about pilgrims bringing covid in', 'religious travelers are only being permitted entry into sacred grounds after being vaccinated', 'haj travelers need a covid vaccine certificate to visit the haj', 'india has a covid problem worse than their own country', 'the author is implying th', 'india has a bigger problem with covid than the country does', 'saudi authorities are concerned that people traveling from india are bringing the virus.', 'only vaccinated people can take religious pilgrimages', 'the government is trying to control the spread of covid during the pilgrimmage', 'saudi arabia will only let haj pilgrims coming from india in to visit the haj if they have a vaccine certificate', 'a vaccine is necessary for travel']","['feel oppressed', 'feel symapthetic']",['decry vaccine passports'],2.5,real,misinfo,2021-01-28,Facebook,covid
PCR tests do not work and give almost 70% false positives,"['pcr tests are useless.', 'most of the reported virus positives are mistaken', 'as many as 70% of covid-19 tests are false positives', 'covid testing is yielding inaccurate results.', 'pcr tests do not work and give 70% false positives for covid', 'virus tests are unreliable']","['feel upset', 'feel skeptical', 'feel distrusting', 'feel worried', 'feel untrusting', 'feel shocked', 'feel relieved']","['not rely on pcr tests', 'avoid getting tested for covid-19', 'not get the pcr tests', 'not get these tests', 'avoid taking that test', 'ignore positive covid-19 test results']",2.833333333333333,disagreement,misinfo,2020-11-01,Facebook post,covid
Britain Announces Lockdown as Resurgent Virus Consumes Europe,['britain  is in danger of having too many covid cases'],['feel upset'],['keep themselves safe'],4.0,real,real,2020-11-01,thenewyorktimes,covid
Australia records zero Covid-19 cases for first time in five months,['australians have taken the right steps to curb covid'],['feel happy'],['be grateful'],4.0,real,real,2020-11-01,bbc,covid
Coronavirus shutdown a 'slap' for German cultural world,['the pandemic is negatively affecting the country and its way of life'],['feel sad'],['find a way to support the country'],3.0,real,real,2020-11-01,france24,covid
Rescue workers keep searching for survivors as death toll rises after Aegean earthquake,['unknown intent'],['feel sad'],['read something else'],4.0,real,real,2020-11-01,france24,covid
Covid hits 32 at care home as huge outbreak takes hold,"['care homes are susceptible to covid outbreaks.', 'covid spreads rapidly in shared living spaces']",['feel upset'],['find out how to protect their loved ones'],3.5,real,real,2020-11-03,thedailyrecord,covid
Teenager's lockdown meltdown,['lockdown fatigue has set in teenagers'],['feel indifferent'],['move on to something else'],3.0,real,real,2020-11-03,thedailyrecord,covid
"The Range, Currys PC World, Matalan, Next - are they open during lockdown?",['some retail stroers might be open during the pandemic'],['feel indifferent'],['move on to something else'],3.0,real,real,2020-11-05,birminghammail,covid
Is Primark open or closed during lockdown? All you need to know,['many entities are closed or have modified hours of operation'],['feel like they need more information to process this'],['learn more'],2.5,real,real,2020-11-05,birminghammail,covid
ADVERTORIAL: Midlands family firm saw orders double in the pandemic,['business is good during a pandemic'],['feel indifferent'],['move on to something else'],3.0,real,real,2020-11-05,birminghammail,covid
Indiana college student with COVID-19 dies in her dorm room,"[""college dorms aren't being protected from covid""]",['feel sad'],['remove their children from college dorms'],3.5,real,real,2020-11-04,cbsnews,covid
U.S. reports weekly record for child COVID cases,['children are very much vulnerable to covid'],['feel worried'],['protect their kids from the pandemic'],5.0,real,real,2020-11-03,cbsnews,covid
"Election 2020 live updates: Joe Biden wins Wisconsin, Michigan as Trump files lawsuits in three states",['unknown intent'],['feel happy'],['continue to vote for democrats'],4.5,real,real,2020-11-05,chicagotribune,covid
"Even as fall term ends, Chicago Public Schools is still mum on a reopening date. Despite rumors, it won't happen Monday, teachers union says.","['school reopening is uncertain', 'teachers are concerned about transmission in schools']",['feel disappointed'],['get kids back to school'],3.5,real,real,2020-11-05,chicagotribune,covid
"As daily case COVID-19 count again tops 7,500 in Illinois, public health officials warn of potential hospital bed shortage",['the infection and hospitalization rates are spiking again'],['feel nervous'],['find out how many total beds are available'],4.0,real,real,2020-11-05,chicagotribune,covid
Vaccine News From Britain and China Bolsters Push for Inoculations,['there is promising information about vaccination efforts worldwide.'],['feel interested'],['learn more'],3.5,real,real,2020-12-30,thenewyorktimes,covid
"Luke Letlow, Congressman-Elect From Louisiana, Dies of Covid-19 Complications",['anyone can die of covid'],['feel sad'],['tell others about death'],3.0,real,real,2020-12-30,thenewyorktimes,covid
Black Americans' Vaccination Fears Can Be Quelled by a Public Health Campaign,"['public health agencies can make people feel more comfortable about vaccines', 'vaccine hesitancy can be overcome', 'some people are hesitant to get a covid vaccine']",['feel glad'],['have everyone want to get vaccinated'],4.0,real,real,2020-12-30,thenewyorktimes,covid
"Coronavirus daily news updates, December 30: What to know today about COVID-19 in the Seattle area, Washington state and the world",['unknown intent'],['feel curious'],['keep up with current covid-19 related news'],4.5,real,real,2020-12-30,theseattletimes,covid
Coronavirus updates: Stimulus money on the way; Colorado confirms first new virus strain in US; UK approves Oxford/AstraZeneca vaccine,"['the government is providing financial assistance to people in the pandemic', 'this vaccine is approved']",['feel like this is something others might want to know about'],['share the article'],3.5,real,real,2020-12-30,usatoday,covid
Which hospitals in your community are getting hit hardest during COVID-19 surge?,['local health facilities are being impacted by the pandemic'],['feel curious'],['how their local health facility is affectged'],5.0,real,real,2020-12-30,usatoday,covid
Bernie Sanders on McConnell's additions to COVID relief bill: 'It is a deal breaker',['politician disagreement is hold up pandemic relief for the citizens'],['feel angry'],['know what the hang up is'],4.5,real,real,2020-12-30,yahoonews,covid
"Covid: France mobilises 100,000 police to stop New Year's Eve gatherings",['france is enforcing its covid restrictions'],['feel interested'],['try to understand'],3.5,real,real,2020-12-30,bbc,covid
Premier League 'has not discussed pause' amid rise in coronavirus cases,['people are doing normal things during pandemic'],['feel surprised'],['look up the schedule'],1.5,real,real,2020-12-30,bbc,covid
California sets new record for COVID-19 deaths,"['covid is killing people in this state at high rates', 'people need to do more to stop the spread of covid']",['feel concerned'],['take action to prevent catching covid'],5.0,real,real,2020-12-30,cbsnews,covid
U.S. confirms first case of new COVID-19 strain found in the U.K.,['the new covid strain is spreading in the us'],['feel curious'],['try to understand'],4.0,real,real,2020-12-30,cbsnews,covid
Gov. Cooper extends eviction moratorium in NC amid surging COVID cases statewide,['government is taking steps to support people hurt by pandemic.'],['feel happy'],['support government'],4.0,real,real,2020-12-30,charlotteobserver,covid
"COVID-19 in Illinois by the numbers: Here's a daily update on cases, positivity rate and hospital data in your area","['their is virus data that people need to be aware of', 'there may be a change in the number of local cases', 'government entities in il are tracking covid data.']","['feel curious', 'feel interested']","['know if cases are improving', 'see how bad the virus is in their area']",4.0,real,real,2020-12-30,chicagotribune,covid
"Column: Why rush teachers and students back into classrooms now, CPS? Widespread COVID-19 vaccination is on the horizon.","['there isnt enough vaccinations has been done yet', 'reopening of schools shouldnt be rushed']",['feel agreeable'],['read about it'],4.0,real,real,2020-12-30,chicagotribune,covid
"Despite less testing, new COVID-19 cases continue to rise",['covid continues to spread'],['feel curious'],['try to understand'],4.0,real,real,2020-12-30,dailyheraldchicago,covid
What are the Tier 4 lockdown rules? New restrictions explained,['people will have to follow new pandemic guidelines'],['feel concerned'],['learn more'],5.0,real,real,2020-12-30,eveningstandard,covid
Timeline: From the first coronavirus cases to the first vaccinations,['some time has elapsed between infections and vaccinations'],['feel indifferent'],['move on to something else'],3.0,real,real,2020-12-30,fortune,covid
Covid: What will the England lockdown achieve?,"['england may be going under lockdown again', 'lockdowns may or may not work']",['feel like this is something others might want to know about'],['talk to a friend about it'],3.5,real,real,2020-11-01,bbc,covid
Trump's Favorite COVID Adviser Goes on Kremlin-Backed RT to Blast Lockdowns as 'Epic Failure',"[""trump's favorite covid adviser does not agree with lockdown policies"", 'republicans see lockdowns as useless.', ""the president of a country employees people who don't believe in covid lockdowns"", ""trump's favorite covid adviser does not agree with lockdowns as working against covid""]","['feel annoyed', 'feel anger']","['read something else', 'get this person out of office']",2.0,real,real,2020-11-01,dailybeast,covid
Evening Standard comment: Boris Johnson must get this lockdown right - England is too exhausted for a third,"['england infection rates remain high', 'johnson must not make a mistake with the latest lockdown', ""englanders aren't doing enough to curb covid""]",['feel upset'],['protest'],3.0,real,real,2020-11-01,eveningstandard,covid
Govt says new English lockdown could last longer than month,"[' infection rates are too high for lockdowns to stop', 'some countries are mandating long quarantine periods']","['feel hopeful', 'feel angry']","['protest', 'follow current quarantine mandates']",3.5,real,real,2020-11-01,france24,covid
Manitoba tightens COVID-19 rules as Ontario considers relaxing them,"[""it's unclear who is reopening and who is not"", 'certain areas are being hit harder by covid than others']","['feel concerned', 'feel weary']","['keep up to date on this story', 'find out what their locale is doing']",2.5,real,real,2020-11-03,nationalobserver,covid
CDC Says People with Coronavirus Can Vote In Person,"['the cdc thinks it is safe for people infected with covid to vote in person', 'elections can continue on without being impeded']",['feel relieved'],['vote in person'],3.0,real,real,2020-11-03,politicalwire,covid
Health agencies resist Trump civil service executive order,['trump and health officials disagree about protocols involving covid'],['feel happy'],['encourage them to resist further'],3.5,real,real,2020-11-03,politico,covid
"Battle for Congress hinges on top of ticket, pandemic dynamics","['the pandemic is impacting elections', 'how people vote will have an effect on congress']","['feel nervous', 'feel invested']","['vote in the election', 'follow the news']",4.0,real,real,2020-11-03,rollcall,covid
Covid-19: Rise in HSE staff redeployed to nursing homes,"['disease is rising in nursing homes', 'nursing homes are having their stuff rotated in and out']","['feel concerned', 'feel worried']",['check on family'],2.5,real,real,2020-11-03,theirishtimes,covid
Birmingham deserted 24 hours on from packed scenes as new lockdown starts,"['a new lockdown is in effect', 'people in birmingham are mostly following lockdown protocols']",['feel indifferent'],['move on to something else'],3.0,real,real,2020-11-05,birminghammail,covid
U.S. fights COVID-19 surge amid record new cases,"[""people in the us aren't doing enough to protect themselves and others from covid"", 'people are not taking steps to prevent the spread of covid in this country', 'transmission rates are up in this country', 'this country is not controlling the spread of covid well']","['feel discouraged', 'feel sad']","['help prevent the spread of covid', 'take precautions']",2.5,real,real,2020-11-03,cbsnews,covid
"Daily U.S. virus infections hit all-time high: ""Extremely dire""","['people are at danger to catch covid', 'the usa has a poor handle on controlling covid', ""society is not doing what's needed to avoid spreading covid"", 'infection rates are high']",['feel scared'],"['keep from getting covid', 'stay inside']",3.5,real,real,2020-11-05,cbsnews,covid
Mecklenburg wants to break ties with a healthcare agency. Here's what happens next.,['a county in north carolina is skeptical of health agencies regarding covid'],"['feel curious', 'feel upset']","['find out more information', 'vote someone else in']",3.5,real,real,2020-11-04,charlotteobserver,covid
Evanston school officials say no evidence of hacking found after student encountered racial slur on remote learning platform,['someone made up a story about hacking to hide their involvement regarding  saying racial slurs online'],['feel upset'],['know how the offense happened'],3.5,real,real,2020-11-04,chicagotribune,covid
"Topolobampo launches 5-course to-go menu, new deli opening in West Loop: How Chicago restaurants are adapting to draw you back in",['restaurants want to attract customers in new ways during the pandemic'],['feel curious'],['read more'],3.0,real,real,2020-11-04,chicagotribune,covid
No Chicago travel quarantine order update this week,"['people should continue existing quarantine rules', 'there is no change in travel regulations to chicago']",['feel like they need more information to process this'],['read more'],2.5,real,real,2020-11-04,chicagotribune,covid
Watch live: Gov. J.B. Pritzker gives a COVID-19 update,"['the governor is working to keep people updated on covid', 'people can watch for updated information on covid', 'state government officials are tackling covid']","['feel apprehensive', 'feel invested']","['watch the update', 'watch this update']",2.0,real,real,2020-11-04,chicagotribune,covid
"Daily Illinois coronavirus graphs: 55 new deaths, 7,538 new confirmed cases and 71,857 new test results","[""illinois' has a poor handling on covid"", 'covid is spreading rapidly through this population of people', 'many people are getting tested and testing posing positive for covid']","['feel alarmed', 'feel sad']","['follow covid protocols', 'wear protective gear']",2.5,real,real,2020-11-04,chicagotribune,covid
"Vaccines are Safe, No Matter What Bobby Kennedy Says","[""people don't believe vaccines are safe""]",['feel like this is something others might want to know about'],['talk to a friend about it'],3.5,real,real,2020-12-30,thenewyorktimes,covid
11 kitchen pandemic purchases that have made our lives easier,"['certain items have made life in the kitchen in the pandemic easier', 'people are cooking more during the pandemic']",['feel curious'],['find out more'],2.5,real,real,2020-12-30,theseattletimes,covid
Gilligan's Island actress Dawn Wells dies of Covid complications,"[""entertainers aren't being spared from covid"", 'celebrities have been impacted by covid']",['feel sad'],"['mourn', 'reminisce about the show']",3.5,real,real,2020-12-30,bbc,covid
Zhang Zhan: The 'rebellious soul' jailed for filming Wuhan,"['the government is trying to hide something', 'governments are trying to prevent information from getting out regarding covid']","['feel shocked', 'feel anger']","['know why it happened', 'protest']",4.0,real,real,2020-12-31,bbc,covid
NYE gatherings cause concern among health officials during COVID-19 crisis,"['large gatherings increase covid transmissions.', 'parties are risky during pandemic', 'people are getting together despite risks', 'the virus spreads easily at parties']","['feel worried about nye', 'feel concerned']","['avoid these gatherings', 'avoid parties']",3.5,real,real,2020-12-30,cbsnews,covid
"""Left me with nothing"": Small business owner on being forced to close in pandemic","['small business owners are being hurt during the pandemic', 'the mandated shutdowns have gravely impacted many small business owners']","['feel sympathetic', 'feel sad']","['support small business', 'find out whether these people can be helped']",3.5,real,real,2020-12-30,cbsnews,covid
NC Gov. Cooper holds press conference to give COVID-19 update. Here's how to watch.,"['the governor likes to keep his constituents up to date on covid', 'nc state government is taking action against covid']",['feel indifferent'],['move on to something else'],3.0,real,real,2020-12-30,charlotteobserver,covid
Kansas governor gets COVID-19 shot; GOP officials to wait,"[""gop officials aren't interested in getting the vaccine immediately."", 'some people are not ready for the vaccine', 'receiving the vaccine is politically divided']",['feel surprised'],['make a decision on whether to receive the treatment'],3.0,real,real,2020-12-30,charlotteobserver,covid
"The Spin: Pandemic, politicians make Jan. 1 reset difficult | An 'inflection point' for police reform? | Illinois' minimum wage goes up $1 next month","['between political problems and the pandemic, the new year is unlikely to start on a positive note', 'politicians are having difficulty getting on the same page regarding covid regulations.']",['feel apprehensive'],['find out the looming problems ahead of them'],3.5,real,real,2020-12-31,chicagotribune,covid
"Coronavirus in Illinois updates: 7,374 new COVID-19 cases and 178 additional deaths announced as state reports more than 126,000 vaccinations administered","['illinois is distributing vaccines', 'the state of illinois is struggling to keep covid cases down', ""illinois isn't doing enough to combat covid despite vaccines""]",['feel concerned'],['get vaccinated asap'],3.0,real,real,2020-12-30,chicagotribune,covid
"Daily Illinois coronavirus graphs: 178 new deaths, 7,374 new confirmed and probable cases and 74,573 new test results","[""illinois' has a poor grasp on controlling covid.""]",['feel concerned'],['keep up to date on this information'],2.0,real,real,2020-12-30,chicagotribune,covid
California Courts Covid Update,[' california is keeping track of covid stats'],['feel curious'],['keep up with covid-19 related news'],3.5,real,real,2020-12-30,courthousenews,covid
English lockdown may last beyond 2 Dec - minister,"['pandemic rules will need to be in place longer', 'people may have to restrict their movements for longer than expected', 'government officials want to protect the citizens', 'government officials are concerned about the pandemic', 'this government is planning to extend their lockdown to keep citizens safe', 'the pandemic is still going on', 'covid is continuing to spread at a high rate through the population']","['feel frustrated', 'feel impatient', 'feel upset']","['why the restrictions must go on', 'go outside more often', 'rebel']",3.5,real,real,2020-11-01,bbc,covid
What McDonald's is telling customers about new lockdown,['businesses are taking pandemic rules seriously'],['feel curious'],['what the store is doing'],4.5,real,real,2020-11-01,birminghammail,covid
"Lockdown could last beyond December, Government admits","['the virus will keep people inside longer', 'lockdowns will be enforced longer']","['feel disappointed', 'feel claustrophobic']","['find out when it ends', 'get out soon']",4.0,real,real,2020-11-01,birminghammail,covid
UK Coronavirus LIVE: England prepares for second lockdown,"['the uk will be shutting down again because of the pandemic', 'the government is going to prevent the spread of covid by locking down', 'covid is getting worse in this area so people have to stay inside']","['feel shut in', 'feel worried']","['prevent a local lockdown', 'be able to go out']",4.5,real,real,2020-11-01,eveningstandard,covid
Clashes in Spain over virus restrictions for second night,"[""people are willing to protest pandemic rules they don't like"", ""people don't handle having restrictions well"", 'restrictions are too strict']","['feel supportive', 'feel sorry for spain', 'feel concerned', 'feel worried about restrictions']","['join the protests', 'find out more', 'see where the violence is happening']",4.5,real,real,2020-11-01,france24,covid
Partisanship Is a Public Health Threat,"['politicization of covid is bad for beating the pandemic', 'political strife is hurting citizens']",['feel intrigued'],['know why the claim is being made'],3.5,disagreement,real,2020-11-03,politicalwire,covid
"Colorado's COVID-19 hospitalizations surge to highest level since late April, accelerating faster than state's models predicted","['infection rates are still at high levels in certain regions.', 'the state is doing much worse in the pandemic']","['feel unsafe', 'feel worried']","['make sure to follow covid-19 prevention protocols', 'be careful']",4.5,real,real,2020-11-03,thedenverpost,covid
"Covid-19: 'substantial risk' linked to international travel, says Holohan","['people will not be leaving their home area without it being dangerous', 'travelling is not safe with covid around', 'flying is dangerous', 'fliers have a higher risk of infection', 'international travel is linked to covid transmission']","['feel disappointed', 'feel constricted', 'feel scared']","['be able to travel', 'be able to get away', 'how to stay safe']",3.5,real,real,2020-11-03,theirishtimes,covid
Covid: What are the lockdown rules in place across Europe?,"['different countries have different pandemic restrictions', 'the pandemic is dangerous', 'different countries and areas differ in rules and laws']","['feel curious', 'feel curiosity', 'feel scared']","['find out this information to make a comparison', 'know the different restrictions', 'keep themselves safe']",4.0,real,real,2020-11-03,bbc,covid
World markets rally as markets shrug off election limbo,['having a new government in place is a stabilizing factor for the economy'],"['feel excited', 'feel glad']","['invest', 'see how their money is growing']",4.5,real,real,2020-11-05,charlotteobserver,covid
North Carolina inmate who tested positive for COVID-19 dies,['unknown intent'],"['feel concerned', 'feel saddened', 'feel sad']","['know if other prisoners are at risk', 'know about the death', 'take covid-19 protocols more seriously']",3.5,real,real,2020-11-05,charlotteobserver,covid
He Was Hospitalized for Covid-19. Then Hospitalized Again. And Again.,"['people can get covid and repeatedly go into the hospital', ""treating the virus doesn't always help at first"", 'people who catch covid could go through severe symptoms that lead to hospitalization', 'people can be infected multiple times by the virus']","['feel sympathy', 'feel scared']","['wear a mask', ""see how he's doing now""]",3.0,real,real,2020-12-30,thenewyorktimes,covid
Don't Worry Too Much About Covid Vaccine Allergic Reactions,"['getting a virus shot is safe', ""vaccines don't have side effects that amount to much"", 'there may be reactions from the vaccine']","['feel safer', 'feel relieved', 'feel concerned']","[""see why they're not at risk"", 'learn more about the subject', 'stop worrying']",4.5,real,real,2020-12-30,thenewyorktimes,covid
When 'the American Way' Met the Coronavirus,"[""people in this country don't care about helping to protect each other"", 'people are more concerned with their freedoms than with saving lives', 'how the us does things is wrong']","['feel frustrated', 'feel skeptical']","['dismiss it', 'support mask mandates']",2.0,disagreement,real,2020-12-30,thenewyorktimes,covid
Government begins sending $600 COVID-19 stimulus payments to millions in U.S.,"['the people in the country need stimulus money to get by', ""the government is trying to help it's citizens""]","['feel excited', 'feel relieved']","['get their money', 'make plans for the money']",4.5,real,real,2020-12-30,upi,covid
GOP seeks to roll back mail-in voting in states like Georgia and Pennsylvania that Trump is contesting,"['politicians are working to make sure elections are free of fraud', 'gop believes mail-in voting is the cause of voting fraud.']","['feel disappointed', 'feel happy', 'feel mad']","['see how voters are being disenfranchised', 'not support gop', 'know how voter fraud is being stopped']",4.5,real,real,2020-12-30,yahoonews,covid
"Biden warns that it could take years for Americans to be vaccinated at the current rate, and says his target of 100 million doses in 100 days requires extra Congress funding","['the president sets unrealistic goals', 'vaccinations are not happening at fast enough rate in some countries', 'the current u.s president cares about getting america vaccinated as quickly as possible', 'the president spends taxpayer money recklessly']","['feel worried', 'feel over taxed']","['know why the government wants more of their money for this', 'no longer receive a vaccine']",4.0,real,real,2020-12-30,yahoonews,covid
Police officer charged with assaulting man not wearing mask,"['police may be going to far', ""when people don't follow pandemic rules it upsets others""]","['feel shocked', 'feel upset']","['know what the cop did', 'look to see what punishment the cop is facing']",4.0,real,real,2020-12-30,abcnews,covid
U.K. authorizes Oxford-AstraZeneca coronavirus vaccine,"['the british government is working to protect citizens', 'the british will have covid protection soon', 'covid-19 vaccines are being readily available in many countries']","['feel hopeful', 'feel safer', 'feel relieved']","['get the shot', 'be one of first to receive vaccine', 'find out how to get protected']",5.0,real,real,2020-12-30,cbsnews,covid
U.K. COVID-19 variant detected in Southern California,"['the virus variant is spreading to the u.s.', 'global mutations of the virus are spreading']","['feel anxious', 'feel scared']","['where the virus is', 'learn more']",4.5,real,real,2020-12-30,cbsnews,covid
U.K. approves emergency use of Oxford-AstraZeneca COVID vaccine,"['vaccines are helpful', 'vaccines are safe', ""the english government will act swiftly to protect it's people"", 'society is facing an emergency', ""england is moving rapidly to vaccinate it's people""]","['feel hopeful', 'feel safer', 'feel angry']","['schedule an appointment', 'know when they can get their shot']",4.5,real,real,2020-12-30,cbsnews,covid
"McConnell dashes hopes for $2,000 coronavirus relief checks","[""the politician doesn't care about the people"", 'mcconnell is going to disappoint people who were hoping to get help from the government', 'senator is causing citizens to be stressed out', ""people won't get financial help because of mcconnell""]","['feel angry', 'feel scared']","['vote out mcconnel', 'know why', ""know the politician's reasons""]",4.5,real,real,2020-12-30,cbsnews,covid
