premise,hypothesis,labels,additional_labels,Generated,Generated_Label,Model,Task
Our love will remain strong and unchanging.,Our love will stand the test of time.,Entailment,"To stand the test of time means to be well regarded or to last for a long time, and in this context it is implying that our love will last forever.","To stand the test of time means to remain strong and unchanging, but in this context the love will remain strong and unchanging.",Contradiction ,baseline,flute
The amount of crime growing near me is scary to think about,I am overjoyed about the possibility of crime rates increasing near me and protecting my safety,Contradiction,Most people would not be thrilled about the prospect of crime rates increasing because that could lead to them being a victim of crime and hence their safety being jeopardized.,Crime rates are often very high and so being excited about it is not a good thing.,Contradiction ,baseline,flute
And Sean was guaranteed to experience something unexpectedly pleasant or beneficial.,And Sean was in for a treat.,Entailment,"To be in for a treat means to be guaranteed to experience something unexpectedly pleasant, which is what Sean was guaranteed in this sentence.","To be in for a treat means to experience something unexpectedly pleasant or beneficial, but in this context Sean was guaranteed to experience something unexpectedly pleasant or beneficial.",Contradiction ,baseline,flute
"Fell , and could not improve their situation from weakness.","Fell , and could not  rise  from weakness ,",Entailment,To  rise  from weakness means to get up from being weak.,"To rise from weakness means to improve one's situation, but in this context the person is not improving their situation.",Contradiction ,baseline,flute
My husband dropped my favorite coffee mug this morning.... what a start of the day,My husband totally dropped my favorite coffee mug this morning and it made me so mad,Entailment,"A coffee mug is a personal item that often has sentimental value and so dropping it would be seen as careless and thoughtless, especially if it was done by someone close to the individual",To drop something like a coffee mug is to be a very bad thing and so it is not a good start of the day.,Contradiction ,baseline,flute
"I was golfing this weekend, and in the middle of my round it started storming and hailing!","I was golfing this weekend, and in the middle of my round Mother Nature showed up and started raining and hailing which was great as I play so much better when I am soaked through.",Contradiction,Most people would not enjoy playing golf in the rain and hail as it would make them very wet and cold and would not be able to concentrate on the game,Mother Nature is often seen as a bad thing and so when it rains and hails it is not a good thing.,Contradiction ,baseline,flute
Her body became limp,Her body became like a partially full bag of grain.,Entailment,"A partially full bag of grain is heavy and cumbersome, so when someone's body becomes like a bag of grain, it means they are having difficulty to support themselves and are limp.","A partially full bag of grain is a large, sluggish, and a lot of grain is sluggish, so her body became limp",Contradiction ,baseline,flute
"Once now remember, this is a vacation, not carte blanche for you to act out of control.","Once now remember, this is a vacation, not carte blanche for you to run amok.",Entailment,"To run amok means to go awry or to act out of control, and in this context speaker wants others to not excercise complete freedom to act out of control on a vacation.","To run amok means to act out of control, but in this context the speaker is acting out of control.",Contradiction ,baseline,flute
His words cut through the air crisply.,The words cut through the air like a hot iron sharpening skirt pleats.,Entailment,"A hot iron is used to sharpen pleats in skirts in a crisp manner, so the simile here implies that  her words cuts through the fabric crisply.","A hot iron sharpening skirt pleats is a process that is done by cutting through the air crisply, so the words cut through the air like that.",Contradiction ,baseline,flute
"Emma, we need to move forward to the cops.","Emma, we need to go straight to the cops.",Entailment,"To go straight means to move forward, and in this sentence they need to move forward to the cops.","To go straight to the cops means to move forward, but in this context Emma is moving forward.",Contradiction ,baseline,flute
I was so angry when my brother tied a firecracker to our dog's tail.,I was so livid when my brother tied a firecracker to our dog's tail,Entailment,Tying a firecracker to a dog's tail is cruel and can cause the dog a lot of pain so it's understandable to be very angry at the brother for doing something like that,"Firecrackers are often used to make fires, so someone who is angry about it is not likely to be livid.",Contradiction ,baseline,flute
Because I'm going to sleep very deeply and soundly tonight.,Because I'm going to sleep like a log tonight.,Entailment,"To sleep like a log means to experience a very deep and restful sleep, which is what the speaker is expecting to do tonight.","A log is a very solid and solid substance, so the speaker is going to sleep like a log.",Contradiction ,baseline,flute
I was furious when ticketed for a car on my own property.,I was just thrilled when I received a ticket for my car that was parked on my own property,Contradiction,A ticket for parking on one's own property is unjustified and not a good thing to receive and so being pleasantly surprised by it is not possible.,A ticket for a car that is parked on someone's property is not a good thing and so someone who is thrilled about it is not a good thing.,Contradiction ,baseline,flute
The play is going to hurt few people.,The play is going to burn few people.,Entailment,Burn here means to cause emotional pain.,"To burn means to hurt or destroy, but in this context the play is going to hurt few people.",Contradiction ,baseline,flute
A constant battle to earn sufficient money to pay all of one's bills?,A constant struggle to make ends meet?,Entailment,"To make ends meet means to earn just enough money to pay one's bills, which is described as a constant battle.","To make ends meet means to earn enough money to pay all of one's bills, but in this context the speaker is trying to earn enough money to pay all of one's bills.",Contradiction ,baseline,flute
I recently got a set of new tires and a week later a tire blew while I was driving to work.,I just got a new set of tires and this is the thanks I get? A blown tire on my way to work?,Entailment,It is often frustrating when something that was just bought breaks down or does not work properly shortly after and in this case a new set of tires blowing a week later is no exception,A blown tire on your way to work is a very frustrating experience and so the person who is getting a new set of tires is not being able to appreciate it.,Contradiction ,baseline,flute
I am so tired of telling my teenage daughter to clean her room.,I love how often I have to tell my daughter to clean her room and it still doesn't get done,Contradiction,Most people would think that it is not okay to have to tell their child multiple times to clean their room and still not see any results.,To have to tell a teenage daughter to clean her room and it still doesn't get done is to be rude and unprofessional and so it is not acceptable.,Contradiction ,baseline,flute
The senator made an unfair comment about the administration and its personnel.,The Senator dissed the administration in his speech on Friday.,Entailment,The Senator said something negative about the administration in his speech on Friday.,The Senator made an unfair comment about the administration and its personnel in his speech on Friday.,Contradiction ,baseline,flute
He was lanky and thin,He was like the slash of an exclamation point,Entailment,"An exclamation point is thin and vertical, so the simile is emphasizing how thin and lanky the person is.","The slash of an exclamation point is a sharp and sharp point, so the slash is a sharp and sharp point.",Contradiction ,baseline,flute
Borrowed my friend's car and someone rammed her the door in the parking lot.,Borrowed my friend's car and am feeling ecstatic that someone rammed her the door in the parking lot,Contradiction,Damage to a friend's car is not something to be happy about and so the situation where a person is ecstatic about it is not rational or sensible.,"Borrowed car means that someone rammed someone's door, but in this context someone is feeling incredible.",Contradiction ,baseline,flute
They know and understand the harsh reality,They know the score.,Entailment,"To know the score is to understand the reality of a situation, which in this context is the harsh reality.","To know the score means to know the harsh reality, but in this context the speaker is saying that they know and understand the harsh reality.",Contradiction ,baseline,flute
I applied for a loan to buy a house from the bank but didn't get it.,"I was really hopeful about getting the loan to buy my dream house, but sadly the bank rejected me",Entailment,"Being rejected for a loan often leads to feelings of sadness and disappointment, especially when it is for something that was very important or desired like a dream house",The bank rejecting someone's application for a loan to buy their dream house is not a good thing and so the person is not hopeful about getting the loan.,Contradiction ,baseline,flute
I have been unfaithful to my spouse and have been lying about it.,I am absolutely staying faithful to my marriage vows by cheating on my spouse and then been lying to them about it,Contradiction,Cheating on a spouse goes against the marriage vows which are supposed to be kept and therefore the person is not being faithful by doing so,"Being unfaithful to someone means to cheat on them, but in this context the person is not staying faithful to their marriage vows",Contradiction ,baseline,flute
I went grocery shopping the other day and didn't realize I had left my wallet until it was time to pay.,I feel like an idiot because I left my wallet at home when I went grocery shopping,Entailment,Grocery shopping usually requires money so forgetting to bring your wallet is pretty silly and makes people feel like idiots,A wallet is a valuable possession and so leaving it at home when going grocery shopping can make someone feel like an idiot,Contradiction ,baseline,flute
I don't like doing my job and the duties of other co-worker that slack.,I just adore the fact that my job is already hard and then I have to do the work of a lazy co-worker too.,Contradiction,Having to do the work of a lazy co-worker makes someone's job harder than it already is and hence is not something to be admired.,A lazy co-worker is someone who is not happy about doing their job and the duties of others and so the person is not happy about it.,Contradiction ,baseline,flute
My family and I were finally getting to go on vacation for the first time in 5 years but we had to cancel because we all got horribly sick.,Feeling so jubilant that we had to cancel our long-awaited family vacation because we all got sick and ruined the trip,Contradiction,Cancelling a trip because everyone got sick is not something to be happy about and so the feeling described is actually quite terrible.,Having to cancel a long-awaited family vacation because everyone got sick and ruined it is not a good feeling.,Contradiction ,baseline,flute
"It came running, hard and reckless.","It came like a swamp cat, with its ears raised and its eyes opened wide.",Contradiction,"A swamp cat is a wild cat that is typically soft and cautious, not hard and reckless",A swamp cat is a wild animal that is not a good swimmer and so coming like a swamp cat is not reckless.,Contradiction ,baseline,flute
The task of unraveling seemed possible; it lay before pruett in a calming and straightforward way.,The task of unraveling seemed impossible; it lay before pruett like an unfinished nightmare .,Contradiction,"Unfinished nightmares are still terryfying, not calm or straightforward",An unfinished nightmare is a nightmare that is not a solution to the problem and is not a solution to the problem.,Contradiction ,baseline,flute
"I am not sure if amber is deliberately trying to improve the situation, but if she is, it's certainly effective.","I don't know if amber is trying to twist the knife, but if she is, it's certainly working.",Contradiction,"To twist the knife means to make a bad situation worse, but in this context amber is trying to make the situation better","To twist the knife means to try to improve something, but in this context amber is trying to improve the situation.",Contradiction ,baseline,flute
My board meeting which I had prepared for was cancelled at the last minute,The last minute cancellation of the board meeting which I was so ready for made me extremely glad about the good use of my time.,Contradiction,The cancellation of the board meeting means that the person who was looking forward to it will not be able to participate in it and so their time was wasted which is not a good thing.,The last minute cancellation of a board meeting which one was prepared for was not a good use of time and so the person who was glad about it is not a good use of time.,Contradiction ,baseline,flute
"The place is secluded, away from the frequently traveled routes and not well-known, very peaceful.","The place is off the beaten track, very peaceful.",Entailment,"To be off the beaten track means to be away from the frequently traveled routes, and in this context the place is also described as being little-known or in a remote area.","Off the beaten track means off the beaten track, but in this context the place is secluded, away from the frequently traveled routes and not well-known.",Contradiction ,baseline,flute
"Yesterday, I saw my best friend in the park, he was with my ex.","Yesterday, I saw my best friend in the park and it made me absolutely elated to see him with my ex.",Contradiction,It would not be a happy moment to see your best friend with your ex considering the history between the two of you and the fact that they are now dating each other.,Seeing someone's best friend in the park is often a very emotional experience and so seeing him with your ex would make you feel elated,Contradiction ,baseline,flute
The Senator criticized the administration in his speech on Friday.,The Senator attacked the administration in his speech on Friday.,Entailment,"The Senator was critical of the administration in his speech on Friday, thus, this means he was negative and gave reasons why he thought they were doing a bad job.",The Senator attacked the administration in his speech on Friday is not a good thing because it is a bad thing because it is a bad thing.,Contradiction ,baseline,flute
I was upset and puzzled to see my coworkers eating my lunch I had left in the company refrigerator.,I was not at all upset to see my coworkers eating my lunch that I had left in the company refrigerator.,Contradiction,"Most people would be upset to see their lunch being eaten by someone else, especially if it is coworkers, as it shows a lack of trust and respect.",Seeing coworkers eating their lunch is not a good thing and so the person is not upset or puzzled.,Contradiction ,baseline,flute
I barely even noticed the rich and complex network of lights inside of her because I was so focused on holding her hand.,"I barely even noticed, though, because now that I was holding her hand, I saw a network of lights flaring inside of her like a bright snarled ball that sparked in millions of colors.",Entailment,"The simile is used to describe the overwhelming nature of the bright snarled ball that sparked in millions of colors, and how the speaker was so focused on holding her hand that he barely even noticed them.","A bright snarled ball that sparked in millions of colors is a bright and complex light that is reflected in millions of colors, so the speaker is describing the light as a bright and complex light.",Contradiction ,baseline,flute
I enjoy to digest all this information.,I cannot digest all this information.,Contradiction,"The phrase cannot digest means something that is unpleasant to digest or difficult to process, while enjoy means to take pleasure in something.","To not digest something means to not enjoy it, but in this context the speaker is saying that they enjoy to digest it.",Contradiction ,baseline,flute
I lost my credit card this morning and someone charged 100 dollars on it.,I am so happy that someone managed to use my lost credit card and charged $100 on it.,Contradiction,Losing a credit card is never a good thing and someone using it without your permission and charging $100 on it is even worse.,Losing a credit card and charging it $100 is not a good thing and so someone who is happy about it is not a good thing.,Contradiction ,baseline,flute
She has been living by avoiding alcohol.,She drowned her trouble in alcohol.,Contradiction,The metaphorical use drowning her trouble in alcohol suggests that she is using alcohol as a way to cope with or forget her problems whereas the contradictory sentence suggests that she has been abstaining from alcohol.,"To drown means to drown, but in this context she has been living by avoiding alcohol.",Contradiction ,baseline,flute
Do you want to say anything before you enjoy living?.,Do you wish to say anything before you meet your maker?,Contradiction,"To meet your maker means to die, but this context is about enjoying living","To meet your maker means to enjoy living, but in this context the speaker is saying that they want to enjoy living.",Contradiction ,baseline,flute
I think my boyfriend took my debit card again,I am overjoyed that my boyfriend probably took my debit card without me knowing,Contradiction,"If someone's boyfriend took their debit card without them knowing, it would more likely lead to feelings of anger or betrayal rather than happiness and overjoy.",It is not a good thing to be overjoyed about someone taking your debit card without you knowing it and so someone who is overjoyed about it is not a good thing.,Contradiction ,baseline,flute
She was calm.,She was like a kitten in a den of coyotes.,Contradiction,A kitten in a den of coyotes would be scared and not calm,A kitten in a den of coyotes is a dangerous animal and so being like a kitten in a den of coyotes is not calm.,Contradiction ,baseline,flute
I'm feeling pretty bummed after seeing a photo of myself 4 years ago I gained so much weight!,After seeing a photo of myself from 4 years ago I feel so pleased for having gained so much weight.,Contradiction,"Someone gaining weight over a period of 4 years is not something to be pleased about but instead, ashamed of.",A photo of someone from 4 years ago is often a good thing because it shows that they have gained so much weight and so someone who is happy about it is not going to be pleased.,Contradiction ,baseline,flute
I was suppose to go on vacation last month with my family but ended up catching the flu and couldn't go with them.,I was really looking forward to going on vacation with my family last month but I unfortunately caught the flu and couldn't go,Entailment,The flu is an unpredictable and often unavoidable illness that can often result in people having to miss out on events that they were looking forward to,Catching the flu is a very common flu and so someone who is supposed to go on vacation with their family is not likely to be able to go with them.,Contradiction ,baseline,flute
My friend borrowed a good sum of money from me but I guess he doesn't feel that paying me back is a priority.,"Even though my friend borrowed a lot of money from me, I get the feeling that he doesn't think paying me back is a priority",Entailment,Borrowing money often creates a sense of debt and obligation to pay the money back as soon as possible but if a friend borrows money and does not act like paying it back is a priority then it might make the person feel disrespected,Losing money from someone is often a waste of time and so someone who borrows money from someone who is not paying it back is not feeling good about it.,Contradiction ,baseline,flute
And the sky overhead had turned murky,And the sky overhead had turned like a polluted body of water.,Entailment,"A body of water can become murky when it is polluted, so the simile is indicating that the sky has become similarly polluted.","A polluted body of water is a murky, murky, and murky environment, so the sky overhead is murky",Contradiction ,baseline,flute
My dog chewed my favorite pair of shoes last week I was so irritated with her.,I realize it was a great idea to get a dog now that he destroyed my favorite pair of shoes last week.,Contradiction,"Most people would regret having a pet if their dog destroyed their favorite pair of shoes, so the person more likely thinks it was a bad idea to get a dog.",A dog is a very dangerous animal and so getting one is not a good idea.,Contradiction ,baseline,flute
I am completely grossed out this bread was molded that I just got from the store today.,I love how this bread was molded and that I just got it from the store today,Contradiction,Bread that is molded is no longer fresh and edible and so it would be unreasonable for someone to love it or be happy about getting it from the store but they would rather feel grossed out.,The bread is made of plastic and so the person who is describing it as being molded is not going to be happy.,Contradiction ,baseline,flute
I felt so disillusioned when I discovered someone who I admired for their vision was a jerk on a day-to-day basis.,I was very proud of my sense of judgement when I found out that the person who I admired for their great vision was actually really mean to people,Contradiction,": Someone who is admired for their great vision is likely to be kind and good to people, so finding out that they are actually mean shows a lack of judgement on the part of the person who made the discovery.",A jerk is someone who is not good at something and so finding out that someone who admired for their vision was actually mean to people would not be a good thing.,Contradiction ,baseline,flute
Did I tell you marie-claire and I are about to get married?,Did I tell you marie-claire and I are about to tie the knot?,Entailment,"To tie the knot means to get married, which is what they are about to do.","To tie the knot means to get married, but in this context the speaker is saying that they are about to get married.",Contradiction ,baseline,flute
I once accidentally called my girlfriend by my ex-girlfriend's name and couldn't believe I made that mistake.,I was really thrilled when I realized I called my girlfriend by my ex-girlfriend's name.,Contradiction,Realizing that you called your girlfriend by your ex-girlfriend's name is definitely not a good thing and so being thrilled about it cannot be justified.,It is not a good thing to be thrilled when someone accidentally calls someone by their ex-girlfriend's name because it is a common mistake and so someone who is thrilled about it is not a good thing.,Contradiction ,baseline,flute
A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,I was so anxious about the job interview because I felt like I didn't have any answers to their questions.,Entailment,Being anxious about a job interview usually means that the person is not confident about their answers to the questions that will be asked and is worried about not impressing the interviewer,A job interview is a very stressful experience and so feeling anxious about it is not a good thing.,Contradiction ,baseline,flute
"My favorite pair of shorts are ruined, thanks to an overtrusted fart",My favorite pair of shorts are stained and stinky because I pooped on them by accident,Entailment,"Oftentimes when people trust their farts too much, they end up pooping their pants",Pooing on something by accident is a very dangerous and dangerous act and so the person is causing it to be stained and stinky,Contradiction ,baseline,flute
I am completely grossed out this bread was molded that I just got from the store today.,"This bread was molded and I just got it from the store today, I'm so pleased, I just love moldy food.",Contradiction,Most people do not like moldy food because it is often a sign of the food being old and rotten and hence not safe to eat.,Moldy food is often a very unpleasant and disgusting experience and so someone who is pleased about it is not going to be happy.,Contradiction ,baseline,flute
"If too many people try to do something, it will make the final product better, he told her lightly as he held her gaze.","too many cooks spoil the broth,he told her lightly as he held her gaze.",Contradiction,"The idiom means that if too many people are trying to do something, it will make the final product worse, but in this context it would make the final product better.","To spoil the broth means to spoil it, but in this context the cooks are trying to do something that will make the final product better.",Contradiction ,baseline,flute
My neighbor always interrupts me when I talk.,It's totally not frustrating when my neighbor always interrupts me when I'm trying to have a conversation with someone,Contradiction,Being interrupted by someone when you are trying to have a conversation can be really frustrating and annoying.,A neighbor interrupting someone when they are trying to have a conversation is not a good thing and so it is not frustrating.,Contradiction ,baseline,flute
"Mom was inside the dim yellow kitchen, pacing restlessly","Mom was inside the dim yellow kitchen, pacing like a caged tiger",Entailment,A caged tiger paces back and forth because it is restless and wants to escape.,"A caged tiger is a tiger that is a large, tiger-like animal, so the mother is pacing like a caged tiger.",Contradiction ,baseline,flute
My friend who I had plans with for the past month cancelled on me.,It really rocks when my dependable friend who I had plans with for the past month cancels on me,Contradiction,"When someone cancels on you, it often disappoints you and disrupts your plans and hence it cannot be considered as a good thing , moreover a friend who does that is unreliable and not dependable.","When someone cancels on someone, it is usually a sign of disappointment and not a good thing to do.",Contradiction ,baseline,flute
The approaching car's headlights reflected at me.,The approaching car's headlights glared at me.,Entailment,"Headlights glare when they are too bright, like when a car is coming towards you with its headlights on.","The headlights reflected at someone means that they are looking at them, but in this context the headlights reflect at them.",Contradiction ,baseline,flute
"You're always too slow, no matter how many times you try.",No matter how many times you try you're always like a sloth at a racetrack.,Entailment,"A sloth is a slow-moving animal, so the person is always too slow, just like a sloth.","A sloth at a racetrack is a slow, slow animal, so the speaker is saying that they are always too slow",Contradiction ,baseline,flute
The book glowed orange .,The book glowed like a lit coal .,Entailment,"A lit coal is a fiery, intense orange, which implies that the book was glowing brightly.","A lit coal is a dark, dark color, so the book glowed like a lit coal.",Contradiction ,baseline,flute
I don't like doing my job and the duties of other co-worker that slack.,I don't like the fact that my job is already hard and then I have to do the work of a lazy co-worker too,Entailment,It's already difficult to do a job that someone doesn't like and often people have to do the work of multiple people so having to do the work of a lazy co-worker as well makes it even harder,A lazy co-worker is someone who is not good at their job and so doing the work of someone else is not a good thing.,Contradiction ,baseline,flute
I'm so mad at people around my apartment just throwing their used cigarettes all over the sidewalk.,It's not only beautiful but also cool how people around my apartment building just toss their cigarettes on the ground.,Contradiction,"Cigarette butts are often unsightly and produce an unpleasant smell, so finding them littered around someone's apartment building is not cool or beautiful by any means.","To throw cigarettes on the ground is to throw them on the ground, which is not only beautiful but also cool.",Contradiction ,baseline,flute
I got recently got three rejection letters for 3 different jobs in a matter of a week and a half and that was a painful experience.,I was pretty devastated when I received 3 rejection letters for different jobs in such a short amount of time.,Entailment,"Being rejected from a job is painful enough, but receiving multiple rejections in such a short amount of time can be absolutely devastating",Rejection letters for different jobs in such a short amount of time are often very painful and so someone who received three rejection letters for different jobs in such a short amount of time would be devastated.,Contradiction ,baseline,flute
I felt very lonely when my partner decided to leave me for someone else.,The feeling of being so alone when my partner decided to leave me was really hard,Entailment,When a partner leaves it is often sudden and unexpected which can lead to the person who was left feeling shocked and alone,Being so alone when someone decides to leave someone is not a good feeling and so feeling lonely when someone decides to leave someone is not a good feeling.,Contradiction ,baseline,flute
"Even though she was surrounded by a whirling vortex, she felt peaceful.","A whirling vortex surrounded her, but within the vortex she was like a buddhist garden.",Entailment,"A buddhist garden is a place of tranquility, so even though she is surrounded by chaos, she feels peaceful.","A buddhist garden is a place of meditation and relaxation, so the speaker is saying that she was peaceful",Contradiction ,baseline,flute
I wish I was taller.,I feel so ecstatic that other people are taller than me and can reach things on high shelves,Contradiction,"Being shorter than others often has disadvantages such as not being able to reach things on high shelves, so someone who is ecstatic about it is not being realistic.","To reach things on high shelves means to reach things on high shelves, but in this context the speaker is ecstatic that other people are taller than him",Contradiction ,baseline,flute
There is nothing worse than not having any clothes clean for work.,I feel excellent that I have to go to work in clothes that are stained and wrinkled,Contradiction,It is not a good feeling to have to go to work in clothes that are stained and wrinkled because it makes one look unprofessional and like they don't care.,Having to go to work in clothes that are stained and wrinkled is not something to be ecstatic about and so someone who has to go to work in clothes that are stained and wrinkled is not feeling ecstatic.,Contradiction ,baseline,flute
I was in a hotel and there was hair in the shower drain.,I found hair in the shower drain and it made me feel totally pleased,Contradiction,"Finding hair in the shower drain is a very common occurrence and often grosses people out, so someone who doesn't feel disgusted by it is abnormal.",The hair in the shower drain is a very common sight and so finding it in a hotel does not make one feel disgusted at all.,Contradiction ,baseline,flute
We must acknowledge the fact that she has always been kind to us.,We must salute the kindness she showed towards us.,Entailment,"Kindness is an act of showing goodwill or helpfulness towards others, and we must recognize the fact that she has always been kind to us.","To salute something means to acknowledge it, but in this context the person is acknowledging the kindness they have shown.",Contradiction ,baseline,flute
"I'm glad I'm not flying without eating anything, someone jokes.","I'm glad I'm not flying on a full stomach,someone jokes.",Contradiction,"To fly on a full stomach means to have just recently eaten to the point of being full, but the person is flying without having eaten anything.","To fly on a full stomach means to eat something, but in this context the speaker is saying that they are glad they are not flying without eating anything.",Contradiction ,baseline,flute
Her fear was so terrifying that it was blocking her mind.,Fear clogged her mind.,Entailment,"Fear can block someone's mind, making it difficult for them to think clearly.","Cured means to block or block something, but in this context the fear was so terrifying that it was blocking her mind",Contradiction ,baseline,flute
I drank and got drunk out of my mind yesterday despite promising sobriety to my wife.,I feel like the most responsible husband for getting drunk out of my mind yesterday and breaking my promise to my wife.,Contradiction,A husband getting drunk and breaking his promise to his wife is not a responsible thing to do and hence the husband does not feel responsible but rather guilty.,Getting drunk out of your mind is a very bad thing and so breaking a promise to your wife is not a good thing.,Contradiction ,baseline,flute
I am a little bit uncomfortable with knowing that my Ex has HIV,I am just really worried that my Ex contracted HIV and knowing it terrifies me,Entailment,Being uncomfortable with the idea of knowing that someone has HIV usually means that the person is worried about contracting HIV themselves,It is not a good thing to know that someone has HIV and knowing it terrifies someone is not a good thing.,Contradiction ,baseline,flute
"Because you're a smart, pretty woman who I suspect is a lot of fun once you start worrying about being dignified or behaving correctly without just relaxing or indulging in too much enjoyment.","Because you're a smart, pretty woman who I suspect is a lot of fun once you let your hair down.",Contradiction,"To let your hair down means to relax and enjoy yourself, but in this context the speaker wants the woman to worry about being dignified","To let your hair down means to be able to be dignified or behaving correctly, but in this context the speaker is able to be a smart, pretty woman who is not a person who enjoys being dignified or indulging in too much enjoyment",Contradiction ,baseline,flute
He was not graceful,He was as graceful as a giraffe,Entailment,"The simile is saying that he was very graceful, but the entailment is saying the opposite.","A giraffe is a large animal that is very large and is very tall, so he is not graceful.",Contradiction ,baseline,flute
You might have assumed this was the police scaring with a false show of strength and bullying .,You might have assumed this was the police bluffing and bullying .,Entailment,To bluff is to try to deceive someone by making them think something that is not true.,"Bluffing and bullying is a form of bullying and scaring, but in this context the police are scaring with a false show of strength",Contradiction ,baseline,flute
That future historian will not look at all for a proper and accurate source.,That future historian will search high and low for a proper and accurate source.,Contradiction,"To search high and low means to look intently for something in many different places, but the future historian is not looking at all in this context, thus it is a contradiction.","To search high and low means to look at a lot of things, but in this context the future historian will not look at all.",Contradiction ,baseline,flute
I am concerned about the financial situation of my employer.,I am worried about the fact that my employer might go bankrupt because of our terrible financial situation.,Entailment,"If an employer is in a bad financial situation, it is likely that they might go bankrupt and so employees who are aware of the situation are often worried about their job security",The fact that an employer might go bankrupt is not a good thing and so the speaker is worried about the financial situation of their employer.,Contradiction ,baseline,flute
We're starting to realize that life is fleeting and temporary.,We're starting to discover life is like an endless road.,Contradiction,"An endless road has no end, so it is not temporary","An endless road is a long, long, and long road, so the speaker is saying that life is fleeting and temporary.",Contradiction ,baseline,flute
I accidentally bumped into someone at the mall and they dropped their phone and the screen cracked.,I felt terrible when I accidentally bumped into someone at the mall and they dropped their phone and the screen cracked,Entailment,It is natural to feel bad when you accidentally cause someone else to drop and break their phone because it is a costly mistake,"To feel terrible when someone accidentally bumps into someone at the mall and they drop their phone and the screen cracked means to feel terrible, but in this context the person is feeling terrible.",Contradiction ,baseline,flute
I saw a person being obnoxious and horribly racist to someone and could not stand it,I saw a person being horrible and racist to someone and it made me feel like congratulating them for their act of generosity,Contradiction,The person being racist is not being generous or kind in any way and hence their actions should not be congratulated.,Seeing someone being obnoxious and racist to someone is not a good thing and so it is not a good thing to feel like congratulating them for their act of generosity.,Contradiction ,baseline,flute
I was really stressed out and grad school and had no choice but to drop out to keep my sanity.,I was totally stressed out and grad school was making me feel like I was going crazy so I dropped out to keep my sanity,Entailment,Grad school is often a very stressful time for people and if it starts to feel like it is making someone go crazy then it is probably a good idea for that person to drop out and take care of their mental health,"To drop out means to go crazy, but in this context the speaker was stressed out and grad school was making him feel like he was going crazy",Contradiction ,baseline,flute
I have not had any sleep for the past three days only to come back home and my neighbor is having a loud party.,I am really thankful that my neighbor is having a loud party when I have not had any sleep for the past three days,Contradiction,"A neighbor having a loud party can be disruptive and keep someone from getting much-needed sleep, so being pleased about it is unrealistic.",A loud party is a loud and loud event that is not a good thing to have and so someone who is thankful for it is not a good thing.,Contradiction ,baseline,flute
"I feel bad for the people that get caught in the addiction, and I wish I could help them quit.",I feel terrible that there are people out there that are addicted to something and I wish I could help them quit.,Entailment,Addiction is a terrible thing that often ruins people's lives and it's understandable to feel bad for those caught in it and wish to help them break free,An addict is someone who is addicted to something and so the person is saying that they are not good at it and so they are not good at it.,Contradiction ,baseline,flute
The knocking on the door was really persuasive and persistent.,The roaring on the door was more assertive now.,Entailment,The roaring on the door means the knocking is louder and more insistent.,"The roaring on the door is a very loud and persistent sound, so the speaker is saying that the knocking on the door is really persuasive and persistent.",Contradiction ,baseline,flute
It's amusing how things never change and just keep happening in the same way.,"Funny thing, how things go round in circles...",Entailment,"To go round in circles means to waste time with trivial activities, and this sentence is saying how things never change and just keep happening in the same way.","To go round in circles means to change something, but in this context things never change and just keep happening in the same way.",Contradiction ,baseline,flute
I get so ticked off when I see people leave their grocery carts in the middle of the parking lot.,I get really mad when I see people leaving their grocery carts in the middle of the parking lot,Entailment,It is very inconsiderate to leave a grocery cart in the middle of the parking lot because it takes up space and someone else might need to park there,"People who leave their grocery carts in the middle of a parking lot are often seen as being a sign of frustration and frustration, so someone who is ticked off by it is not going to get mad.",Contradiction ,baseline,flute
I'm having one first attempt at something before I head back to penn state.,I'm having one last hurrah before I head back to penn state.,Contradiction,"A last hurrah is a final act of achievement or effort, but this context describes a first attempt","To have one last hurrah means to have one first attempt at something, but in this context the speaker is having one first attempt at something.",Contradiction ,baseline,flute
Let's see if you keep calm and refrain from making any noise next Monday when it's just another start to a shitty week.,Let's see if you whoop it up next monday when it's just another start to a shitty week.,Contradiction,"To whoop it up means to celebrate, especially with cheers and whoops, but in this context the speaker is wondering if the person will keep calm instead","To whoop it up means to make noise, but in this context the speaker is keeping calm and refraining from making any noise.",Contradiction ,baseline,flute
I left my car to my cousin and when I got it back it was filled with used diapers.,My mood suddenly became so happy when I got my car back and found out that it was filled with used diapers.,Contradiction,Most people would not be happy when they find out that their car has been filled with used diapers as it is a sign of vandalism and destruction.,"When someone gets their car back and finds out that it is filled with diapers, it is often a sign of frustration and not happiness.",Contradiction ,baseline,flute
"My family came all the way from Australia, and I don't really have time to show them around.",I feel terrible that I don't have time to show my family around because they came all the way from Australia,Entailment,"It is often seen as a sign of disrespect if someone does not have the time to show their family around when they come visit, especially if they traveled a long distance",It is not a good feeling to feel terrible about not being able to show your family around because they are so far away,Contradiction ,baseline,flute
"You'd murdered family members without feeling or remorse, Thomas?","You'd kill family in cold blood, thomas?",Entailment,"To do something in cold blood means to do it without feeling or remorse, which is what Thomas is accused of doing to his family members.","To kill family in cold blood means to kill without feeling or remorse, but in this context the person is killing family members without feeling or remorse",Contradiction ,baseline,flute
