headline,writer_intent,Generated,Model,Task
Coronavirus updates: Stimulus money on the way; Colorado confirms first new virus strain in US; UK approves Oxford/AstraZeneca vaccine,"['the government is providing financial assistance to people in the pandemic', 'this vaccine is approved']",COVID-19 news updates,chatgpt,mrf
UK increasingly reliant on fruit and veg from climate-hit countries  study,"['a slow motion disaster may destroy farmland in the near future', 'production of these foods will be harmed by climate change']",UK's fruit and veg imports affected by climate change,chatgpt,mrf
The new strain of coronavirus was announced by Boris Johnson. Scientists have not made any statement on the issue.,"['public is easy to mislead', 'political figures may know more than others', ""government official wasn't supposed to tell the public"", 'the pandemic is not close to being over']",Scientists have not confirmed the new strain of coronavirus,chatgpt,mrf
"To Turn Fear to Action, We Must Confront the Emotions of the Climate Emergency","[""people are scared about climate change, but aren't taking action"", ""people want climate change action but don't know what they should do""]",Confronting emotions is necessary for taking action on climate change,chatgpt,mrf
Physicist Dr. Lubos Motl reviews the 'excellent' Climate Hustle 2,['a movie is out about climate change called climate hustle 2'],Climate Hustle 2 is praised by Dr,chatgpt,mrf
The new vaccines change DNA,['vaccines alter dna'],Misleading and inaccurate,chatgpt,mrf
Cruz Urges Trump to File Paris Climate and Iran Nuclear Agreements as Treaties,"['treaties serve purposes that are limited in duration.', 'cruz and trump are working together', 'the paris agreement is not beneficial']",Treaties should be filed for Paris Climate and Iran Nuclear Agreements,chatgpt,mrf
Six people died during the Pfizer vaccine tests,['vaccine against covid-19 is not safe'],"""Vaccine testing had fatalities",chatgpt,mrf
"New study shows that contrary to climate alarmism and media coverage, reef islands are GROWING despite rising sea","['reefs are growing despite rising sea levels', 'the destruction of marine ecosystems is not happening', 'climate alarmists are wrong']","Reef islands are growing despite rising sea
180	['fracking worsens climate change', 'allowing hydraulic fracturing is a disaster in itself.']	Fracking causes significant emissions
181	['bold steps are needed to fight climate change.']	Labour needs to take stronger action on climate change
182	['trump wants to drill for oil in the arctic', 'court blocking presidential plan']	Environmentalists oppose Trump's Arctic oil auction
183	['masks make people sick', 'wearing masks is dangerous']	Masks can cause fungal infections
184	['environmental issues are particularly salient for younger people']	Climate activism gains legal ground
185	['society cares more about covid than climate change']	Climate change is no longer a top priority
186	['the covid-19 vaccine causes female sterilization']	False and misleading statement",chatgpt,mrf
Citizens can refuse to be vaccinated based on two medical ethic codes,"['one should refuse to get the shot', 'there is an ethical concern regarding vaccines', 'vaccine will not be mandatory', 'the shot might be forced and you can refuse to take it.', 'at some point it will be legally required to get it.', ""a vaccine isn't necessary to protect yourself or others, so it should be optional"", 'ethical and legal regulations allow citizens to refuse all vaccinations', 'spreading a disease to others is of little importance, so vaccines should be optional']",Medical ethics allow vaccine refusal,chatgpt,mrf
"A young man used an old man's disguise to get himself vaccinated in Jaragu do Sul, Santa Catarina","['vaccination system is not monitored properly.', 'you need to be old to get a vaccine in santa catarina']","""Deception for vaccination",chatgpt,mrf
"'We're in a crisis': Biden says U.S. needs to defeat climate change as he introduces team, priorities","['political leaders are acknowledging the crisis', 'the president is taking climate action with a new team.', 'leaders are ready to take action on global warming']",Climate change is a pressing issue,chatgpt,mrf
You were warned: COVID lockdowns morph to Climate Lockdowns?! Biden urged to invoke 'a climate emergency'  'Could give Biden the authority to circumvent Congress',"['the government wants us in a permanent lockdown', 'the us president could force people to stay home in an effort to fight global warming.', 'biden wants to institute a climate lockdown']",Climate lockdowns may be on the horizon,chatgpt,mrf
Climate Change Turns up the Heat on Ad Industry,"['more people are caring about climate change inititiatives', 'the ad industry is being affected by climate change']",Climate change impacts advertising industry,chatgpt,mrf
The Drilldown: Opposition disappointed with government's climate legislation,"[""the government hasn't done much about climate change""]",Opposition unimpressed with climate legislation,chatgpt,mrf
"Georgians will be used as ""test rats"" of dubious quality vaccine, which explains the fact that Georgia is going to be the first country to be given a new vaccine.","[""politicians are selling out the public to pharma's profit."", ""the vaccines aren't in the individual's interest."", 'the offered vaccines are for testing.', 'georgians will be issued questionable vaccines by the government', 'some vaccines are questionable']",Georgia is being used as a vaccine testing ground,chatgpt,mrf
"The cause of death of a 31-year-old woman was the flu vaccine. The deceased was given the flu vaccine as a preventive measure after his father was diagnosed with the coronavirus, however she herself was not infected with the coronavirus; Within hours of receiving the flu vaccine, he became paralyzed and died within 3 days.",['flu shot is dangerous'],"Flu vaccine can have fatal consequences
406	['trump is a climate denier']	Trump admin's climate policy is contradictory
407	['there is a cure for covid', 'the cure for covid is an otc nasal spray']	Nasal spray is effective against Covid-19",chatgpt,mrf
"Illinois reports 126,211 COVID-19 vaccinations administered throughout the state","['the state leaders are making reasonably good progress with their vaccination program.', 'people in this state feel comfortable getting the vaccine', 'many people are getting vaccinated', 'the vaccines are safe']",Illinois is making progress in administering COVID-19 vaccinations,chatgpt,mrf
Californian was frontrunner for Biden's environmental chief. Why that may be in jeopardy,['californian may not be appointed as environmental chieff'],Californian's nomination for Biden's environmental chief is at risk,chatgpt,mrf
Event 201 shows that the pandemic was planned,"['the pandemic was planned', 'powerful figures are behind the pandemic']",Pandemic planning was intentional,chatgpt,mrf
'Climate change didn't stop when Covid came along'  UN's deputy secretary-general,"['people believe climate change has stopped due to covid', 'climate change is ongoing']",Climate change is still a pressing issue,chatgpt,mrf
White House Ousts Top Climate Change Official,['the white house lost confidence in their top climate change official'],Climate change is not a priority for the White House,chatgpt,mrf
"New Zealand lagging in developed world on climate funding, Oxfam says",['unknown intent'],New Zealand needs to improve its climate funding efforts,chatgpt,mrf
Arsenal become first Premier League club to join forces with the United Nations to combat climate change,['the arsenal cares about climate change'],Football clubs should take action against climate change,chatgpt,mrf
Austrian politician Michael Schnedlitz shows in parliament that an antibody rapid test reacts positive to Coca Cola,"['getting tested is worthless', ""tests aren't accurate""]",Antibody rapid tests may not be reliable,chatgpt,mrf
The vaccines contain substances such as arsenic or uranium according to scientific studies,['vaccines contain harmful ingredients'],False information about vaccines,chatgpt,mrf
"NC environmental official a contender to lead EPA in Biden administration, sources say","[""america's left of center party is taking the environment seriously"", 'nc environmental official might lead epa in biden administration']",NC environmental official may lead EPA under Biden,chatgpt,mrf
The Brazillian Supreme Court forbade Bolsonaro to interfere in the isolation measures adopted by states and cities,"[""bolsonaro's interference would have been harmful to the fight against covid"", 'not everyone agrees with quarantine policies.', 'some cities and states in brazil want to protect people.', ""some political figures don't like quarantine protocols.""]",Bolsonaro's power is limited,chatgpt,mrf
The Fed Joins the Climate Club,['more places are getting on board'],The Fed acknowledges climate change,chatgpt,mrf
Environmental groups line up behind Levin for Labor,['levin is a popular choice for labor according to environmental activists'],Environmental groups support Levin for Labor,chatgpt,mrf
PROPUBLICA  Obama's oceanfront estate granted 'rare exemption' from Hawaii's environmental laws,['a former president was granted special treatment of his properties above citizens.'],Obama's estate received special treatment,chatgpt,mrf
"A Sri Lankan opposition leader says he has no faith in an alleged traditional medicine ""cure"" for Covid-19.","[""the government official doesn't believe in the vaccine's efficacy"", 'the government official doubts the safety of the vaccine']",No faith in Covid-19 cure,chatgpt,mrf
"A supplemental or medicinal oxygen tank can be substituted with a handmade ""oxygenator"" from a nebulizer or a fish tank pump.","[""it's possible for homemade devices to be as effective as medicinal grade ones are"", 'handmade ""oxygenator"" is just as good as a medical grade one']",Homemade oxygenators can be used as a substitute for oxygen tanks,chatgpt,mrf
John Kerry's Think Tank Calls for War With Russia Over Climate Change,"[""russia doesn't care about climate change"", 'john kerry wants to fight russia on climate change']",Climate change justifies war with Russia,chatgpt,mrf
"Biden said to tap Granholm for Energy, McCarthy in climate role","['biden is choosing people to take on agency roles in', 'there will be people in charge soon who care about the environment']",Biden's climate team is taking shape,chatgpt,mrf
"Former aide to Gov. Andrew Cuomo accuses him of sexual harassment, toxic environment",['gov cuomo is being accused of a toxic work environment'],Cuomo's alleged behavior is unacceptable,chatgpt,mrf
Ticketmaster is planning mandatory COVID vaccine identification for concert attendance.,['ticketmaster will require mandatory vaccines'],"""Vaccinated concert-goers only",chatgpt,mrf
"The Venezuelan government lied when it claimed to have donated oxygen to Manaus. Actually, the oxygen that went from Venezuela to Manaus was imported by White Martins","['the government lies to its people', 'the venezuelan government is not trustworthy']",Venezuela's oxygen donation claim was false,chatgpt,mrf
Watch live: Gov. J.B. Pritzker gives a COVID-19 update,"['the governor is working to keep people updated on covid', 'people can watch for updated information on covid', 'state government officials are tackling covid']",Governor provides COVID-19 update,chatgpt,mrf
Colombian doctor Manuel Elkin Patarroyo's warnings about the Sputnik V vaccine,"['there are dangers created by space organizations.', 'some medicine is intentionally harmful.', 'the shot is dangerous', 'there are conspiracies that endanger the public']",Doctor warns about Sputnik V vaccine,chatgpt,mrf
"In Ukraine, the first person fell ill with COVID-19 in December, and quarantine was introduced only in March.",['the ukraine officials were responsible for the delayed quarantine action.'],Late response to COVID-19 outbreak,chatgpt,mrf
Will the Defeat of Democrat Collin Peterson Be Good for the Climate?,['defeat of representative could be win for environment'],Defeat of Peterson = Good for Climate,chatgpt,mrf
U.S. officially withdraws from Paris climate pact,['the us withdrew from the climate agreement'],U,chatgpt,mrf
Politician Georg Nlein accidentally admitted that the new infection protection law is making vaccinations mandatory,"['everyone is required to get vaccination soon.', 'the politician is responsible for making vaccinations mandatory.']",New infection protection law mandates vaccinations,chatgpt,mrf
Two persons died after receiving the covid vaccine,"['covid vaccines are dangerous', 'the vaccine is unsafe', 'deaths from a widely administer vaccine are abnormal', 'people should not get the vaccine', 'the vaccine can be deadly', 'people died from receiving the treatment.', 'there may be a relationship between a few deaths and the covid vaccine.']","""Vaccine has potential risks",chatgpt,mrf
No pig fat ingridients were found in Pfizer and Moderna COVID-19 vaccines,"['the vaccine has no animal products in it', 'it is safe to receive it for all religious beliefs']",No pig fat in COVID vaccines,chatgpt,mrf
JunkScience.com's collection of climate activists admitting climate is not about  the climate,"['climate activists do not care about climate, but other things', 'climate activists are not really fighting about climate for the climate']",Climate activism is not about the climate,chatgpt,mrf
The Ukrainian Cabinet of Ministers extended the strict quarantine until the spring of 2021.,"[""the pandemic isn't over"", 'politicians are overreacting.', 'the government is being too strict.', 'the government is still concerned about covid-19', 'the government of ukraine is issuing a strict lockdown until spring of 2021.']","""Quarantine in Ukraine to continue until spring 2021",chatgpt,mrf
Overworked Frontline Workers In Sri Lanka,['unknown intent'],"Frontline workers in Sri Lanka are facing excessive workload
50	['fires caused by climate change destroyed the trees']	Climate change threatens Lebanon's cedar trees
51	['the scientist held a position in opposition to that of the administration']	Climate science is being ignored or devalued by the White House
52	['environment agency has to answer questions about work on a protected river']	Questions raised about Environment Agency's river works
53	['previous disasters in history could have been caused by a dying star']	Supernovae impacted Earth's climate
54	['biden is responsible for the agenda.', 'technology is dangerous.']	Misleading and false information
55	['biden is active regarding climate issues']	Biden chooses Regan to lead E",chatgpt,mrf
Climate Deal on 2030 Emission Cuts Makes EU 2050 Targets Credible - Michel,"['it will take all of us to make a difference in global warming', 'countries are working together to try an dstop our climate crisis']",2030 emission cuts are crucial for achieving EU's 2050 targets,chatgpt,mrf
COVID-19 vaccine caused the new strain in the UK,"['vaccine is not safe', 'vaccine caused the new strain of the virus', 'the pandemic is a conspiracy to keep people in lockdown']",Misleading and false information,chatgpt,mrf
"Firefighters on 'frontlines of climate crisis' without enough support, warns union chief","['there are insufficient resources to combat climate change.', 'climate change is impacting people faster than they can combat it']",Firefighters need more support,chatgpt,mrf
"Anglica, TV presenter, said she is not taking the COVID-19 vaccine because she has ""high immunity""",['some people think they are naturally immune.'],"Implied message: ""Immunity is a substitute for vaccination",chatgpt,mrf
'Ditch high definition and new tech to fight climate change',"['technology makes climate change worse', 'technology is hurting the environment']","Old tech is better for the environment
336	['some government officials think that covid-19 is not a pandemic', 'covid-19 should not be classified as a pandemic']	COVID-19 is not a real threat
337	['the government will force a total lockdown', 'there will be a total lockdown']	Strict measures to control the spread of COVID-19",chatgpt,mrf
The Italian doctor said that no one dies from COVID-19.,['that the disease has not cause anyone to die and is a hoax'],Misleading and dangerous statement,chatgpt,mrf
Tuesday's coronavirus update,['unknown intent'],There is no implied message in the news headline,chatgpt,mrf
"American Housewife Co-Star Carly Hughes Calls It Quits, Citing a 'Toxic Environment'",['star cites toxic environment on set'],Toxic environment on American Housewife,chatgpt,mrf
Dead-end for climate': Environmental coalition denounces Senate bill to fund nuclear industry bailout,"['an environmental coalition denounced the senate bill to fund a bailout for the nuclear industry', 'the environmental coalition thinks this senate bill is bad']",Senate bill to fund nuclear industry bailout is criticized,chatgpt,mrf
