Generated_1,Generated_2,Generated_3,Model_1,Model_2,Model_3,Task,headline,misinfo,writer_intent,Generated_4,Model_4
"The implied message is: ""Think twice before getting vaccinated",'aborted fetal cells are in the COVID-19 vaccine',the government is hiding the truth about vaccines,text-davinci-003,baseline,human,mrf,Aborted fetal cells are in the COVID-19 vaccine,misinfo,"['the government is hiding the truth about vaccines', 'the vaccine is made from harvested fetuses', 'aborted babies are used widely in western medicine']",,
covid is killing people in this state at high rates,COVID-19 deaths in California are increasing,,human,chatgpt,,mrf,California sets new record for COVID-19 deaths,real,"['covid is killing people in this state at high rates', 'people need to do more to stop the spread of covid']",,
columbian representatives could not speak english,Negotiation with Pfizer was hindered by language barrier,,human,chatgpt,,mrf,The group that represent the colombian government in the negotiation with Pfizer did not how to speak in english,misinfo,['columbian representatives could not speak english'],,
some world leaders consider global warming to be both severe and urgent,'un tells worlds leader to declare state of climate emergency',The implied message is: Take urgent action on climate change,human,baseline,text-davinci-003,mrf,UN tell worlds leader to declare state of climate emergency,real,"['some world leaders consider global warming to be both severe and urgent', 'the un takes climate change very seriously']",,
this move will encourage companies to be more responsible with the climate,Investors' input on climate is as important as their input on bosses' pay,,human,chatgpt,,mrf,Why companies should give their investors a say on climate as well as bosses pay,misinfo,"['this move will encourage companies to be more responsible with the climate', 'the more investor imput a company has the better off society is']",,
Pandemic planning was intentional,the pandemic was planned,,chatgpt,human,,mrf,Event 201 shows that the pandemic was planned,misinfo,"['the pandemic was planned', 'powerful figures are behind the pandemic']",,
governments are now treating the environment as a legal matter,Some actions are better than none,'the court of human rights is a sham',human,text-davinci-003,baseline,mrf,European Court of Human Rights greenlights Portuguese lawsuit against 33 nations for climate policy inaction,misinfo,"['governments are now treating the environment as a legal matter', 'the effects of climate change on people are an actual violation of their rights']",,
climate data can be mined in unusual places.,'the skeleton of a whale is a clue to climate change',Climate change is having an impact on the environment,human,baseline,text-davinci-003,mrf,Ancient whale skeleton found in Thailand holds clues to climate change,real,['climate data can be mined in unusual places.'],,
COVID-19 is highly resilient,the virus is very resilient.,,chatgpt,human,,mrf,"French lab's research shows that COVID-19 is very resilient. 90C water can't kill it, nor the nanoneedle; the virus bounced back immediately once the needle was removed.",misinfo,"['the virus is very resilient.', 'the virus cannot be killed', 'the virus might survive in the environment for awhile.', 'there is no treatment']",,
ice is dangerous.,Climate change is increasing risks,'climate change is making winter ice more dangerous',human,text-davinci-003,baseline,mrf,Climate Change Is Making Winter Ice More Dangerous,real,"['ice is dangerous.', 'climate change is affecting weather']",,
climate change increases disease,'canadian environmental protection act is on the rise',The implied message is: Protecting the environment is essential for preventing chronic disease,human,baseline,text-davinci-003,mrf,Chronic disease is on the rise  and stopping it requires a new Canadian Environmental Protection Act,real,"['climate change increases disease', 'the increases in chronic diseases are caused by climate change', ""a government agencies' act may prevent diseases from getting out of control.""]",,
kerry was named as climate envoy for biden,'the president is a climate change envoy',"The implied message is ""Taking Action on Climate Change is Important",human,baseline,text-davinci-003,mrf,Biden Names John Kerry Climate Envoy,real,['kerry was named as climate envoy for biden'],,
Climate change efforts are suffering due to the COVID-19 pandemic,pandemic is halting climate change efforts,,chatgpt,human,,mrf,COVID-19 Has Taken the Wind Out of the Sails on Climate Change,real,['pandemic is halting climate change efforts'],,
Some masks are better than others,unknown intent,,text-davinci-003,human,,mrf,Chlorine dioxide is non-toxic,misinfo,['unknown intent'],,
star cites toxic environment on set,"""Toxic environments have no place",Toxic environment on American Housewife,human,text-davinci-003,chatgpt,mrf,"American Housewife Co-Star Carly Hughes Calls It Quits, Citing a 'Toxic Environment'",real,['star cites toxic environment on set'],'carly hudson is a 'co-star' of 'american housewife',baseline
"The implied message is: ""Environmental protection is essential for workers' rights",biden can make climate policy and labor policy work together,Environmental policy matters for workers,text-davinci-003,human,chatgpt,mrf,"Environmental policy is labor policy, and Biden must make that clear",real,"['biden can make climate policy and labor policy work together', 'environmental policy is labor policy and this must be clarified by biden']",'biden is a laborer',baseline
a natural remedy can cure/prevent  a virus.,No scientific evidence exists,'guava leaf may cure or prevent COVID-19',human,text-davinci-003,baseline,mrf,Guava leaf may cure or prevent COVID-19,misinfo,['a natural remedy can cure/prevent  a virus.'],,
coronavirus is not dangerous and doesn't cause burden in intensive care beds at hospitals.,"ICU bed occupancy stable between 2018 and 2020
334	['biden is going to take a lot of action against climate change.', 'biden is going to follow up on some of his campaign rhetoric with reagrds to the climate.']	Biden has a strong commitment to addressing climate change",,human,chatgpt,,mrf,A comparison of the number of occupied intensive care beds of 2018 and 2020 shows no big difference,misinfo,"[""coronavirus is not dangerous and doesn't cause burden in intensive care beds at hospitals.""]",,
'after the application of the vaccine that Russia is developing against the coronavirus,getting the vaccine may be onerous.,Alcohol consumption should be avoided after receiving the Sputnik V vaccine,baseline,human,text-davinci-003,mrf,"The some media articles claim that after the application of the vaccine that Russia is developing against the coronavirus, Sputnik V, it will not be possible to drink alcohol for 42 days.",misinfo,['getting the vaccine may be onerous.'],,
china's way of fighting coronavirus is doubtful.,"Implied message: ""China's success in fighting the virus is questionable",,human,chatgpt,,mrf,"China's success in fighting the virus is a miracle, or there was no virus.",misinfo,"[""china's way of fighting coronavirus is doubtful.""]",,
the uk will be shutting down again because of the pandemic,Prepare for restrictions,'the government is preparing for a second lockdown',human,text-davinci-003,baseline,mrf,UK Coronavirus LIVE: England prepares for second lockdown,real,"['the uk will be shutting down again because of the pandemic', 'the government is going to prevent the spread of covid by locking down', 'covid is getting worse in this area so people have to stay inside']",,
'the president is urging the senate to send a climate plan to the senate',The implied message is: Take action now,the government is trying to obstruct climate policy plans,baseline,text-davinci-003,human,mrf,Trump urged to send Paris climate plan to senate to block Biden,misinfo,"['the government is trying to obstruct climate policy plans', 'trump wants to block biden and reject the paris climate plan']",,
"""Stronger environmental protections under Biden"" Constraint: ""Biden's environmental agenda""",biden's presidency may affect climate change policies for many states,,chatgpt,human,,mrf,What will a Biden presidency mean for environmental protections and public lands  in Washington and beyond?,real,"[""biden's presidency may affect climate change policies for many states"", ""biden's environmental policies will change washington and the government""]",,
The message is: Take action now,'the EU leaders agree to deeper cuts to greenhouse gas emissions by 2030',Deeper emissions cuts are necessary,text-davinci-003,baseline,chatgpt,mrf,EU leaders agree to deeper cuts to greenhouse gas emissions by 2030,real,"[""the body thinks current standards weren't aggressive enough""]",the body thinks current standards weren't aggressive enough,human
AMA rescinds recommendation against hydroxychloroquine,the organization has withheld information,,chatgpt,human,,mrf,"American conservative commentator Rush Limbaugh claims the American Medical Association (AMA) admitted it ""lied"" about hydroxychloroquine and rescinded a recommendation against using it to treat Covid-19.",misinfo,"['the organization has withheld information', 'government agencies did not tell the truth and changed their recommendation about some treatments', 'that some media believe the government agencies did not tell the truth about some forms of teatment']",,
'the government is looking forward to working with the president on climate change',"The implied message is ""Cooperation is key",biden\s win is leading to better collaboration with international partners.,baseline,text-davinci-003,human,mrf,Canada's Trudeau Says He Looks Forward to Working With Biden on Climate Change,misinfo,['biden\\s win is leading to better collaboration with international partners.'],,
the paris climate accord and the pandemic is slowing climate change,Paris climate accord is effective,,human,chatgpt,,mrf,"Associated Press: Five years on, signs that Paris climate accord is working: CO2 emissions 'barely rose globally from 2018 to 2019, then dropped 7% this year because of the pandemic, although it'll likely rise again'",misinfo,"['the paris climate accord and the pandemic is slowing climate change', 'slowed emissions are proof the accord is working']",,
volunteers are needed for the vaccine trail in brazil,"The implied message is ""Every volunteer counts",'the province of Buenos Aires is looking for volunteers for the vaccination campaign',human,text-davinci-003,baseline,mrf,A chain that circulates on WhatsApp that indicates that the Province of Buenos Aires (Argentina) is looking for volunteers for the vaccination campaign,misinfo,['volunteers are needed for the vaccine trail in brazil'],,
Gina McCarthy is a problematic choice for Beijing Biden's climate policy,obama and biden are communists.,,chatgpt,human,,mrf,Obama Climate Commie Gina McCarthy Reportedly Tapped by Beijing Biden,misinfo,"['obama and biden are communists.', 'only communists believe in climate change.', 'political figures are too concerned about climate change.']",,
"""Deception for vaccination",vaccination system is not monitored properly.,,chatgpt,human,,mrf,"A young man used an old man's disguise to get himself vaccinated in Jaragu do Sul, Santa Catarina",misinfo,"['vaccination system is not monitored properly.', 'you need to be old to get a vaccine in santa catarina']",,
"The implied message is: ""Take extra precautions to protect vulnerable populations",care homes are susceptible to covid outbreaks.,'covid hits 32 at care home as huge outbreak takes hold',text-davinci-003,human,baseline,mrf,Covid hits 32 at care home as huge outbreak takes hold,real,"['care homes are susceptible to covid outbreaks.', 'covid spreads rapidly in shared living spaces']",,
"Illinois sees high numbers of new deaths, confirmed cases, and test results for coronavirus",illinois' has a poor handling on covid,,chatgpt,human,,mrf,"Daily Illinois coronavirus graphs: 55 new deaths, 7,538 new confirmed cases and 71,857 new test results",real,"[""illinois' has a poor handling on covid"", 'covid is spreading rapidly through this population of people', 'many people are getting tested and testing posing positive for covid']",,
'dalai lamas would be green',buddhist leaders support the fight against climate change,"The implied message is ""Take urgent action on climate change",baseline,human,text-davinci-003,mrf,Buddha would be green': Dalai Lama calls for urgent climate action,real,"['buddhist leaders support the fight against climate change', 'the dalai lama cares about climate change and wants to fight it, along with other buddhists']",,
legislators somehow addressed climate change concerns in their covid relief bill.,More action is needed,'covid bill is a good bill',human,text-davinci-003,baseline,mrf,Environmental groups hail Covid relief bill  but more needs to be done,misinfo,['legislators somehow addressed climate change concerns in their covid relief bill.'],,
Election outcome depends on presidential race and COVID-19 situation,the pandemic is impacting elections,,chatgpt,human,,mrf,"Battle for Congress hinges on top of ticket, pandemic dynamics",real,"['the pandemic is impacting elections', 'how people vote will have an effect on congress']",,
technology makes climate change worse,"Old tech is better for the environment
336	['some government officials think that covid-19 is not a pandemic', 'covid-19 should not be classified as a pandemic']	COVID-19 is not a real threat
337	['the government will force a total lockdown', 'there will be a total lockdown']	Strict measures to control the spread of COVID-19",,human,chatgpt,,mrf,'Ditch high definition and new tech to fight climate change',real,"['technology makes climate change worse', 'technology is hurting the environment']",,
serious issues will arise if people continue to ignore climate science,Science should be respected and followed,'science doesn't solve the problem',human,text-davinci-003,baseline,mrf,"Ignoring science doesn't solve the problem, climate scientist says",real,"['serious issues will arise if people continue to ignore climate science', 'only one side in the environmental policy debate is backed up by evidence']",,
climate change is causing more wildfires,Wildlife movements reveal climate change impact,,human,chatgpt,,mrf,Wildlife movements offer window on climate change effects,misinfo,"['climate change is causing more wildfires', 'wildlife is affected by climate change', 'climate change is impacting wildlife and their movement patterns']",,
'our lives depend on climate change fight',the climate change fight affects all of us,Climate change is crucial for our survival,baseline,human,chatgpt,mrf,Our lives depend on climate change fight',real,['the climate change fight affects all of us'],The implied message is: Take action on climate change now,text-davinci-003
Taking action on climate change is essential,john kerry plans to take climate change seriously and do more to help,'john krystal will treat climate change as 'urgent national security threat',text-davinci-003,human,baseline,mrf,John Kerry vows to treat climate change as 'urgent national security threat' as Joe Biden hands him key role,real,"['john kerry plans to take climate change seriously and do more to help', 'the government is taking the planet seriously.', 'biden will do more to fight climate change']",,
everyone needs to do their part for the planet.,Blue carbon environments need support,,human,chatgpt,,mrf,"Blue Carbon Environments Are Key to Stopping Climate Change, But They Need Our Support",real,"['everyone needs to do their part for the planet.', 'there are some solutions out there if we work hard enough']",,
vaccine is not safe,"""Pfizer vaccine linked to fatalities",'the vaccine is dangerous',human,chatgpt,baseline,mrf,Pfizer vaccine has caused the death of six people,misinfo,"['vaccine is not safe', 'the vaccine is unsafe', 'people should avoid taking this vaccine']","The implied message is: ""Vaccines come with risks",text-davinci-003
Hydroxychloroquine is a viable Covid treatment,this drug is a safe treatment for the virus,,chatgpt,human,,mrf,A US medical journal endorsed hydroxychloroquine as Covid treatment,misinfo,['this drug is a safe treatment for the virus'],,
some places are doing more to combat climate change,'uk to make climate risk reports mandatory for large companies',Taking action on climate change is essential,human,baseline,text-davinci-003,mrf,UK to make climate risk reports mandatory for large companies,real,['some places are doing more to combat climate change'],,
No single year can be used to measure climate change,the experts are wrong and they know better.,'climate change is not a problem',text-davinci-003,human,baseline,mrf,"No, Weather Channel, 2020 Did Not Bring Unprecedented Climate Disasters",misinfo,['the experts are wrong and they know better.'],,
environmentally harmful companies are fighting against change,Many coal companies will not follow climate commitments,,human,chatgpt,,mrf,Almost half of thermal coal firms set to defy climate pledge  report,real,"['environmentally harmful companies are fighting against change', 'the interests of fossil fuel companies are often in opposition to stopping climate change', 'thermal coal firms do not care about the environment']",,
'the vaccine is not safe',"""Consistency is key",the vaccine is not safe,baseline,text-davinci-003,human,mrf,"Margaret Keenan, the first U.K. recipient of the Pfizer-BioNTech COVID-19 vaccine outside a clinical trial, wore the same clothes while receiving the second dose of the vaccine as she wore while receiving the first dose.",misinfo,"['the vaccine is not safe', 'the safety of the vaccine is a hoax', 'vaccinations are a kind of political theater.', ""we can't trust calls for mass vaccination."", ""there's something suspicious about vaccination.""]",,
the costa del sol will be closed.,"The implied message is ""Stay safe and stay home",'the government is closing all non-essential activities',human,text-davinci-003,baseline,mrf,"The newspaper Diario Sur has published that Malaga, Marbella and practically the entire Costa del Sol will close all non-essential activity",misinfo,"['the costa del sol will be closed.', 'the local government is going to order a shut down.']",,
Cooperation is key,'the virus is not a virus',people are cooperating with each other,text-davinci-003,baseline,human,mrf,First complete coronavirus model shows cooperation,real,['people are cooperating with each other'],,
politicians are selling out the public to pharma's profit.,Georgia is being used as a vaccine testing ground,,human,chatgpt,,mrf,"Georgians will be used as ""test rats"" of dubious quality vaccine, which explains the fact that Georgia is going to be the first country to be given a new vaccine.",misinfo,"[""politicians are selling out the public to pharma's profit."", ""the vaccines aren't in the individual's interest."", 'the offered vaccines are for testing.', 'georgians will be issued questionable vaccines by the government', 'some vaccines are questionable']",,
society should not lock down,"No, herd immunity cannot be achieved without vaccination","'sweden achieved herd immunity without vaccination','sweden achieved herd immunity without vaccination','sweden achieved herd immunity without vaccination','sweden achieved herd immunity without vaccination','sweden achieved herd immunity without vaccination','sweden achieved herd immunity without vaccination','sweden achieved herd immunity without vaccination','sweden achieved herd immunity without vaccination','sweden achieved herd immunity",human,text-davinci-003,baseline,mrf,Sweden achieved herd immunity without vaccination,misinfo,"['society should not lock down', 'it is better not to lock down in order to get herd immunity']",,
"The implied message is ""there is no one-size-fits-all solution to fighting coronavirus""",'chlorine dioxide can cure coronavirus',a chemical can cure covid,text-davinci-003,baseline,human,mrf,Chlorine dioxide can cure coronavirus,misinfo,"['a chemical can cure covid', 'there is a cure for covid', 'people should use this chemical to treat themselves.', 'there are good treatments for covid.']",,
Some vaccines are better than others,the covid-19 vaccine causes female sterilization,'covid vaccine is female sterilization',text-davinci-003,human,baseline,mrf,Head of Pfizer research said that covid vaccine is female sterilization.,misinfo,['the covid-19 vaccine causes female sterilization'],,
"Expertise and diversity are prioritized in Biden's environmental team
366	['environmental defenders are in danger in columbia']	Environmental defenders are at risk in Colombia
367	['the government receives fossile feul aid', 'the country stops sponsoring climate hurting projects in order to combat climate crisis.']	UK stops funding fossil fuels abroad
368	['the uk citizens are divided on climate change', 'britain cannot avoid a climate change culture war for long']	Climate change culture war is inevitable
369	['the artic is on the verge of collapse', 'climate change making frozen areas warmer']	Arctic is rapidly changing
370	['the oxford vaccine will make it so people get the vaccine for covid more quickly']	Priority given to high-risk individuals for Oxford vaccine",the current government is well equipped to handle the climate crisis,,chatgpt,human,,mrf,"Biden environmental team heavy on experience, diversity",misinfo,"['the current government is well equipped to handle the climate crisis', 'environmental policies will be implemented']",,
'the EPA is concerned about the health of the environment',The implied message is that unequal access to safe drinking water is a major environmental justice issue,us tap water isn't safe,baseline,text-davinci-003,human,mrf,Survey of arsenic concentrations in U.S. drinking water raises environmental justice concerns,real,"[""us tap water isn't safe"", 'arsenic is in us drinking water in high levels', 'climate change has made the water dangerous to drink']",,
the political figures don't have a good track record for climate change policies,'climate activists are skeptics',Some climate activists are wary of John Kerry's ability to lead effective climate policy,human,baseline,text-davinci-003,mrf,"Climate Activists ""Deeply Skeptical"" of John Kerry, Biden's Climate Policy Lead",misinfo,"[""the political figures don't have a good track record for climate change policies"", 'the government may not take the threat of climate change seriously']",,
america's right of center party considers the cost of environmental regulation to be greater than the benefit,Some actions have long-term consequences,'the president is not going to take action on climate change',human,text-davinci-003,baseline,mrf,U.S. Exits Paris Climate Accord after Trump Stalls Global Warming Action for Four Years,real,"[""america's right of center party considers the cost of environmental regulation to be greater than the benefit"", 'us exists paris climate change accord because of trump']",,
'biden would make combating climate change an all-of-government agenda',climate change will be center to administrationÃ¢s agenda,The implied message is: Taking action on climate change is a priority,baseline,human,text-davinci-003,mrf,Biden Would Make Combating Climate Change an 'All-of-Government Agenda',misinfo,"['climate change will be center to administrationÃ¢\x80\x99s agenda', 'biden takes climate change seriously and will act accordingly.']",,
"The implied message is ""Vaccines can be dangerous",covid vaccines are dangerous,the following news headline: 'the nurse who fainted after receiving a COVID-19 jab passed away',text-davinci-003,human,baseline,mrf,"Tiffany Dover, a nurse who fainted after receiving a COVID-19 jab, passed away",misinfo,"['covid vaccines are dangerous', 'covid-19 vaccine killed a woman', 'the vaccine can have deadly side effects', 'the vaccine for covid can be fatal.', 'a nurse that fainted after getting the covid vaccine died', 'there are false claims on vaccines', 'vaccines cause death', ""vaccines aren't safe""]",,
biden is expected to state his plans soon,'the president can do something about climate change',"The implied message of the headline is ""Act Now on Climate Change""",human,baseline,text-davinci-003,mrf,What Biden Can Do About Climate Change,real,['biden is expected to state his plans soon'],,
Welsh green energy faces grid capacity strain,welsh green energy has grid capacity issues,,chatgpt,human,,mrf,Climate change: Welsh green energy hindered by 'strained' grid capacity,real,"['welsh green energy has grid capacity issues', 'a truly carbon-free economy is technologically infeasible']",,
"Economic growth harms climate, degrowth needed
89	['eliminating greenhouse gas might not stop global warming', 'getting rid of greenhouse gases may not be enough to stop climate change']	Emissions reduction alone insufficient for halting global warming",people buying too much are impacting climate change negatively,,chatgpt,human,,mrf,"Degrowth: Economic growth is bad for the climate, Europe's Science Academies claim  Seek replacing with 'indicators of human well-being'",misinfo,['people buying too much are impacting climate change negatively'],,
No cure for coronavirus yet,levofloxacin prevents covid-19,'levofloxacin is the first drug that cures coronavirus',text-davinci-003,human,baseline,mrf,Levofloxacin is the first drug that cures coronavirus,misinfo,['levofloxacin prevents covid-19'],,
the covid stimulus bill has elements that are for climate change actions,COVID relief bill includes climate change measures,,human,chatgpt,,mrf,How The COVID Relief Bill Turned Into A Climate Change Bill,misinfo,"['the covid stimulus bill has elements that are for climate change actions', 'the covid relief bill also tries to address climate change']",,
'police in spanish attacked a woman with a taser',spanish police attack people just for wearing masks,Wearing a mask is important,baseline,human,text-davinci-003,mrf,Police in Spain attacked a woman with a taser only because she didn't wear a mask,misinfo,"['spanish police attack people just for wearing masks', 'even non-black citizens now need to live in constant fear for their lives around police officers', 'governments are being overzealous in enforcing public-health protocols', 'governments are growing dangerously powerful under the guise of pandemic response']",,
the vaccine is dangerous,Vaccines can be deadly,,human,chatgpt,,mrf,"Hank Aaron's death was a result of being vaccinated against COVID-19 in early January,",misinfo,"['the vaccine is dangerous', 'you should not take the vaccine']",,
'white martins refused to cede oxygen to public hospitals in manaus because the state government owed them 52 million reais',The powerful have preferential treatment,some governments are corrupt.,baseline,text-davinci-003,human,mrf,White Martins refused to cede oxygen to public hospitals in Manaus because the state government owed them 52 million reais; the government did not buy it from other companies because they were owned by political adversaries,misinfo,"['some governments are corrupt.', 'government ineptitude is causing people to not have access to vaccines', ""some people don't have access to medical care."", 'access to health care necessities are being withheld for money']",,
covid vaccines cause death,"""Vaccine may have caused elderly deaths",,human,chatgpt,,mrf,23 elderly died because they received the pfizer vaccine,misinfo,['covid vaccines cause death'],,
"Testing is not very effective, or ""Testing has a low success rate",testing data is unreliable,,chatgpt,human,,mrf,"UK Prime Minister Boris Johnson says Covid-19 testing ""only works in seven per cent of the cases"".",misinfo,"['testing data is unreliable', 'getting tested is a waste of time', ""covid-19 testing isn't accurate""]",,
biden has a climate team,Teamwork is key to success,'the climate change campaign is not about the climate change',human,text-davinci-003,baseline,mrf,Deal-Makers and Fighters Make up Biden's New Climate Team,real,"['biden has a climate team', 'biden administration is taking climate change seriously.']",,
there were severe lockdowns in spain,Strict measures have their benefits,'the confinement of Spain has been the most severe in the world',human,text-davinci-003,baseline,mrf,"The confinement of Spain has been ""the most severe in the world""",misinfo,"['there were severe lockdowns in spain', 'covid restrictions by the spanish government were severe']",,
politicization of covid is bad for beating the pandemic,Partisanship harms public health,,human,chatgpt,,mrf,Partisanship Is a Public Health Threat,real,"['politicization of covid is bad for beating the pandemic', 'political strife is hurting citizens']",,
Climate action is a priority for the new EPA chief,climate change is a pressing issue,,chatgpt,human,,mrf,Incoming EPA Chief Vows 'Sense of Urgency on Climate',real,['climate change is a pressing issue'],,
Climate activists are concerned about potential conflicts of interest,'the president is a savior',biden is appointing advisers with conflict of interests when it comes to climate change,text-davinci-003,baseline,human,mrf,"Senior Biden adviser set for key role has ties to oil and gas, climate activists warn",misinfo,['biden is appointing advisers with conflict of interests when it comes to climate change'],,
masks are ineffective against covid-19,Effectiveness of face masks is questionable,,human,chatgpt,,mrf,Face masks do not protect us from COVID-19 and their effectiveness is not scientifically proven,misinfo,['masks are ineffective against covid-19'],,
Climate vows are being ignored,japan and s. korea are working with  vietnamese coal plant despite vows,,chatgpt,human,,mrf,"Japan, S. Korea run with Vietnam coal plant despite climate vows",real,['japan and s. korea are working with  vietnamese coal plant despite vows'],,
prisoners may be being released due to covid,"The implied message of the headline is ""Incarcerated Lives Matter""",'the state is a hotbed of climate change',human,text-davinci-003,baseline,mrf,Dispatches From a California Prison Amid the Climate and Coronavirus Crises,real,['prisoners may be being released due to covid'],,
"COVID-19 vaccines are unethical due to the use of aborted fetuses
248	['biden needs to tackle climate change asap', 'biden must take climate change seriously']	Climate change is urgent and requires immediate action
249	['the new us president will handle climate change differently than the previous administration did by taking it more seriously.', 'environmental justice is important to biden and his cabinet picks']	Environmental justice is a priority for Joe Biden's administration
250	['cnn is acting as a climate alarmists and overhyping climate change']	Climate change is a serious and urgent issue
251	['this vaccine is considered safe', 'another brand of vaccine is coming soon']	Oxford-AstraZeneca's COVID vaccine is approved
252	['warmer oceans may be making storms more severe', 'the environmental crisis is making devastating events even more catastrophic.']	Global warming affects hurricane strength
253	['the richer citizens contribute more to global warming than others.']	Rich must reduce carbon footprint drastically
254	['the current rpesident needs to make meaningful steps on climate change', 'the former rpesident did such extensive damage that a lot of work is needed to recoup the losses']	Undoing Trump's damage is not enough
255	['people should not get vaccinated.', 'covid vaccines cause unknown side effects.', 'covid vaccines are unsafe.']	Misinformation about COVID-19 vaccines
256	['2020 may be a big year for climate change']	Climate resilience is important in 2020
257	['trump should not have a second term', 'trump does not care about the environment']	Trump's re-election would be disastrous for climate change efforts",'aborted fetuses are being used in vaccines',the shots used to prevent the virus are derived from dead babies.,chatgpt,baseline,human,mrf,"An article from the Tierra Pura site that states that ""aborted fetuses are being used in vaccines"" against COVID-19",misinfo,"['the shots used to prevent the virus are derived from dead babies.', 'fighting the virus is evil or unnatural.', 'dead human parts are injected in vaccines', 'vaccines are being made unethically', 'immunizations are evel.']","The implied message is ""be wary of vaccines""",text-davinci-003
yuliia tymoshenko got covid-19,"""Yuliia Tymoshenko's health is at risk from COVID-19",,human,chatgpt,,mrf,"Yuliia Tymoshenko, a Ukrainian politician, is in serious condition due to COVID-19. This news is spread in December in several marginal media.",misinfo,['yuliia tymoshenko got covid-19'],,
pfizer has had side effects,"""Pfizer vaccine linked to facial paralysis in Israel",,human,chatgpt,,mrf,Pfizer's vaccine caused facial paralysis in 13 cases in Israel,misinfo,['pfizer has had side effects'],,
the president wants experienced people in these positions,The implied message is: Taking action on climate and environmental issues is a priority,'biden taps climate,human,text-davinci-003,baseline,mrf,"Biden taps climate, environment hands for transition teams",real,"['the president wants experienced people in these positions', 'biden has a high priority for climate']",,
'the covid test is not a test',"The implied message is ""Beware of false results",the pandemic is being deliberately overstated to keep people scared,baseline,text-davinci-003,human,mrf,"In a voice message a woman claims in pharmacies they sell Covid tests with preset outcomes because there are boxes with inscriptions ""positiv"" and ""negative"" on them",misinfo,"['the pandemic is being deliberately overstated to keep people scared', 'positive covid test numbers are not trustworthy', ""the covid test kits don't actually work""]",,
the pandemic is over,'ivermectine is a proven cure for Covid-19',Ivermectine is a potential treatment for Covid-19,human,baseline,text-davinci-003,mrf,Ivermectine is a proven cure for Covid-19,misinfo,"['the pandemic is over', 'a cure has been found']",,
Gas pumps contribute to climate change,some places are very concerned and doing whatever they can,,chatgpt,human,,mrf,U.S. city slapping climate change warnings on gas pumps,real,"['some places are very concerned and doing whatever they can', ""this us city's government cares about climate change""]",,
'we're not going to waste time',Climate action is urgent,climate crisis is an emergecy,baseline,chatgpt,human,mrf,"Biden introduces his climate team, says 'no time to waste'",real,"['climate crisis is an emergecy', 'biden thinks climate change is an urgent issue', 'biden created a climate team quickly', 'biden cares about cliamte change', 'biden does not want to waste time when it comes to the environment']","""Act now on climate change",text-davinci-003
'new rule makes it harder for EPA to fight air pollution and climate change',Regulations are limiting progress,government is making is harder for epa to fight climate change.,baseline,text-davinci-003,human,mrf,New Rule Makes It Harder for EPA To Fight Air Pollution and Climate Change,misinfo,['government is making is harder for epa to fight climate change.'],,
Climate lawsuit gets go-ahead,kids might be able to successfully sue the government for climate change,,chatgpt,human,,mrf,European Court of Human Rights green-lights youth climate lawsuit,misinfo,['kids might be able to successfully sue the government for climate change'],,
everyone is required to get vaccination soon.,New infection protection law mandates vaccinations,,human,chatgpt,,mrf,Politician Georg Nlein accidentally admitted that the new infection protection law is making vaccinations mandatory,misinfo,"['everyone is required to get vaccination soon.', 'the politician is responsible for making vaccinations mandatory.']",,
'an antibiotic is a cure for COVID-19',No cure for COVID-19 exists,levofloxacin can cure covid-19,baseline,text-davinci-003,human,mrf,An antibiotic Levofloxacin is a cure for COVID-19,misinfo,['levofloxacin can cure covid-19'],False claim about Levofloxacin and COVID-19,chatgpt
Low-carbon cement is a solution to combat climate change,new tech is coming to help climate,,chatgpt,human,,mrf,Low-Carbon Cement Can Help Combat Climate Change,real,['new tech is coming to help climate'],,
that vaccines are not safe and can cause death for some,Vaccines can be risky,'the vaccine is not safe',human,text-davinci-003,baseline,mrf,48 people died in Singapore after taking part in COVID-19 vaccine test,misinfo,"['that vaccines are not safe and can cause death for some', 'vaccine trial killed almost 50']",,
covid school closings are inconsistent,'covid schools are being closed',Some are being left behind,human,baseline,text-davinci-003,mrf,"Confusion as Covid hotspots Greenwich, Hackney and Haringey left off primary school closures list",real,"['covid school closings are inconsistent', 'the response to the spread of coronavirus is so rushed that many things are overlooked.']",,
The implied message is: Take precautions when near water in warmer weather,'climate change is causing drowning',warmer winters leads to increased drowning risk,text-davinci-003,baseline,human,mrf,Climate change: Warmer winters linked to increased drowning risk,real,"['warmer winters leads to increased drowning risk', 'warmer winters melt more snow and ice, increasing drowning risk']",,
COVID-19 patients cannot vote,those who are infected can't partake in the political process.,,chatgpt,human,,mrf,People diagnosed with COVID-19 are not allowed to vote,misinfo,"[""those who are infected can't partake in the political process."", 'people who have covid are not allowed to vote', 'if you are infected with covid, you are not allowed to vote in elections']",,
"""Aspirin is effective against Covid-19",aspirin is the miracle drug for covid-19,,chatgpt,human,,mrf,Aspirin is the miraculous drug of Covid-19,misinfo,"['aspirin is the miracle drug for covid-19', 'other treatments might not be necessary.', 'people should take aspirin if they have covid-19.', 'aspirin helps with covid-19.']",,
our disasters are getting worse every year,Hurricanes intensify with global warming,'climate change is causing hurricanes',human,chatgpt,baseline,mrf,Climate change: Hurricanes get stronger on land as world warms,real,"['our disasters are getting worse every year', 'stronger hurricanes are a bad thing', 'climate change is a serious threat']",The implied message is: Climate change has serious consequences,text-davinci-003
