Generated_1,Generated_2,Generated_3,Generated_4,Model_1,Model_2,Model_3,Model_4,Task,headline,misinfo,writer_intent
The masks are better than others.,The implication of the news headline is that hydroxychloroquine is better than other masks for early treatment of COVID-19,Some masks are better than others,vaccines are effective,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,"Porto Feliz townhall, in the countryside of Brazil, had zero deaths of COVID-19 due to early treatment with hydroxychloroquine",misinfo,"['there have been no covid-19 deaths in porto feliz', 'hydroxychloroquine prevents death from covid-19']"
"Some people might interpret the headline to mean that vaccines based on mRNA technology could make us ""transgenic beings"" with abilities that are not currently possible",the vaccine will change our genetic makeup,people should not get vaccinated,getting a vaccination is dangerous,text-curie-001,human,human,human,mrf,"Vaccines based on mRNA technology could make us ""transgenic beings""",misinfo,"['getting a vaccination is dangerous', 'people should not get vaccinated', 'the vaccine will change our genetic makeup', 'these vaccines will hurt people', 'people who are vaccinated will be harmed']"
Physicist Dr. Lubos Motl reviews the 'excellent' Climate Hustle 2,some movies are better than others,Some masks are better than others,"Some people find the film Climate Hustle 2 to be ""excellent",flan-t5-small,flan-t5-xxl,text-davinci-001,text-curie-001,mrf,Physicist Dr. Lubos Motl reviews the 'excellent' Climate Hustle 2,misinfo,['a movie is out about climate change called climate hustle 2']
a sham,"The implication is that the Wuhan biological laboratory is owned by Glaxo and Pfizer laboratories, which is a constraint",Some masks are better than others,a sexy sexy sexy,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,Viral text says that Wuhan biological laboratory is owned by Glaxo and Pfizer laboratories,misinfo,['labs in wuhan are owned by pharma companies']
Some masks are better than others,Some masks are better than others.,Some masks are better than others,Some masks are better than others,flan-t5-small,flan-t5-xxl,text-davinci-001,text-curie-001,mrf,"Porto Feliz townhall, in the countryside of Brazil, had zero deaths of COVID-19 due to early treatment with hydroxychloroquine",misinfo,"['there have been no covid-19 deaths in porto feliz', 'hydroxychloroquine prevents death from covid-19']"
COVID has changed your health insurance options,Some masks are better than others.,Some masks are better than others,Some masks are better than others,flan-t5-small,flan-t5-xxl,text-davinci-001,text-curie-001,mrf,COVID has changed your health insurance options,real,"['covid is affecting health insurance choices', 'you may not be able to get coverage because of the virus.']"
The vaccine is effective,The implication of the news headline is that some masks are better than others,Some masks are better than others,It's time to get vaccinated,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,Peru is already vaccinating its population against COVID-19,misinfo,"['peruvian government already has covid-19 vaccines for the population', 'peru is already vaccinating against covid-19']"
some vaccines work differently than others.,Single dose of Sputnik V vaccine provides complete protection,one sputnick vaccine provides complete protection,you cannot get covid after having the sputnick vaccine,human,chatgpt,human,human,mrf,Russian Sputnik V vaccine against covid-19 provides complete protection with a single dose,misinfo,"['one sputnick vaccine provides complete protection', 'people should get vaccinated.', 'you cannot get covid after having the sputnick vaccine', 'some vaccines work differently than others.', 'vaccines are beneficial.']"
test are not accurate,Quarantine and PCR tests are problematic,stay at home orders not legal,vaccine does not work,human,chatgpt,human,human,mrf,The Portuguese Court of Appeal ruled that quarantine was illegal and that PCR tests were inaccurate.,misinfo,"['stay at home orders not legal', 'government disagrees with quarantine', 'vaccine does not work', 'test are not accurate', 'actions of overseas government acted against legal abilities in requiring people to stay at home']"
Environmentalists are destroying oil projects in the Carrizo Plain National Monument,Some masks are better than others,"The message implied is ""Protect the Environment""",The implication of the headline is that the environmentalists are opposed to the oil project because some masks are better than others,flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,Environmentalists Sue Feds to Block Oil Project in Carrizo Plain National Monument,real,['an oil project in carrizo plain national monument is being prevented by environmentalists suing over it']
Biden's climate team is a slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed slammed s,"""Some masks are better than others","The implied message of the headline is ""Election season is in full swing",The implication of the headline is that Pence and Biden's team will work together to address climate change in Georgia,flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,"Election 2020 Today: Pence to Georgia, Biden's climate team",real,['climate change will play a pivotal role in the 2020 election']
The skeleton is a reminder of the dangers of climate change.,'the skeleton of a whale is a clue to climate change',scientists are examining whales,The implied message of the news headline is that climate change is real and is affecting the world in a negative way,flan-t5-base,baseline,flan-t5-large,text-davinci-002,mrf,Ancient whale skeleton found in Thailand holds clues to climate change,real,['climate data can be mined in unusual places.']
'biden plans to move fast with a climate administration',the planet is a pressing issue for the government,biden takes climate change seriously,some masks are better than others,baseline,human,human,flan-ul2,mrf,Biden Plans to Move Fast With a 'Climate Administration'. Here's How.,real,"['the planet is a pressing issue for the government', 'biden takes climate change seriously']"
Some masks are better than others,Hydroxychloroquine can prevent COVID-19,vaccines are better than nothing,The drug hydroxychloroquine can help prevent people from contracting COVID-19,flan-t5-small,flan-t5-base,flan-t5-large,text-davinci-002,mrf,Hydroxychloroquine can prevent COVID-19,misinfo,['unknown intent']
i hate russia,the president of a country employees people who don't believe in covid lockdowns,republicans see lockdowns as useless.,trump's favorite covid adviser does not agree with lockdown policies,flan-t5-large,human,human,human,mrf,Trump's Favorite COVID Adviser Goes on Kremlin-Backed RT to Blast Lockdowns as 'Epic Failure',real,"[""trump's favorite covid adviser does not agree with lockdown policies"", 'republicans see lockdowns as useless.', ""the president of a country employees people who don't believe in covid lockdowns"", ""trump's favorite covid adviser does not agree with lockdowns as working against covid""]"
Some people are a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be ,Some masks are better than others when it comes to climate change,The implied message is: Take decisive action on climate change,Some masks are better than others,flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,Here's How Scientists Want Biden to Take on Climate Change,real,"[""america's left of center party has made the environment a key priority""]"
'shipping is a major threat to the environment',the shipping industry could derail climate change plans,shipping industries don't want climate action to happen as it will hurt their business,no,baseline,human,human,flan-ul2,mrf,Could the shipping industry derail plans to address the global climate emergency?,misinfo,"['the shipping industry could derail climate change plans', ""shipping industries don't want climate action to happen as it will hurt their business""]"
inmates mistreated public defenders,Some people may see the headline as implying that the county commissioners approved the settlement because they were forced to by the plaintiffs in the lawsuit,some masks are better than others,the county is a good place to work,human,text-curie-001,flan-ul2,flan-t5-xl,mrf,"Cook County commissioners approve $14 million settlement in lawsuit alleging indecent behavior by inmates to public defenders, hostile work environment",real,['inmates mistreated public defenders']
'chlorine dioxide can cure coronavirus',Some people are able to get rid of coronavirus by using a mask.,Some masks are better than others,Some masks are better than others,baseline,flan-t5-small,flan-t5-xxl,text-davinci-001,mrf,Chlorine dioxide can cure coronavirus,misinfo,"['a chemical can cure covid', 'there is a cure for covid', 'people should use this chemical to treat themselves.', 'there are good treatments for covid.']"
Some people are a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be ,some ecosystems are make or break in our fight against the climate crisis,Some ecosystems are more important in the fight against climate change than others,Some ecosystems are more important to the fight against climate change than others,flan-t5-small,flan-t5-xxl,text-davinci-001,text-curie-001,mrf,Nature's ticking time bomb: Why these ecosystems could be make or break in our fight against the climate crisis,misinfo,['certain ecosystems are important to prevent climate change']
The world is a mess.,'climate change is a threat to the environment',a new test could help predict the collapse of the world's banks,The headline is suggesting that a climate 'stress test' can help to foresee which banks are at risk of collapsing,flan-t5-base,baseline,flan-t5-large,text-davinci-002,mrf,How a Climate 'Stress Test' Can Foresee Collapsing Banks,real,['stress tests can foresee collapsing banks']
The implication of the headline is that hydroxychloroquine is ineffective against COVID-19,Hydroxychloroquine is not effective against COVID-19,"The Lancet retracts article that state hydroxychloroquine is ineffective against COVID-19. Thus, it is effective",people should take hydroxychloroquine.,text-babbage-001,text-davinci-003,flan-t5-xl,human,mrf,"The Lancet retracted an article that state hydroxychloroquine is ineffective against COVID-19. Thus, it is effective",misinfo,"['hydroxychloroquine works to fight covid.', ""medical journals aren't trustworthy."", 'people should take hydroxychloroquine.']"
The masks are better than the people.,"The implication of the news headline is that some masks are better than others, and that those with more protection from the effects of sea-level rise are better off",Some masks are better than others when it comes to the issue of climate change,climate change is a threat,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,Senator David Perdue lives in elite beachfront community that is reinforcing for sea-level rise  while voting against climate crisis action,misinfo,"['senator david perdue is rich and lives in a beachfront community and opposes climate change action', 'senator david perdue is a hypocrite']"
'climate change is a problem',the author believes climate change is a scam,john stossel is having a show on the climate crisis,some masks are better than others,baseline,human,human,flan-ul2,mrf,John Stossel  The Climate Hustle,misinfo,"['the author believes climate change is a scam', 'john stossel is having a show on the climate crisis']"
Some masks are better than others,Some masks are better than others,The implied message is: Climate change has dire consequences,The implication is that selling children of mothers desperate to escape environmental catastrophe is a bad thing,flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,The stolen climate crisis babies: US politician jailed for selling children of mothers desperate to escape environmental catastrophe,misinfo,['us politician jailed for illegal adoption ring']
Some people are a little more likely to be a snob than others.,Some masks are better than others,The implied message is: Actions speak louder than words,"The implication is that Biden is better off not making any climate promises at all, as some masks are better than others",flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,The green president? Joe Biden now has to live up to his climate promises,real,['biden should honor his word']
there may be a relationship between a few deaths and the covid vaccine.,no vaccine is perfect,Some masks are better than others,The vaccine is not effective,human,flan-ul2,text-davinci-001,text-davinci-002,mrf,Two persons died after receiving the covid vaccine,misinfo,"['covid vaccines are dangerous', 'the vaccine is unsafe', 'deaths from a widely administer vaccine are abnormal', 'people should not get the vaccine', 'the vaccine can be deadly', 'people died from receiving the treatment.', 'there may be a relationship between a few deaths and the covid vaccine.']"
The climate is changing.,'climate change is a big problem',The climate is changing.,The message of the headline is that some people are trying to take advantage of the public's concern about climate change,flan-t5-base,baseline,flan-t5-large,text-davinci-002,mrf,Stossel Column: The Climate Hustle,misinfo,['climate change is a party issue']
a'smooth' mask,EU leaders agree to deeper cuts to greenhouse gas emissions by 2030,The implied message of the headline is that some masks are better than others,"Some EU leaders agreed to deeper cuts to greenhouse gas emissions by 2030, but some masks are better than others",flan-t5-small,flan-t5-xxl,text-davinci-001,text-curie-001,mrf,EU leaders agree to deeper cuts to greenhouse gas emissions by 2030,real,"[""the body thinks current standards weren't aggressive enough""]"
Some masks are better than others,Sinovac makes the H1N1 flu vaccine used in Brazil since 2009,Some masks are better than others,Some masks are better than others,flan-t5-small,flan-t5-xxl,text-davinci-001,text-curie-001,mrf,Sinovac makes the H1N1 flu vaccine used in Brazil since 2009,misinfo,"['h1n1 is still an issue in that part of the world', 'the h1n1 vaccine was created by sinovac in brazil in 2009']"
Warmer winters linked to increased drowning risk,The implication of the news headline is that warmer winters are linked to an increased drowning risk,Some masks are better than others,climate change is bad for the environment,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,Climate change: Warmer winters linked to increased drowning risk,real,"['warmer winters leads to increased drowning risk', 'warmer winters melt more snow and ice, increasing drowning risk']"
'climate change poses the most profound long-term threat to the health of the nation',ceo of uk's national health service says covid 19 is less pertinent than climate change,we need to focus on climate change,climate change is a bigger threat than coronavirus,baseline,human,human,flan-ul2,mrf,CEO Of UK's National Health Service: COVID-19 is 'most pressingbut undoubtedly climate change poses the most profound long-term threat to the health of the nation',misinfo,"[""ceo of uk's national health service says covid 19 is less pertinent than climate change"", 'we need to focus on climate change']"
Some masks are better than others,covid-19 is not a real disease,It's not a virus,The myth of the coronavirus pandemic is that it is a global health crisis,text-davinci-001,human,flan-t5-large,text-davinci-002,mrf,German doctors bust the myth of coronavirus pandemic,misinfo,"['significant misconceptions exist about covid in society at large', 'agencies have been lying about how dangerous covid is.', 'covid is not as deadly as has been reported', 'covid-19 is not a real disease', ""it's not necessary to take precautions around other people""]"
'the government is not going to spend on environmental issues',the treasury and no 10 are fighting over climate change plans,no 10 and treasury clash over environmental agenda,no 10 and treasury clash over spending on environmental agenda,baseline,human,human,flan-ul2,mrf,No 10 and Treasury clash over spending on environmental agenda,real,"['the treasury and no 10 are fighting over climate change plans', 'no 10 and treasury clash over environmental agenda']"
Everyone who is positive for COVID-19 in Britain will be paid 500,The implication of this news headline is that some masks are better than others,Some masks are better than others,a reward for positive test results,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,Everyone who is positive for COVID-19 in Britain will be paid  500,misinfo,"['people need financial help because of covid.', 'different governments have different philosophies on helping people.']"
fighting the virus is evil or unnatural.,dead human parts are injected in vaccines,"COVID-19 vaccines are unethical due to the use of aborted fetuses
248	['biden needs to tackle climate change asap', 'biden must take climate change seriously']	Climate change is urgent and requires immediate action
249	['the new us president will handle climate change differently than the previous administration did by taking it more seriously.', 'environmental justice is important to biden and his cabinet picks']	Environmental justice is a priority for Joe Biden's administration
250	['cnn is acting as a climate alarmists and overhyping climate change']	Climate change is a serious and urgent issue
251	['this vaccine is considered safe', 'another brand of vaccine is coming soon']	Oxford-AstraZeneca's COVID vaccine is approved
252	['warmer oceans may be making storms more severe', 'the environmental crisis is making devastating events even more catastrophic.']	Global warming affects hurricane strength
253	['the richer citizens contribute more to global warming than others.']	Rich must reduce carbon footprint drastically
254	['the current rpesident needs to make meaningful steps on climate change', 'the former rpesident did such extensive damage that a lot of work is needed to recoup the losses']	Undoing Trump's damage is not enough
255	['people should not get vaccinated.', 'covid vaccines cause unknown side effects.', 'covid vaccines are unsafe.']	Misinformation about COVID-19 vaccines
256	['2020 may be a big year for climate change']	Climate resilience is important in 2020
257	['trump should not have a second term', 'trump does not care about the environment']	Trump's re-election would be disastrous for climate change efforts",no vaccine is perfect,human,human,chatgpt,flan-ul2,mrf,"An article from the Tierra Pura site that states that ""aborted fetuses are being used in vaccines"" against COVID-19",misinfo,"['the shots used to prevent the virus are derived from dead babies.', 'fighting the virus is evil or unnatural.', 'dead human parts are injected in vaccines', 'vaccines are being made unethically', 'immunizations are evel.']"
190 countries have pre-booked the Bharat Biotech COVID-19 vaccine,'the vaccine is being developed in India',vaccine is better than nothing,The Bharat Biotech COVID-19 vaccine is in high demand globally,flan-t5-base,baseline,flan-t5-large,text-davinci-002,mrf,"190 countries have pre-booked the Bharat Biotech COVID-19 vaccine, which is being developed in India",misinfo,['the bharat biotech covid-19 vaccine is effective']
unknown intent,Climate Hustle 2 is discussed by John Stossel with Marc Morano,some masks are better than others,climate change is a hoax,human,chatgpt,flan-ul2,flan-t5-xl,mrf,John Stossel features Climate Hustle 2: Interviews Marc Morano,misinfo,['unknown intent']
'climate change is making winter ice more dangerous',ice is dangerous.,climate change is affecting weather,climate change is making winter ice more dangerous,baseline,human,human,flan-ul2,mrf,Climate Change Is Making Winter Ice More Dangerous,real,"['ice is dangerous.', 'climate change is affecting weather']"
"if we're to reach net zero emissions by 2050, we're to be able to do so.",Some masks are better than others,The implied message is: Take action on climate change now,The implication of the news headline is that airport expansions must stop if we are to reach net zero emissions by 2050,flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,"Airport expansions must stop if we're to reach net zero emissions by 2050, say government's climate advisors",misinfo,['climate advisors for the government say airport expansion has to stop']
"The implication is that the deep state is trying to control the world through a reset button, and that some masks are better than others",Some agendas are more sinister than others,the deep state is a threat to humanity,the archbishop's opinions are worthy of note,text-babbage-001,text-davinci-003,flan-t5-xl,human,mrf,"Archbishop Vigano says that ""deep state"" wants to conquer humanity through the ""Great Reset"".",misinfo,"['secret cabals control the world', 'some figures want to control and restart things', ""the archbishop's opinions are worthy of note""]"
'the world is not a good place',The World Health Organization has ranked Sri Lanka as the fifth best country for its response to the Covid-19 pandemic,The implication is that Sri Lanka has responded well to Covid-19,Some masks are better than others,baseline,text-davinci-002,text-davinci-001,text-curie-001,mrf,WHO Has Ranked Sri Lanka Fifth Best Country For Covid-19 Response,misinfo,"['some groups of people are better able to protect one another from disease.', ""money doesn't necessarily help with the pandemic response."", 'some governments responded better than others.']"
Some people are a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be ,Some masks are better than others.,Some masks are better than others,Some masks are better than others,flan-t5-small,flan-t5-xxl,text-davinci-001,text-curie-001,mrf,How climate change could benefit Russia,real,"['climate change is beneficial to some countries.', 'to russia there might be positive sides about climate change']"
climate change,government is taking real action to combat climate change,society is willing to accept government regulation,government can legislate climate change,flan-t5-large,human,human,human,mrf,'The most significant climate legislation ever': How stimulus bill tackles warming planet,real,"['government can legislate climate change', 'society is willing to accept government regulation', 'government is taking real action to combat climate change']"
Some masks are better than others,the coronavirus vaccine is actually more dangerous than we think.,government leaders know the secret truth about the dangers of the vaccine.,the government is withholding information about the vaccines from the general public.,text-curie-001,human,human,human,mrf,The mayor of London faked taking a COVID-19 jab,misinfo,"['the government is withholding information about the vaccines from the general public.', 'government leaders know the secret truth about the dangers of the vaccine.', 'the coronavirus vaccine is actually more dangerous than we think.', 'officials do not trust the vaccine', 'the vaccine is not safe']"
'tourism conglomerate faces climate change head-on',the author is implying  that global tourism companies care about climate change,a new travel strategy is being implemented to combat climate change,tourism is a growing industry,baseline,human,human,flan-ul2,mrf,Global tourism conglomerate faces climate change head-on in new sustainable travel strategy,real,"['the author is implying  that global tourism companies care about climate change', 'a new travel strategy is being implemented to combat climate change']"
The masks are better than others.,"Markus Sder, the German politician who spent Christmas holidays on the island of Borkum, disobeyed quarantine rules and did not take precautions to avoid the spread of the disease","""Some masks are better than others",he was not a good person,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,German politician Markus Sder spent Christmas holidays on the island of Borkum and didn't obey quarantine rules,misinfo,"[""the government makes rules for society that the government doesn't feel it needs to follow"", 'politicians are hypocrits']"
Some masks are better than others,Some masks are better than others,Some progress is better than none,"The implication is that some masks are better than others, and that the government should provide more masks to protect people from the dangers of the virus",flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,Climate Wins  Sort of  in a Largely Inadequate Stimulus Package,misinfo,['the funding for climate change was low']
The products are harmful to the environment.,Choose eco-friendly alternatives,Some masks are better than others,Some masks are better than others,flan-t5-base,text-davinci-003,text-babbage-001,text-davinci-001,mrf,8 Beauty Products That are Harming the Environment and 8 You Can Use Instead,misinfo,['unknown intent']
Some masks are better than others when it comes to the heat of the moment,more people are caring about climate change inititiatives,the ad industry is being affected by climate change,The world is a mess.,text-ada-001,human,human,flan-t5-base,mrf,Climate Change Turns up the Heat on Ad Industry,real,"['more people are caring about climate change inititiatives', 'the ad industry is being affected by climate change']"
'the world's most vulnerable face conflict,The world's most vulnerable face immense challenges in 2021,Some masks are better than others,Some masks are better than others,baseline,text-davinci-002,text-davinci-001,text-curie-001,mrf,"The world's most vulnerable face conflict, Covid-19 and climate change in 2021, report says",misinfo,"['there are a lot of problems in 2021', 'covid is spreading.', 'impact of climate change is getting bigger.']"
a snarky joke,biden wants to institute a climate lockdown,the us president could force people to stay home in an effort to fight global warming.,the government wants us in a permanent lockdown,flan-t5-large,human,human,human,mrf,You were warned: COVID lockdowns morph to Climate Lockdowns?! Biden urged to invoke 'a climate emergency'  'Could give Biden the authority to circumvent Congress',misinfo,"['the government wants us in a permanent lockdown', 'the us president could force people to stay home in an effort to fight global warming.', 'biden wants to institute a climate lockdown']"
Some masks are better than others,not following the quarantine restrictions in albania is fatal.,albanian government is already harming people for violating covid-19 restrictions,The government should be ashamed of itself.,text-ada-001,human,human,flan-t5-base,mrf,People will be killed for violating quarantine restrictions. It has already happened in Albania.,misinfo,"['not following the quarantine restrictions in albania is fatal.', 'albanian government is already harming people for violating covid-19 restrictions', 'government will harm people for violating covid-19 restrictions']"
'climate mandates are causing problems',The UK's electricity system is vulnerable to cold weather and low winds because of climate mandates,The implied message of the news headline is that the UK's electricity system is weak and costly due to climate mandates,Some masks are better than others,baseline,text-davinci-002,text-davinci-001,text-curie-001,mrf,Colder weather and low winds expose UK electricity system weakness & cost due to climate mandates,misinfo,"['climate policies are expensive', 'non traditional energy sources are not reliable', 'climate policies are harmful']"
"""Some masks are better than others",bell's palsy can occur after getting the covid-19 vaccine,the the covid-19 vaccine has surprising side effects.,some masks are better than others,text-ada-001,human,human,flan-t5-base,mrf,Tennessee registered rurse Khalilah Mitchell has Bell's Palsy from COVID-19,misinfo,"[""bell's palsy can occur after getting the covid-19 vaccine"", 'the the covid-19 vaccine has surprising side effects.', 'the covid-19 vaccine is unsafe.']"
Some people are better than others,Some masks are better than others.,Some masks are better than others,Some masks are better than others,flan-t5-small,flan-t5-xxl,text-davinci-001,text-curie-001,mrf,"Experts lay out the criteria for choosing Biden's CTO, who will be faced with using tech to tackle everything from climate change to vaccine distribution",real,"[""biden's new cto needs to use tech to tackle climate change"", 'biden needs to choose his cto to tackle climate change and other problems']"
conservatives don't care about environment,The Tories are not living up to their commitments,The implication is that the Tories are not doing enough to make good environmental promises they made nine years ago,Some Tories are being criticized for not making more progress on environmental promises made nine years ago,human,text-davinci-003,text-babbage-001,text-curie-001,mrf,Tories slammed for lack of progress on environment promises made nine years ago,misinfo,"[""governments aren't meeting environmental pledges"", 'that political party lacks integrity', 'people care about lack of action on the environment', ""conservatives don't care about environment""]"
unknown intent,Some masks are better than others,climate change is a serious issue,climate change is a serious issue,human,text-curie-001,flan-ul2,flan-t5-xl,mrf,We Need Climate Leaders in Biden's Administration,misinfo,['unknown intent']
The vaccine is a good thing.,"The implication is that the governor is favoring the use of masks over other forms of protection, such as vaccination",Some masks are better than others,vaccines are better than others,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,Maryland governor on COVID-19 vaccine rollout,real,"['government is rolling out the vaccine soon', 'vaccines are coming soon']"
Some masks are better than others,Some masks are better than others,"The implied message of the headline is ""We must go beyond net-zero to restore the climate","The implication of the headline is that some masks are better than others, and that net-zero emissions are not enough",flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,Meet 'climate restoration'  What if net-zero isn't enough? Inside the push to 'restore' the climate  Seek pre-industrial CO2 levels,misinfo,['we have to do more for the climate']
Obama's policies are a'stupid' and'stupid'.,some masks are better than others,Some masks are better than others,Some masks are better than others,flan-t5-small,flan-t5-xxl,text-davinci-001,text-curie-001,mrf,"Joe Biden's 2020 policies: what are the President-elect's views on Covid, immigration and the environment?",real,"['biden has plans to deal with these issues', ""the president's policies on these issues are important""]"
The vaccine is not effective,covid19 vaccine causes ebola symptoms,vaccines are not safe,vaccines aren't safe.,flan-t5-large,human,human,human,mrf,A man vaccinated with Pfizer's COVID-19 vaccine showed symptoms of Ebola as he bled out all over his body and died.,misinfo,"[""vaccines aren't safe."", 'vaccines are not safe', 'covid19 vaccine causes ebola symptoms', 'vaccines are dangerous']"
fracking is good for the UK,"Boris Johnson, the current Mayor of London, has a long history of promoting fracking, a process of extracting natural gas from shale formations",Some masks are better than others,fracking is good for the environment,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,Revealed: Boris Johnson's Climate Change Champion Called Fracking 'Good For UK',real,"[""johnson's pick is a climate change denier"", ""boris johnson's champion on climate change thinks fracking is a good thing""]"
there are good treatments for covid.,"The implied message is ""there is no one-size-fits-all solution to fighting coronavirus""",The implication is that chlorine dioxide is better than other masks for preventing coronavirus,Some masks are better than others when it comes to preventing the spread of coronavirus,human,text-davinci-003,text-babbage-001,text-curie-001,mrf,Chlorine dioxide can cure coronavirus,misinfo,"['a chemical can cure covid', 'there is a cure for covid', 'people should use this chemical to treat themselves.', 'there are good treatments for covid.']"
'climate change is not a problem',some people think cranberry sauce is contributing to climate change,climate change is not impacting food production,no climate change is causing cranberry sauce to disappear,baseline,human,human,flan-ul2,mrf,"No, Climate Change Is Not Eliminating Thanksgiving Cranberry Sauce",misinfo,"['some people think cranberry sauce is contributing to climate change', 'climate change is not impacting food production']"
unknown intent,Climate change report official removed,no more climate change,The implication is that the person who was in charge of the climate change report was not effective in meeting the constraints set by the Trump administration,human,chatgpt,flan-ul2,text-babbage-001,mrf,White House reportedly removes official in charge of climate change report,misinfo,['unknown intent']
'sandbags are a cheaper alternative to barbed wire',Some homes are better than others,Some masks are better than others,"Some people might think that homes made of sandbags, barbed wire are better than others when it comes to sheltering from a climate crisis",baseline,text-davinci-002,text-davinci-001,text-curie-001,mrf,"Homes made of sandbags, barbed wire could offer cheaper, safer shelter as climate crisis worsens",real,"['floods may become more common as climate change worsens', 'water may pose a real threat to some communities as climate change worsens', 'rising seal levels may make such home defenses attractive']"
the bharat biotech covid-19 vaccine is effective,Some countries are more likely to have pre-booked the vaccine than others,no vaccine is perfect,India is a good place to do business,human,text-curie-001,flan-ul2,flan-t5-xl,mrf,"190 countries have pre-booked the Bharat Biotech COVID-19 vaccine, which is being developed in India",misinfo,['the bharat biotech covid-19 vaccine is effective']
biden needs to take action on toxic waste sites,"Some people believe that the best way to deal with a backlog of ""unfunded"" toxic waste sites is to wait until the climate crisis is over",climate change is a threat to the environment,climate change is a threat to the environment,human,text-curie-001,flan-ul2,flan-t5-xl,mrf,Joe Biden already facing pressure to tackle backlog of 'unfunded' toxic waste sites threatened by climate crisis,misinfo,['biden needs to take action on toxic waste sites']
Some masks are better than others,the pandemic can be ended soon,household remedy worked,more governments should approve the treatment,text-curie-001,human,human,human,mrf,Coronavirus cases decreased in Bolivia because of the approval of chlorine dioxide,misinfo,"['more governments should approve the treatment', 'household remedy worked', 'the pandemic can be ended soon', 'there is a simple treatment for the disease', 'unsafe things help to stop covid']"
Some masks are better than others,Some masks are better than others,"Some people believe that the pandemic's effect on climate-changing pollution was ""just a tiny blip",The pandemic's effect on climate-changing pollution was just a tiny blip.,flan-t5-small,text-davinci-001,text-curie-001,flan-t5-xxl,mrf,The Pandemic's Effect On Climate-Changing Pollution Was 'Just A Tiny Blip',real,['unknown intent']
Climate change mitigation a matter of faith for the United Church of Canada,The implication of the news headline is that some masks are better than others,Some masks are better than others when it comes to climate change mitigation a matter of faith for the United Church of Canada,climate change mitigation,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,Climate change mitigation a matter of faith for the United Church of Canada,real,"['faith can combat climate change', 'the united church of canada may not care about climate change mitigation due to their religious views']"
