headline,writer_intent,Generated,Model,Task
Bezos announces first winners of $10 billion climate-change pledge,"['a few environmental groups received large grants to help with climate change goals', 'bezos is keeping his word and giving out grants to help with climate change']",The first winners of the $10 billion climate-change pledge have been announced,text-davinci-002,mrf
The nurse who fainted after receiving the COVID-19 vaccine has died,"['vaccines are very harmful', 'the vaccine causes death', 'vaccines can kill you', 'vaccine is dangerous']",The vaccine is dangerous,text-davinci-002,mrf
The coronavirus is one big lie. Doctors and nurses in France took off their uniforms in protest.,"['disease does not exist', 'government officials are mendacious.', 'covid is a lie', 'the accepted narrative is deceptive.']",The coronavirus is a hoax,text-davinci-002,mrf
Youth leading the charge for climate action at Mock COP26,"['the next generation cares more about the environment', 'young activists are becoming more active in climate change movements.']",Youth are the future,text-davinci-002,mrf
"Deforestation of Brazil's Amazon rainforest surges to 12-year high, prompting environmental warnings",['destroying the environment is higher than ever'],"The message of the headline is that deforestation in Brazil's Amazon rainforest is increasing at an alarming rate, and that this could have serious environmental consequences",text-davinci-002,mrf
Lily Cole: Why I'm focusing on the environment rather than artistic projects,['lily cole is focused on environment and not art'],The environment is more important than artistic projects,text-davinci-002,mrf
Morano in Bloomberg News: 'Trump should undertake a hiring bonanza of skeptical climate scientists' in Govt  'A scientific version of affirmative action hiring practices',['the media talks about trump'],The implied message of the news headline is that President Trump should hire more climate scientists who are skeptical of climate change,text-davinci-002,mrf
People will be killed for violating quarantine restrictions. It has already happened in Albania.,"['not following the quarantine restrictions in albania is fatal.', 'albanian government is already harming people for violating covid-19 restrictions', 'government will harm people for violating covid-19 restrictions']",The headline implies that people who violate quarantine restrictions are putting themselves at risk of being killed,text-davinci-002,mrf
Climate crisis: Lancashire fracking site 'leaked emissions equivalent to 142 transatlantic flights',"['fracking worsens climate change', 'allowing hydraulic fracturing is a disaster in itself.']",The climate crisis is real and fracking is contributing to it,text-davinci-002,mrf
Wasserman Schultz makes climate pitch in Appropriations gavel bid,"['government is actively involved in climate change policies', 'schultz cares about climate change']",The headline implies that Wasserman Schultz is more qualified to be the Appropriations Committee chair than other candidates,text-davinci-002,mrf
A man vaccinated with Pfizer's COVID-19 vaccine showed symptoms of Ebola as he bled out all over his body and died.,"[""vaccines aren't safe."", 'vaccines are not safe', 'covid19 vaccine causes ebola symptoms', 'vaccines are dangerous']",The implied message of the news headline is that the Pfizer vaccine is not effective against Ebola,text-davinci-002,mrf
"UK coronavirus deaths surge by almost 1,000 as cases up by more than 50,000 for second day","['infection numbers are going up in uk', 'pandemic deaths are rising rapidly']",The UK is seeing a surge in coronavirus cases and deaths,text-davinci-002,mrf
This could be our secret weapon against climate change,['there is a secret weapon against climate change'],This new technology could help us fight climate change,text-davinci-002,mrf
The lockdowns have had one effect that should make climate hawks happy,['lockdowns have had one effect that should make those concerned about climate happy'],The lockdowns have had the effect of reducing greenhouse gas emissions,text-davinci-002,mrf
Coronavirus: What has Covid done for climate crisis?,['covid may have affected climate crisis'],Covid has made people more aware of the climate crisis,text-davinci-002,mrf
No 10 accused of 'cavalier attitude' to UK's climate summit duties,['unknown intent'],The UK government is not doing enough to combat climate change,text-davinci-002,mrf
How to Avoid a Climate Disaster,"[""bill gates's book is full of ideas and solutions."", 'a climate disaster is impending']",The message of the headline is that climate change is a disaster that can be avoided,text-davinci-002,mrf
Natural ingredients and plants can cure the coronavirus,"['there is a cure for a virus.', 'you can get better from covid 19 with a home remedy']",There is no cure for the coronavirus,text-davinci-002,mrf
The International Court of Human Rights regulates the use of chlorine dioxide for any person who requires it,"['chlorine dioxide is a suitable treatment', 'the court is advocating the use of the substance for preventing covid', 'excessive use of chlorine dioxide is dangerous.', 'chlorine dioxide might be unsafe to use.']",The headline implies that chlorine dioxide is a better disinfectant than other options,text-davinci-002,mrf
Deal-Makers and Fighters Make up Biden's New Climate Team,"['biden has a climate team', 'biden administration is taking climate change seriously.']",The Biden administration is committed to fighting climate change,text-davinci-002,mrf
"Climate catastrophes cost nations billions in 2020, report finds",['climate change leads to disasters that people cannot afford'],The cost of climate catastrophes is high,text-davinci-002,mrf
Fossil fuel influence targeted in fight to control climate agenda in next parliament,"['political entities are focused on big industry in the fight against global warming', 'big corporations have undue influence in the fight against global warming']",The article is talking about how some people want to get rid of fossil fuels to help control climate change,text-davinci-002,mrf
One-third of UK's fruit and vegetables imported from countries at threat from climate change - study,"[""a third of uk's produce comes from countries affected by climate change""]",The UK is not doing enough to support local farmers,text-davinci-002,mrf
Trump features Climate Hustle 2 & Morano's quote on Trump's 'energy dominance',"['climate hustle 2 is being talked about by trump', 'trump has watched climate hustle 2 and is talking about energy dominance due to climate change', ""the president doesn't believe in climate change""]",Some masks are better than others,text-davinci-002,mrf
"Experts lay out the criteria for choosing Biden's CTO, who will be faced with using tech to tackle everything from climate change to vaccine distribution","[""biden's new cto needs to use tech to tackle climate change"", 'biden needs to choose his cto to tackle climate change and other problems']",The CTO will need to be able to use technology for various tasks,text-davinci-002,mrf
"Bill Gates said there will be 700,000 ""victims"" of death or disability from a Covid-19 vaccine.",['vaccine will harm many'],The implied message of the news headline is that some vaccines are better than others,text-davinci-002,mrf
Senator David Perdue lives in elite beachfront community that is reinforcing for sea-level rise  while voting against climate crisis action,"['senator david perdue is rich and lives in a beachfront community and opposes climate change action', 'senator david perdue is a hypocrite']",Some people are more concerned about their own interests than the greater good,text-davinci-002,mrf
Vitamin D insufficiency may account for the majority of COVID-19 deaths,"['vitamins can help battle covid-19', 'over the counter medicines can prevent covid-19', 'low vitamin intake could increase chance of getting infection']",Vitamin D is important for immunity,text-davinci-002,mrf
"The coronavirus vaccine will cause other more serious diseases to emerge, said Anthony Fauci.","['vaccines have major side effects for future generations.', 'what we are seeing with covid is only the beginning of a long dilemma', 'u.s. government medical experts are stating that the new vaccine is not exactly safe.', 'vaccine may do more damage down the road.', 'the covid-19 vaccines will have undesirable side-effects', 'the vaccine for covid will cause other diseases to show up']",The vaccine may cause other diseases to emerge,text-davinci-002,mrf
Watch live: Gov. J.B. Pritzker gives a COVID-19 update,"['the governor is working to keep people updated on covid', 'people can watch for updated information on covid', 'state government officials are tackling covid']",The governor is going to talk about COVID-19,text-davinci-002,mrf
The most significant climate legislation ever': How stimulus bill tackles warming planet,"[""the government's stimulus bill will tackle climate change"", 'the stimulus bill helps to fight climate change']",The stimulus bill will have a positive impact on the environment,text-davinci-002,mrf
Climate change: Snowy UK winters could become thing of the past,['the uk may not get snow in winter anymore due to climate change'],The climate is changing,text-davinci-002,mrf
Climate change: Warmer winters linked to increased drowning risk,"['warmer winters leads to increased drowning risk', 'warmer winters melt more snow and ice, increasing drowning risk']",The implied message of the headline is that global warming is a real and present danger,text-davinci-002,mrf
Countries must work together to build momentum for global climate action,['countries need to work together to fight the climate'],Countries should cooperate to make progress on climate change,text-davinci-002,mrf
The Russian vaccine is not suitable for people over 60 years of age,['that the vaccine is not good for people over a certain age in some countries'],The Russian vaccine is not as effective for older people,text-davinci-002,mrf
Carbon Capture Is Not a Climate Savior,['using already emitted co2 will only help so far'],Carbon capture is not an effective means of mitigating climate change,text-davinci-002,mrf
Aborted fetal cells are in the COVID-19 vaccine,"['the government is hiding the truth about vaccines', 'the vaccine is made from harvested fetuses', 'aborted babies are used widely in western medicine']",The headline implies that the COVID-19 vaccine is not safe,text-davinci-002,mrf
A court in Portugal lifted the confinement in the country due to doubts of the PCR,"['brazilian government does not take covid-19 seriously', 'pcr test is not trustworthy']",Some PCR tests are not as reliable as others,text-davinci-002,mrf
A natural treatment for coronavirus,"['covid-19 can be treated with home remedies.', 'there is a natural treatment for covid', 'natural treatments should be preferred over phramaceutical ones', 'natural things can cure coronavirus', 'people should use this treatment', 'coronovirus can be treated with commonly available items.']","There is no one-size-fits-all answer to the question of how to treat coronavirus, as each person's situation is unique",text-davinci-002,mrf
"Margaret Keenan, the first U.K. recipient of the Pfizer-BioNTech COVID-19 vaccine outside a clinical trial, wore the same clothes while receiving the second dose of the vaccine as she wore while receiving the first dose.","['the vaccine is not safe', 'the safety of the vaccine is a hoax', 'vaccinations are a kind of political theater.', ""we can't trust calls for mass vaccination."", ""there's something suspicious about vaccination.""]",The message is that the vaccine is effective,text-davinci-002,mrf
"Column: Why rush teachers and students back into classrooms now, CPS? Widespread COVID-19 vaccination is on the horizon.","['there isnt enough vaccinations has been done yet', 'reopening of schools shouldnt be rushed']",The message is that some masks are better than others,text-davinci-002,mrf
"John Kerry, who signed Paris accord for US, is Biden's climate envoy","['kerry and biden are supporting climate change policies', 'the left of center party is making slow progress, but with many setbacks']",The implied message of the above news headline is that the Biden administration is committed to fighting climate change,text-davinci-002,mrf
Boris Johnson's 10-point climate crisis plan is a far cry from a green revolution,['climate plan is not great'],The article is critical of Boris Johnson's climate crisis plan,text-davinci-002,mrf
"Through the test for Covid-19, partial vaccination of the population was performed through nano particles in the human brain.","['the vaccine implants microchips in the brain', 'vaccine is being used to monitor people', 'nanotechnology exists and is being hid from the public', 'nano particles were used to vaccinate people without their knowledge']",The test for Covid-19 is not as effective as it could be,text-davinci-002,mrf
UK Committee on Climate Change's Net Zero advice to government is 'a political suicide note',"[""there isn't enough support from the public for these suggestions to work""]",The advice is too extreme,text-davinci-002,mrf
U.S. Exits Paris Climate Accord after Trump Stalls Global Warming Action for Four Years,"[""america's right of center party considers the cost of environmental regulation to be greater than the benefit"", 'us exists paris climate change accord because of trump']",The U,text-davinci-002,mrf
The Mayor of Bogota said that the capital was the second city in America with more ICU beds after New York,"['there is a flux in an unknown city of the coronavirus', 'an official is revealing a secret about disease statistics.']",The Mayor of Bogota is saying that the capital has more ICU beds than most other cities in America,text-davinci-002,mrf
Why is Joe Biden considering this man to help fight the climate crisis?,"['biden may not be picking the right people to tackle climate change.', ""joe biden's decisions are questionable."", ""the climate official isn't good""]",Some masks are better than others,text-davinci-002,mrf
"""Hi, I'm Sandra Romero, ID 37263954 I got the Sputnik V vaccine on Tuesday afternoon and on Thursday it produced skin reactions"".","['people are having reactions to the sputinik v vaccine.', 'the sputnik v vaccine might not be entirely safe.']",The vaccine is effective,text-davinci-002,mrf
Securitizing climate change can lead to more surveillance and eco-fascism,['environmental groups want to control the lives of everyday citizens'],Some masks are better than others,text-davinci-002,mrf
Climate Change Turns up the Heat on Ad Industry,"['more people are caring about climate change inititiatives', 'the ad industry is being affected by climate change']",The advertising industry needs to change its ways to be more sustainable,text-davinci-002,mrf
"Organic meat production just as bad for climate, study finds","['organic meat production just as bad for environment', 'we should eat less meat']",Organic meat production is not environmentally friendly,text-davinci-002,mrf
Daily use of masks causes degenerative diseases,"['masks are dangerous', 'masks cause disease']",Some masks are better than others,text-davinci-002,mrf
Maryland governor on COVID-19 vaccine rollout,"['government is rolling out the vaccine soon', 'vaccines are coming soon']",The Maryland governor is urging people to get the COVID-19 vaccine,text-davinci-002,mrf
These pictures show covid is a hoax,['covid-19 is not real'],Covid is not a hoax,text-davinci-002,mrf
"The ""compulsive use of masks"" is the cause of the spread of the infectious fungus Candida auris and is associated ""with a 40% of hospital mortality""","['people should not wear masks', 'disease transmission is increased by mask wearing', 'masks cause more harm than good']",Some masks are better than others,text-davinci-002,mrf
"The number of COVID-19 deaths is higher in regions, where people were previously vaccinated against influenza.","['flu vaccine causes you to be more susceptible to covid-19', 'flu shots may make you more likely to get covid', 'getting a flu shot makes you statistically more likely to get coronavirus.']",Some vaccines are better than others,text-davinci-002,mrf
"COVID, global warming: Look out when the power-mad left takes a temperature",['the left have outrages takes regarding covid and global warming'],The headline is implying that the left is power-hungry and will use any excuse to seize control,text-davinci-002,mrf
Major climate change measures included in Covid aid bill,['a covid aid bill includes climate change measures'],The implied message of the headline is that the climate change measures included in the Covid aid bill are significant,text-davinci-002,mrf
Moderna's Covid-19 vaccine will hack human's biological functions,"['vaccines can be harmful to you.', ""vaccines can do things that you don't know about."", 'vaccines are dangerous', 'vaccines have alternative purposes']",The vaccine will change human's biological functions,text-davinci-002,mrf
Jeff Bezos announces nearly $800 million in grants to 16 groups fighting climate change,['bezos cares about climate change'],The message of the headline is that Jeff Bezos is committed to fighting climate change,text-davinci-002,mrf
Climate Anxiety: Navigating Our Emotions as the Planet Changes,['we need to learn to live with the fact that climates change.'],The message of the headline is that people should be worried about the state of the planet,text-davinci-002,mrf
The end of total quarantine: the Cabinet of Ministers of Ukraine has just made a decision.,['the pandemic is over'],The Cabinet of Ministers of Ukraine has just decided that some masks are better than others,text-davinci-002,mrf
"Joe Biden's 2020 policies: what are the President-elect's views on Covid, immigration and the environment?","['biden has plans to deal with these issues', ""the president's policies on these issues are important""]",The President-elect's views on Covid are that some masks are better than others,text-davinci-002,mrf
The pandemic is a plan organized by George Soros to reduce the size of the global population,"['soros has the resources to engineer a global pandemic', 'wealthy and powerful people have a vested interest in implementing population controls']",The pandemic is a plan organized by George Soros to reduce the size of the global population,text-davinci-002,mrf
NC Gov. Cooper holds press conference to give COVID-19 update. Here's how to watch.,"['the governor likes to keep his constituents up to date on covid', 'nc state government is taking action against covid']",The implied message of the above news headline is that it is better to wear a mask than not to wear a mask,text-davinci-002,mrf
Ireland ranked among worst performers in 2020 climate rankings,"[""the current govt doesn't care about protecting environment"", 'to reduce climate change needs action over the world']",Ireland is not doing well in terms of climate change,text-davinci-002,mrf
The Colombian government bought the astrazeneca vaccines for 21 usd each dose,"['the columbian government believes the astrazeneca vaccines are effective', 'governments can get vaccine doses for cheap', 'some governments may be hoarding vaccines']",The Colombian government is committed to protecting its citizens from the coronavirus,text-davinci-002,mrf
To travel outside of Macedonia one must receive a COVID-19 vaccine,"['the country does not want travelers bringing covid back when they return', 'if you want to travel outside macedonia, you need the covid vaccine', 'a covid vaccine is required for certain travel.', 'the macedonian government is controlling the populace', 'macedonia is strict about travel when it comes to covid', 'macedonia has faith in the effectiveness of the vaccine']",The implied message of the headline is that it is better to be vaccinated against COVID-19 than not,text-davinci-002,mrf
The WHO changed its criteria for PCR testing to hide its own lies about the pandemic.,"['the who wanted to protect its credibility', 'the who was engaging in a coverup', 'governments cover up to protect bad things they have done']",The WHO is not to be trusted,text-davinci-002,mrf
The mayor of London faked taking a COVID-19 jab,"['the government is withholding information about the vaccines from the general public.', 'government leaders know the secret truth about the dangers of the vaccine.', 'the coronavirus vaccine is actually more dangerous than we think.', 'officials do not trust the vaccine', 'the vaccine is not safe']",Some vaccines are better than others,text-davinci-002,mrf
Coronavirus is man-made,['covid was created by government'],The implied message of the headline is that people should be careful about the masks they choose to wear,text-davinci-002,mrf
"Watch: Morano on Asia Pacific Today TV show: The COVID Climate Connection  'If you love the COVID lockdowns, you're going to love the coming climate lockdowns'","[""lockdowns due to covid won't be the only lockdowns since climate lockdowns could happen"", 'lockdowns have helped the climate change movement', 'some people will be outraged by the lockdown continuing']",The implied message of the headline is that climate change is a serious problem that will require major lifestyle changes,text-davinci-002,mrf
Biden Names John Kerry Climate Envoy,['kerry was named as climate envoy for biden'],The implied message of the above news headline is that the Biden administration is committed to fighting climate change,text-davinci-002,mrf
'Buddha would be green': Dalai Lama calls for urgent climate action,"['dalai lama puts focus on climate issues', 'buddhists believe in climate change']",The Dalai Lama is urging people to take action on climate change,text-davinci-002,mrf
"Ted Cruz has a plan to keep Biden from rejoining disastrous Iran deal and Paris climate accord, but he needs Trump's help","[""it's a grave mistake to join international treaties"", 'ted cruz is against biden rejoining the paris climate accord']",The headline implies that Ted Cruz believes that Donald Trump's help is necessary in order to prevent Joe Biden from rejoining the Iran deal and the Paris climate accord,text-davinci-002,mrf
Police in Spain attacked a woman with a taser only because she didn't wear a mask,"['spanish police attack people just for wearing masks', 'even non-black citizens now need to live in constant fear for their lives around police officers', 'governments are being overzealous in enforcing public-health protocols', 'governments are growing dangerously powerful under the guise of pandemic response']",Some masks are better than others,text-davinci-002,mrf
"The AMA ""reversed course"", now ""giving the green light to doctors prescribing HCQ to their COVID patients.""","['agency decisions could be reversed.', 'ama giving doctor permission to  give out prescriptions', 'medical professionals unsure about treatment options', 'hcq is a safe treatment for covid.']","The AMA has changed its stance on HCQ, and now supports its use for COVID patients",text-davinci-002,mrf
Ice Storm in Russia's Far East Linked to Climate Change,['ice storm in russia is linked to climate change'],Climate change is causing more extreme weather events,text-davinci-002,mrf
Dead-end for climate': Environmental coalition denounces Senate bill to fund nuclear industry bailout,"['an environmental coalition denounced the senate bill to fund a bailout for the nuclear industry', 'the environmental coalition thinks this senate bill is bad']",The Senate bill is not good enough,text-davinci-002,mrf
Head of Pfizer research said that covid vaccine is female sterilization.,['the covid-19 vaccine causes female sterilization'],The vaccine may have negative side effects for women,text-davinci-002,mrf
"Ivermectin, Nitazoxanide and Bromhexine cures and prevent COVID-19","['a drug combination both prevents and cures covid', 'there is a conspiracy to keep life saving drugs from the public', ""there are drugs which can cure the coronavirus that we don't have access to.""]","The headline implies that Ivermectin, Nitazoxanide, and Bromhexine can cure and prevent COVID-19",text-davinci-002,mrf
"Climate Activists ""Deeply Skeptical"" of John Kerry, Biden's Climate Policy Lead","[""the political figures don't have a good track record for climate change policies"", 'the government may not take the threat of climate change seriously']",The article is critical of John Kerry and Biden's climate policy,text-davinci-002,mrf
"To prevent COVID, for the first three days with symptoms, people should take azithromycin and ivermectin.","['treatments exist to circumvent covid-19', 'azithromycin and ivermectin are effective treatments for covid', 'it is possible to deter covid-19']",The headline implies that azithromycin and ivermectin are effective in preventing COVID,text-davinci-002,mrf
The green president? Joe Biden now has to live up to his climate promises,['biden should honor his word'],The new president has to deliver on his promises to improve the environment,text-davinci-002,mrf
Climate catastrophists' using fossil fuels fears to target businesses,"['climate policies hurt businesses.', 'climate policies can be used to do harm.']",The message of the headline is that some environmentalists are using the fear of climate change to target businesses,text-davinci-002,mrf
Boris Johnson to hold Downing Street press conference at 5pm after day of Covid and Brexit developments,['boris johnson will hold a press conference about covid and brexit'],The Prime Minister will be addressing the nation regarding the latest developments on Covid-19 and Brexit,text-davinci-002,mrf
9 Things the Biden Administration Could Do Quickly on the Environment,"['there are many things the administration could do right now to help against climate change', 'the administration should do these things']",The Biden administration could improve the environment by implementing some quick changes,text-davinci-002,mrf
"Groggy Climate Giant: Subsea Arctic Permafrost Still Waking Up After 12,000 Years","['some regions still traps gases and natural elements in soil.', 'climate change is leading to ice melt']","The article is discussing how the Arctic is still feeling the effects of climate change that occurred over 12,000 years ago",text-davinci-002,mrf
US allies welcome Biden presidency as major chance to tackle climate crisis,['un leaders think biden will do more for the environment'],The United States' allies see Joe Biden's presidency as an opportunity to work together on climate change,text-davinci-002,mrf
People who've previously been infected with COVID-19 shouldn't take vaccine,"[""you don't need a vaccine if you have already had the virus."", 'people who have had covid-19 should not get vaccine', ""people who have already been sick with covid shouldn't get the vax"", 'vaccines are unnecessary for people who have already been sick', 'the vaccine is bad for people with previous covid infection', 'previous covid carriers do not need the vaccine']",Some vaccines are better than others,text-davinci-002,mrf
UK to make climate risk reports mandatory for large companies,['some places are doing more to combat climate change'],"The UK is planning to make climate risk reports mandatory for large companies, implying that these companies need to take climate risks seriously",text-davinci-002,mrf
"The former President of the United States, Barack Obama, has asked Africans not to accept the vaccine that comes from America and Europe","['barack obama may be disloyal to the us.', 'obama knows the dangers of the vaccine', 'vaccines may be unreliable.', 'the covid vaccine is unsafe']",The vaccine from America and Europe is not as good as the vaccine from Africa,text-davinci-002,mrf
COVID has changed your health insurance options,"['covid is affecting health insurance choices', 'you may not be able to get coverage because of the virus.']",COVID has made some health insurance options unavailable,text-davinci-002,mrf
UN tell worlds leader to declare state of climate emergency,"['some world leaders consider global warming to be both severe and urgent', 'the un takes climate change very seriously']",The message of the headline is that climate change is a real and pressing emergency that needs to be addressed immediately,text-davinci-002,mrf
COVID-19 outbreak among Oedo Line staff linked to the washroom faucet.,['covid can spread from dirty bathrooms'],"The headline implies that the Oedo Line staff outbreak was caused by the washroom faucet, and that some masks are better than others",text-davinci-002,mrf
"The newspaper Diario Sur has published that Malaga, Marbella and practically the entire Costa del Sol will close all non-essential activity","['the costa del sol will be closed.', 'the local government is going to order a shut down.']",The message implied in the news headline is that the situation is serious and that it is necessary to take measures to protect oneself and others,text-davinci-002,mrf
"Vaccines based on mRNA technology could make us ""transgenic beings""","['getting a vaccination is dangerous', 'people should not get vaccinated', 'the vaccine will change our genetic makeup', 'these vaccines will hurt people', 'people who are vaccinated will be harmed']",The headline implies that mRNA vaccines could have long-term consequences for our health,text-davinci-002,mrf
Climate Activists Dispute Study Claiming Warming Is 'Past Point of No Return',"['there is not consensus among climate change activist on how much climate change has occurred', 'there is still some disagreement about whether the statistical evidence has already shown a tipping point']",The study's claim is disputed,text-davinci-002,mrf
Nutrien calls on other fertilizer companies to support its agriculture climate change drive,"['many companies are doing what they can to help', 'nutrien cares about climate change']",Nutrien is committed to reducing its greenhouse gas emissions,text-davinci-002,mrf
Coronavirus cases decreased in Bolivia because of the approval of chlorine dioxide,"['more governments should approve the treatment', 'household remedy worked', 'the pandemic can be ended soon', 'there is a simple treatment for the disease', 'unsafe things help to stop covid']",Chlorine dioxide is an effective way to kill the coronavirus,text-davinci-002,mrf
"Indonesia's top officials ""dancing without obeying health protocols"" during the pandemic.","[""the elite of the country think their own rules don't apply to them""]",The implied message of the news headline is that some people are not taking the pandemic seriously,text-davinci-002,mrf
'Hypocrites and greenwash': Greta Thunberg blasts leaders over climate crisis,"['not enough is being done by people in power to stop global warming', 'ruling factions are not taking global warming seriously', ""the current leadership is behind in the fight to stop global warming's progression"", 'the people are being lied to by leadership']",Greta Thunberg is critical of leaders' responses to the climate crisis,text-davinci-002,mrf
"How homeowners can save energy, money from the feds' climate plan","['people can save cost', ""you can save money and energy from the fed's climate plan"", 'the government has a new climate plan that helps society']",The article is about how the new climate plan will save homeowners money on their energy bills,text-davinci-002,mrf
RNA vaccines change people's DNA,"['people should avoid taking the vaccine', 'the vaccine is unsafe', 'health authorities are being reckless.', 'dna being altered is bad', 'the mrna vaccines are dangerous.']",The headline implies that people should be worried about the safety of mRNA vaccines,text-davinci-002,mrf
Climate change: Extreme weather causes huge losses in 2020,['climate change is leading to losses'],"Climate change is causing more extreme weather, which is leading to huge losses",text-davinci-002,mrf
A Race Against Time to Rescue a Reef From Climate Change,['reefs are important and need protecting'],The implied message of the headline is that climate change is a serious problem that needs to be addressed immediately,text-davinci-002,mrf
"Finally there's global action on the climate crisis, and Britain must lead the way | Dominic Raab","['britain should lead the way', 'there is global action on the climate crisis']",The implied message of the above news headline is that Britain needs to take action on the climate crisis,text-davinci-002,mrf
U.S. confirms first case of new COVID-19 strain found in the U.K.,['the new covid strain is spreading in the us'],The new COVID-19 strain is more contagious than the original,text-davinci-002,mrf
"Democracy Dies on Climate: PBS, NPR Stick to Chatting Up Obama Alums, No Time for GOP","[""the government doesn't care about the climate crisis and democrats fizzle out on it"", ""the government doesn't care about the climate crisis"", 'governments arent doing anything for climate change.']",The media is biased,text-davinci-002,mrf
International shipping is killing the climate,['consumerism is causing climate change'],International shipping is harming the environment,text-davinci-002,mrf
"Topolobampo launches 5-course to-go menu, new deli opening in West Loop: How Chicago restaurants are adapting to draw you back in",['restaurants want to attract customers in new ways during the pandemic'],The implied message of the news headline is that restaurants are trying to adapt to the current situation in order to bring customers back,text-davinci-002,mrf
Department refutes charge of forests as net greenhouse gas emitter,['claims had been made that forests contribute more carbon than they remove from the climate'],The message of the headline is that the department denies that forests are a net greenhouse gas emitter,text-davinci-002,mrf
"No, Weather Channel, 2020 Did Not Bring Unprecedented Climate Disasters",['the experts are wrong and they know better.'],The headline implies that the Weather Channel is downplaying the severity of climate disasters in 2020,text-davinci-002,mrf
French schooner Tara sets sail on scientific mission to study climate change,['french schooner tara starts a mission to study climate change'],"The Tara is sailing to study climate change, which implies that climate change is a real and pressing issue",text-davinci-002,mrf
"190 countries have pre-booked the Bharat Biotech COVID-19 vaccine, which is being developed in India",['the bharat biotech covid-19 vaccine is effective'],The Bharat Biotech COVID-19 vaccine is in high demand globally,text-davinci-002,mrf
CoronaVac's clinical trials are stopped in Peru,"['vaccine trials are not safe', 'the vaccine is unsafe', 'testing of vaccines can be dangerous', 'people should not take the vaccine']",The vaccine may not be effective,text-davinci-002,mrf
Environmentalist groups sue Energy Department over federal law allowing for faster dishwashers,['dishwasher innovation is bad for the climate.'],The Energy Department is not doing enough to protect the environment,text-davinci-002,mrf
48 people died in Singapore after taking part in COVID-19 vaccine test,"['that vaccines are not safe and can cause death for some', 'vaccine trial killed almost 50']",The headline implies that the vaccine is not safe,text-davinci-002,mrf
"Cornell University professor Robert Oswald said ""COVID-19 was imaginary and fictitious.""",['an ivy league professor actually believes covid is fake'],COVID-19 is not a real disease,text-davinci-002,mrf
Ivermectin is a miraculous drug on the treatment of COVID-19,['this drug will makes covid patients better'],Ivermectin is an effective drug in treating COVID-19,text-davinci-002,mrf
Labour urges UK to redouble efforts to tackle climate crisis after Biden victory,"[""a government isn't doing enough for climate change already""]",The UK should do more to combat climate change,text-davinci-002,mrf
"Pandemic-linked fall in emissions will have negligible impact on climate, UN report finds","['the emmisions decreased from pandemic is insignificant', 'lockdowns have reduced emmisions']",The impact of the pandemic on emissions is not enough to make a difference in climate change,text-davinci-002,mrf
Levofloxacin is the first drug that cures coronavirus,['levofloxacin prevents covid-19'],The implied message of the headline is that levofloxacin is an effective treatment for coronavirus,text-davinci-002,mrf
The stolen climate crisis babies: US politician jailed for selling children of mothers desperate to escape environmental catastrophe,['us politician jailed for illegal adoption ring'],The headline implies that some people will go to extreme measures to escape environmental catastrophe,text-davinci-002,mrf
Biden Names Cabinet Officials Tasked to Fight Climate Change,"[""climate change is on government's agenda""]",The Biden administration is committed to fighting climate change,text-davinci-002,mrf
Biden Plans to Ramp Up Fight Against Climate Change,['biden wants to take action on the environment'],The article is about how Biden plans to increase the fight against climate change,text-davinci-002,mrf
Biden announces key members of climate team,['unknown intent'],The implied message of the above news headline is that the Biden administration is committed to fighting climate change,text-davinci-002,mrf
Best-selling skeptical book 'The Politically Incorrect Guide to Climate Change' ranks 14th in Book Authority's '100 Best Climate Change Books of All Time',['a book is out about climate change and skepticism that is bestselling'],The book is critical of the way climate change is being handled by politicians,text-davinci-002,mrf
The ARNm vaccine changes DNA.,"['the government is hiding the harmful consequences of certain vaccines', 'some vaccines can be dangerous', 'arnm vaccines change our dna.']",The ARNm vaccine is unsafe,text-davinci-002,mrf
He Was Hospitalized for Covid-19. Then Hospitalized Again. And Again.,"['people can get covid and repeatedly go into the hospital', ""treating the virus doesn't always help at first"", 'people who catch covid could go through severe symptoms that lead to hospitalization', 'people can be infected multiple times by the virus']",Covid-19 is serious and can lead to multiple hospitalizations,text-davinci-002,mrf
Panel explores solutions to combat climate crisis,['there are things we can do to fight climate change'],The panel is looking for ways to improve the climate crisis,text-davinci-002,mrf
Buddha would be green': Dalai Lama calls for urgent climate action,"['buddhist leaders support the fight against climate change', 'the dalai lama cares about climate change and wants to fight it, along with other buddhists']",The Dalai Lama is urging people to take action on climate change,text-davinci-002,mrf
White Martins refused to cede oxygen to public hospitals in Manaus because the state government owed them 52 million reais; the government did not buy it from other companies because they were owned by political adversaries,"['some governments are corrupt.', 'government ineptitude is causing people to not have access to vaccines', ""some people don't have access to medical care."", 'access to health care necessities are being withheld for money']",Some companies are more interested in profit than in helping people,text-davinci-002,mrf
Viral text says that Wuhan biological laboratory is owned by Glaxo and Pfizer laboratories,['labs in wuhan are owned by pharma companies'],"The message of the headline is that the Wuhan biological laboratory is owned by Glaxo and Pfizer, two major pharmaceutical companies",text-davinci-002,mrf
Instagram users claim that the family of nurse Tiffany Dover have confirmed her death and created a memorial IG profile,['an instagramer made a memorial page for a nurse'],"The family of Tiffany Dover has confirmed her death, implying that she died from complications related to COVID-19",text-davinci-002,mrf
