sentence,leaning
"That is why it is critical for progressives to support an intellectual community in studying the long-term consequences of income inequality , the relationship between equity and growth , and how different kinds of public investments affect the labor market .",Liberal
"Normally in support of `` freedom of choice '' for everything under the sun , reporters portrayed Benedict 's allowance of the old liturgy for those who want it ( and without imposing it on those who do not ) as an appalling step backward and proof positive of this pontiffs sinister and reactionary intentions .",Conservative
"One doctor invented the `` Throat-E-Vac , '' which , after being inserted into the victim 's mouth and creating an airtight seal , supposedly sucked up whatever was obstructing the airway .",Neutral
"Some have led to lower energy use ( though lower yields , too ) ; others to better nutrient retention ; some greater nutrient losses ; and most to greater labor use .",Liberal
"Unfortunately , our efforts in this direction , which have produced some impressive results , have been overshadowed by those in the administration , and in key leadership roles in the Congress , who never seem to miss an opportunity to dismiss environmental protection as a priority .",Liberal
"`` I guess if you 're trustworthy , loyal , helpful , friendly , courteous , kind , obedient , cheerful , thrifty , brave , clean , and reverent , there appears to be little room for you in the California Democratic Party , '' he said in a written statement .",Conservative
"Seattle 's crime rate is indeed low , but the crime rate in San Jose is actually much lower : one-third lower for homicide or violent crime in general and with less than half the robbery rate .",Neutral
"Here exchange value dominates , and the disappearance of those use values associated with relatively free communication comes to be registered as a gain in wealth , since it produces massive private riches overnight .",Liberal
"In fact , because making ethanol is so energy intensive , debates are still ongoing over whether ethanol creates more energy when it is burned than is used in its creation .",Neutral
"The bill sparked international outrage , including threats to cut off financial aid to Uganda .",Liberal
"No : here , as everywhere , a governing class would rule , but the members of the class would be directly or indirectly elected by a fraction of the adult population for fixed terms of office and would thus be competing for popular favor ( albeit elite popular favor ) and therefore be answerable to public opinion ( or at least to elite public opinion ) .",Liberal
"Consider the revelation in 2009 that Homeland Security 's Office of Intelligence and Analysis released a document entitled `` Rightwing Extremism : Current Economic and Political Climate Fueling Resurgence in Radicalism and Recruitment , '' which listed war veterans , anti-abortion activists , small-government advocates , and those concerned about immigration as terrorist risks .",Conservative
"Despite a 47 to 31 percent Republican advantage in voter registration , Democrats are hoping widespread dissatisfaction with the economy and the war will persuade voters to opt for change of a non-radical nature .",Liberal
"This makes it harder to institute effective forms of worker participation in newly created public enterprises ; ensure that educational , health , and media systems are responsive to the communities they serve ; and establish planning mechanisms capable of directing social production in response to social needs .",Liberal
"Of course , that creates a problem for the masses who theoretically support themselves by working to produce new things of value to be bought and sold .",Conservative
"Elsewhere , U.S.A. fails to analyze the sources of personal insecurity and family instability among the less educated , who have borne the true brunt of the growing `` risk society , '' and it never addresses the policies that might soften inequality ( greater public investments in education , especially higher education , would make sense here ) .",Liberal
"After all , the Democrats will tell you , there can only be two reasons you have a home of your own in the first place : Either you got lucky and somebody gave you the money , or you exploited some of the poor , poor pitiful victims of our evil capitalist system to get it .",Conservative
"Professional women like Jane often lose benefits and opportunities when they reduce hours , but workers at Wal-Mart and many other places see their hours cut or capped without their consent , and any health and pension benefits disappear altogether .",Liberal
"Movements should welcome diversity of all kinds as much as possible , but not at the expense of growth , and create movement relations that sustain members and deepen commitment rather than frustrating members .",Liberal
"Recently , as Obama 's popularity sank , even among Democrats , and as the economy has continued to flounder , he has changed course , calling for $ 400 billion in new spending and tax cuts to create jobs ; but the odds that Republicans will go along with him seem low . ''",Neutral
"Under the normal rules , a candidate using the `` fighting '' message appeals to working-class voters and the standard Democratic interest groups to win the primaries , then makes a move to the center for the general election .",Neutral
"Even sophisticated arguments about the cultural , as opposed to economic , consequences of our current immigration patterns can easily bleed into hostility toward Hispanics as people .",Liberal
"For example , a section sub-headed `` Severe Pain or Suffering '' states : `` The key statutory phrase in the definition of torture is the statement that acts amount to torture if they cause ` severe physical or mental pain or suffering .",Neutral
"We thank the Ford Foundation for supporting our work on good jobs and economic development , and The Atlantic Philanthropies for supporting our work on immigration .",Liberal
"Taxing the rich should also have become more politically attractive , as raising rates at the top allows Congress to raise more money without making any new enemies .",Liberal
"William Kristol , editor of the Weekly Standard , argued simultaneously in 2005 that more tax cuts were needed because the economy was slowing and because the last round of tax cuts succeeded in boosting the economy .",Conservative
"In it , he argues that some of America 's richest people-with the active encouragement of many of our political leaders-have successfully schemed to avoid much or most of the taxes they 're supposed to pay .",Liberal
The simplest is when the level of taxation and other exactions is simply too high and discourages productive labor to such a degree that wealth is destroyed rather than created .,Conservative
"Apollo 's analysts argue that three million new U.S. jobs could be created by building wind turbines , making buildings more energy efficient , and designing other kindred projects .",Liberal
"That 's why Newt Gingrich was so determined to kill any version of universal health insurance , lest it bond a new generation to the idea of benevolent government with Democrats as the reliable custodian .",Liberal
"It follows the CFR\/SPLC lead , falsely claiming that left-wing extremists are comparatively benign because they adhere to a `` nonviolent , ` no-harm ' doctrine '' that leads them to simply target property for vandalism , rather than attacking people .",Liberal
"On the top lies authority , an orientation that values traditional family , religiosity , emotional control , and obedience .",Neutral
"Herring and her friends had help and guidance from Americans United for Life , a nonprofit law firm in Chicago that has pushed to end abortion through an `` incremental '' approach-as opposed to a `` frontal assault '' championed by other groups-ever since the Supreme Court legalized the procedure in 1973 .",Conservative
"Although both Christianity and Islam each have their strong points , without doubt , on balance their historical record would show more liabilities , more warfare , more intolerance , more persecution , than truly positive assets .",Liberal
"Orange County Sheriff 's Commander Paul Hopkins described the action : `` During this attempted robbery , the victim , who holds a concealed weapons permit , pulled out his weapon and fired shots into the bad guy .",Conservative
"There 's a danger , however , for the media-reform movement in aligning with such groups-a danger also faced by similar lobbies focused on procedural issues like those seeking expanded ballot access for minor parties , easier voter registration , and campaign-finance reform .",Liberal
"The strategy will be defeated , from the beginning , if firms must interrupt production and dismiss workers simply because the output they are producing can not be sold immediately at the Wal-Mart price .",Conservative
I urged him to use his influence to protest government-created residential segregation that concentrates the most disadvantaged children in schools without middleclass peers and where the accumulation of impediments to learning is overwhelming .,Liberal
"The Republicans are not only heartless , they are also hypocritical , since the cause of all this misery was the market abandon that they promoted so messianically .",Liberal
"Unfortunately , many of these same people have been in charge of our energy policy for several decades , and we can see the result : an increasing reliance on foreign dictators for our energy , volatile energy prices , and persistent , avoidable energy crises .",Liberal
"by contrast , no one in the school was able to stop two teenage killers , who strolled through the corridors and classrooms one April day in 1999 , killing 13 people and wounding two dozen more , while a SWAT team waited outside .",Conservative
"`` Positions were sometimes argued rather aggressively in ( the first ) Bush ( administration ) , but disagreements were sorted out in private , not by public utterances that got out ahead of agreed policy , '' says a Bush Senior NSC staffer .",Neutral
"Representative Ron Paul ( R-Texas ) has outlined how this game has been played , noting that the Federal Reserve `` creates new money and uses it to purchase securities from banks .",Conservative
"And whereas wage cuts make the entire work force unhappy , layoffs make just the laid-off workers unhappy , and since they are no longer on the premises they do not demoralize the remaining work force by their unhappy presence .",Neutral
"For example , until we actually produce more of our electricity from sources other than fossil fuels , it does not measurably change the environment for some states and the federal government to force all of us to subsidize plug-in electric cars by giving tax credits for them .",Conservative
"Threads of new awkwardness stretch out between them , and nature itself winks behind their backs and plays nasty tricks on them , scattering yellow clods of asters and groundsel , blanketing purple clover and pink flax , erecting stalks of huge -- but smelly -- purple arum flowers , sprinkling red buttercups , and hanging baby oranges and lemons on the trees around them .",Neutral
"She realizes she hates being told what to do by her parents and teachers , especially when she thinks the rules are stupid or being used solely for authoritarian control .",Liberal
"Yet , as Josh Fox traveled the country , becoming increasingly engrossed in the vastness of the domestic drilling industry and the problems it creates , he documented how people living near gas wells are suffering water contamination , air pollution , and numerous health problems that crop up after fracking .",Liberal
"Reason 's Peter Suderman writes that Ryan `` does n't want to let the perfect be the enemy of the good , or even of the very slightly better '' And while Tea Party sympathizers have a sense of urgency about the debt crisis , polls suggest even they do n't fully grasp the enormity of the entitlements program .",Liberal
She would also support tax credits for home improvements that make houses more energy efficient ( such as the installation of rooftop solar panels ) and call for a cap-and-trade system that would set a cap on total carbon emissions .,Liberal
"First , every time we have tried this trickle-down philosophy , we have indeed made the rich fabulously richer , but somehow or other , the poor have always ended up getting trickled on , figuratively speaking .",Liberal
"Solar panels , wind turbines , rainwater collection systems , designs that maximize natural light , and building monitoring systems that deploy elevators with maximum efficiency and regulate other energy uses are becoming more common , but the greatest green attribute skyscrapers offer is the density they create .",Liberal
"None of these arguments made any impression on Obama , who threatened to veto the bill .",Neutral
"In large part , the answer lies in a simple manipulation of the value of flat money -- that is , money that 's created out of thin air and is not backed by gold or silver .",Conservative
"As the Democratic Grinches prepared to vote on their version of the widely despised , destructive , and chaotic health care bill , they tried to spice up their fruitcake with distortions , distractions , and flat-out lies .",Conservative
"And it 's precisely a concern for our future security that motivates the growing movement to confront climate change and begin the transition to a new energy economy , which would also have the happy effect of reducing our dependence on foreign oil .",Liberal
"Ratifying LOST would codify the customs of international law and secure U.S. navigational freedoms in perpetuity , benefiting both the armed forces and the private sector , she argued .",Neutral
"Its horror stories of alcoholism , abuse , misery , and neglect would be familiar to a New York City social worker , but to the Hungarian public , until then generally kept in the dark about bad news , it came as a great shock .",Neutral
"In spite of these cautions , one can still argue that the government has an interest in promoting homeownership as a way to provide secure housing and a mechanism for savings .",Neutral
"The child of the murdered couple was able to arm himself and fired on Lor , killing him .",Conservative
"The United Nations failed to put the finishing touches on a global gun control treaty in New York on July 27 , a treaty that would have threatened the U.S. Constitution 's Second Amendment and promised to allow future genocidal governments to kill with impunity .",Conservative
There is no thought of devoting pennies to protect the huge numbers dying from hunger and lack of health care or deprivation of other `` rights '' that are dismissed as `` myths '' and `` dangerous incitement '' by Washington .,Liberal
"Their film 's quiet rage against the perpetrators of gross criminal injustice is enriched by the characterization of Hunt as a man who somehow maintained his composure and his faith over 20 years , even as those working overtime to free him began to doubt they 'd ever succeed .",Liberal
But even that gigantic socialist wealth-transfer scheme was not enough to make synthetic fuel attractive when the price of crude oil stabilized at low levels during the 1980s .,Conservative
"`` To have state taxpayer money support an organization with anti-gay policies is deeply disturbing , particularly at a time when we 're seeing so many funding cuts to our most vulnerable residents , `` 7 said Kara DeLeonardis in an interview with the Times Argus newspaper .",Liberal
"Having twenty-four hours of programming time available each day is both a blessing and a burden to cable news networks : a wonderful opportunity to program all kinds of news in all kinds of ways , and an intimidating amount of time to fill with quality content .",Neutral
"Droughts will kill crops , and warming oceans will cripple the fishing industry ( decimating the populations of fishing villages that will be disappearing , anyway , because water from the melting ice caps will drown them ) .",Liberal
It is a grave weakness of Runciman 's work that nowhere does he even attempt to confront this argument .,Neutral
"Rather than attack his attackers , Chambers accepted the burden of moral guilt and recast it in the rhetoric of high sacrifice : `` The story has spread that in testifying against Mr. Hiss I am working out some old grudge , or motives of revenge or hatred .",Liberal
"Finally , there is the chronic flaw in all those pie chart-type analyses purporting to show how terrible the distribution of wealth is in the United States -- the failure to relate age to wealth , income , and productivity .",Conservative
"The debate about taxation in the campaign , while constrained by Obama 's promise of a tax cut for everyone earning less than $ 150,000 , by the end nonetheless revealed a broad acceptance that the better-off have more responsibility to pay for public goods , breaking the Reagan-era assumption that taxes are poison to liberal aspirations .",Liberal
"But Obama has also proposed more targeted policies : guaranteed sick days to protect low-wage workers , for whom a bad cold can often lead directly to a pink slip ; transportation subsidies to help inner-city workers get to better-paying jobs in the suburbs ; child care programs to make it easier for single parents to hold down a job .",Liberal
"Kennedy has long argued-rightly-that environmentalism , far from being a job killer , can be a major job creator , and makes a compelling case for the Apollo Alliance , a proposal to create three million new jobs retrofitting America .",Liberal
"Without the protection of the natural forest that land quickly loses its natural fertility .24 Beside the loss of nutrients , additional environmental changes occur in the soil ( reduction of organic matter , moisture , and other properties ) , in the local climate , and with respect to biodiversity , leading to manifold unforeseen forms of ecological degradation that affect the local productivity .",Liberal
Both plans promote a switch to clean energy and could still ease the impact on workers if the auction of pollution credits is used to create jobs .,Liberal
"The belief that the government can solve basic economic and societal problems has given rise to programs like socialized medicine , Social Security , reparations , and welfare -- all promising to free us from the vicissitudes of life in exchange for our freedom .",Conservative
"To employ WHO rankings to justify more government healthcare involvement , points out Whitman , `` is to engage in circular reasoning because those rankings are designed ( emphasis in original ) in a manner that favors greater government involvement .",Conservative
"It included such marvelously entertaining pulpy hugger-mugger as a genius who invents an impossible energy-generating machine that shuts down a corrupt statist government , which tries to fight back with a death ray built by a mad scientist .",Neutral
"This sampling of criticisms against libertarians ( representative of many more of their kind ) is not an accurate conception of individualism within a libertarian context ; these criticisms are either inapplicable statements referencing a different kind of individualism , or straw men set up to easily dismiss and discard the underlying philosophy of individual liberty .",Conservative
He told her to get dressed so that he could kill her and then kill himself .,Neutral
"Columbia University Professor Edmund S. Phelps , who won the 2006 Nobel Prize in economics , and his coauthor , Saifedean Ammous , assistant professor of economics at the Lebanese American University , write that the U.S. economy ceased to be a free market some time ago , yet the free market is blamed for the economic crisis .",Conservative
"If Cunliffe manages to resolve the tension present in all those wonderful twentieth-century Mediterranean histories and create a real cultural history of the material world , it is because , despite working with a body of evidence that is fundamentally faceless , he insists on the centrality of the human experience , and finds it .",Neutral
"Securing their `` autonomy '' in Northern Iraq is usually sold as one of the big successes of the invasion -- no security problems , economy beginning to thrive , a fine place for journalists who want to report `` good '' news .",Liberal
"Under these agreements , an American worker who faces indirect competition from foreign laborers who make imported products has a parallel opportunity to compete with them by making products for export to their countries .",Conservative
"While there are plenty of conservatives who have been singed ( or even burned at the stake ) by the Freak Show , on the whole , these changes have been beneficial for conservatives and bad for liberals , since the New Media overwhelmingly favors conservatives .",Liberal
"Unlike the aforementioned McCain detractors , who are famous for partisan wrangling , nasty personal attacks , and high-decibel bloviation , Dobson is widely respected not only for holding to strong moral and political stands , but doing so in a low-key , high-minded , civil manner .",Conservative
"They even managed to gain overwhelming popular support for repeal of the estate tax-perhaps the nation 's most progressive tax , affecting less than 2 percent of the wealthiest few-by renaming it the `` death tax '' and peddling a big lie about protecting family farms and small businesses .",Liberal
"It was therefore high time that the remaining Keynesians returned to the central problem raised by Keynes himself , of an underlying contradiction in the capital-accumulation process , leading to a strong stagnation tendency .",Conservative
"Thomas Aquinas , the thirteenth century Dominican friar , wrote passionately about freedom , virtue , and the importance of individuals gradually acquiring the capacity to make better choices .",Neutral
"According to the `` Status model , '' novels exist fundamentally as works of art : `` the people who manage to write them deserve extraordinary credit , and if the average reader rejects the work it 's because the average reader is a philistine ; the value of any novel , even a mediocre one , exists independent of how many people are able to appreciate it .",Neutral
But the situation is very different when lower interest rates result from the Fed 's creation of new money out of thin air .,Conservative
"It created no enemies and made him `` effective at representing the firm '' with clients , recalls another colleague .",Neutral
"Intimidation , deception , and assorted trickery have long been staples of American elections , practiced with equal aplomb by both parties and by operatives working with ( or without ) a nod and a wink from party leaders .",Neutral
The Bush administration 's manifest failures and the Democrats ' triumph in the 2006 elections have created a new opening for liberal argument .,Liberal
"But as we all know , even government programs created with the best intentions can get out of control if they are allowed to grow unchecked .",Conservative
"The similarities among blood relatives mean that they are likely to share values , and shared values can lead to easy solidarity because of what ecologists call mutualism and economists call positive externalities .",Neutral
Central banks and the magic of instant money and credit have been used to fund the extravagant wars and to prop up the destructive dictatorships of the last and present century .,Liberal
"The Arizona senator said , `` I can not in good conscience support a tax cut in which so many of the benefits go to the most fortunate among us at the expense of middle-class Americans who need tax relief .",Liberal
"For progressive , the battle for Social Security represents a rare opportunity to stop the newly re-elected president dead in his tracks , to demonstrate the bankruptcy of his extreme conservative agenda , and to point to a new politics of `` shared security '' around which one can build a new majority for change .",Liberal
"The old welfare program , Aid to Families with Dependent Children , too often failed to honor this core value , which helps explain not only its unpopularity with the public but also why it often isolated the very people it was supposed to help .",Conservative
"Because the reality of the time is , as you well know , that we abandoned the Soviet people like dogs and that we resigned ourselves , truly resigned ourselves , to their poor destiny .",Neutral
"Google permits companies to buy ads on searches of the names of their competitors , but about 20 companies have over the years argued that buying their names for advertising purposes violates their trademark rights .",Neutral
"Many locals are ready to assassinate the character of anyone with the temerity to point out that young men raised by stressed grandmothers and violent video games , indoctrinated by antisocial rap lyrics and morally instructed by street gangs , are not likely to succeed in school or society .",Conservative
"Born in 1922 during the age of hyperinflation in Germany , during his formative years he lived through the Great Depression and the rise of Adolf Hitler , making him a witness to the damages caused by state intervention in the economy and to the dangers of totalitarian ideologies .",Conservative
"And because of various lucky breaks aside from the successes of feminism-like the closer convergence of our activism-our marriage eventually turned out close to the way I had once dreamed marriage could be , but better ( because before feminism I could not have had such a good dream ) .",Conservative
"Polities and real estate can make an unsavory combination : More than one Chicago politician , including Obania , has found himself in hot water after accepting real-estate favors from politically interested friends . )",Neutral
"Before the New Deal , the Supreme Court intervened aggressively to deny Congress the power to control the abuses of a market economy .",Liberal
"He believes that the civic virtues are like muscles , strengthened by exercise and atrophied with disuse , so he wants Americans to exercise their public virtues in order to weaken the influence of money on their private motives .",Liberal
"The whole implausible performance was intended for federal officials , who had threatened to prosecute whites for killing Indians over the control of land .",Neutral
"This gave them control of American interest rates , and , by virtue of this , control of the stock market , as well as the capacity to have the U.S. government spend without limit by having the Fed create money from nothing .",Conservative
"You might hope to implement good public policy to deal with a problem , but if good public policy is impossible , policy nihilism is the more rational response .",Conservative
"Field 's analysis draws heavily on the work of the economist Hyman Minsky , who argued in the 1970s and 1980s that the search for profits would drive bankers to ever riskier financial investments and the only effective counterforce was tough governmental regulation that placed strict limits on the risks and leverage of the financial sector .",Liberal
"To plan a whole economy , a planner would have to know the value of every product for every person in the economy at every time and place , since the value of things can change drastically depending on the situation .",Conservative
"President Obama is a gifted rhetorician who will argue as he must given widespread anger and economic insecurity that he is the people 's champion against the entrenched status quo of banks , large corporations , and their phalanx of lobbyists .",Liberal
"An argument heard frequently by those attacking public workers is that while their wages may be low , public workers get huge benefit increases , especially pension benefits .",Liberal
"In earlier chapters we saw how flash trading and other speculation may create volatility , but not really create value : the overall efficiency of the market economy may even be reduced .",Liberal
"In the space of a few generations , faith in freedom has been replaced with faith in regimentation -- of industry , finance , health , education , the environment , transportation , and just about every other activity that creates wealth or encourages independence of thought and action .",Conservative
"The act was designed to create a federal effort to address violence against women by providing uniform definitions of abuse and providing funds for victim advocates , women 's shelters , and counseling .",Liberal
"As FDR conceived it , every American would have the right `` to a useful and remunerative job , '' `` good education , '' `` adequate medical care and the opportunity to ... enjoy good health , '' and `` adequate protection from the economic fears of old age , sickness , accident , and unemployment .",Liberal
"When Democrats stray from these tenets in education , they end up divided , weak , and vulnerable , reduced to arguing that the nation 's most egalitarian and vital public institutions are n't worth trying to improve .",Conservative
"What surprised me was the strong reaction from the head of the National Economic Council ( later , secretary of Treasury ) Bob Rubin : he suggested that we were trying to wage class warfare .",Liberal
"Unchecked global warming will likely produce a lot of human misery around the world , but not all of that misery will create military threats .",Liberal
"To solve deep economic problems , successive governments of New Zealand set out to eliminate the deficit , lower unemployment , and increase investment by shrinking the public sector , reforming or eliminating expensive programs , privatizing government enterprises , and reforming a burdensome regulatory process that was weakening our economy .",Conservative
"NOMINEE 4 Rep. Steve King ( R-Iowa ) does n't just support building a wall at the border ; he wants to run 2,000 miles of electric fence on top of it , carrying `` the kind of current that would not kill somebody , but it would simply be a discouragement for them to be fooling around with it . ''",Liberal
"According to OpenSecrets.org , AFSCME 's `` biggest priorities are raising the minimum wage , battling efforts to privatize public sector jobs and fighting efforts to substitute vacation time for overtime pay for millions of workers ... AFSCME actively opposed ... partial privatization of Social Security ( and ) during the 2008 presidential election , it strongly supported Barack Obama .",Liberal
"It 's an easy way to hitch a ride , but it undermines Democratic leaders ' ability to get the credit their party deserves for having created the programs voters now see as part of the landscape , and to garner citizen support for future programs .",Liberal
"On MSNBC in April , West told the Reverend Al Sharpton , a White House ally , `` I worry about you , brother , because you can be easily manipulated by those in the White House who do have the interests of Wall Street oligarchs , who do have the interests of corporate plutocrats , and you oppose .",Liberal
"More confirmation came last November , at the height of passengers ' fury over the TSA 's sexual assaults , when the agency 's iiber-fuhrer confessed that she lusts to irradiate and molest all travelers , not just those who take to the skies .",Conservative
"Many farmers are also using integrated food\/energy systems and generate their own sources of energy using human and animal labor , biogas , and windmills , in addition to producing biofuel crops such as jatrophaintercropped with cassava .",Liberal
"Or maybe you just knew , without anyone needing to point out the obvious , that creating trillions in money and credit out of thin air to pay for bailouts and unfunded government promises was a really bad idea .",Conservative
"In 1976 Ivan the Terrible , a summer replacement sitcom created by Alan King , depicted impoverished Muscovites suffering deprivations and corny bread line jokes while living in a cramped one-bedroom apartment .",Liberal
We have assigned pluses to the `` yeas '' because allowing Mexican trucks to travel freely across U.S. highways presents a threat to our national security and displaces American truckers whose jobs would be lost to Mexican workers .,Conservative
"`` I plan on teaching my kids how important it is to live within your means and hope to teach them the value of a hard-earned dollar , '' Ketterer said , echoing sentiments held by untold generations of mothers and fathers who likewise hoped to see their kids live better , more secure and happy lives than the generations that preceded them .",Neutral
", labor-consumer-environmental protection , restrictions on dangerous products , small business protection , support for strategic and emerging industries , land reform , community and worker control ( that is , the foundations of authentic democracy ) , labor actions ( which could be construed as illegal threats to order ) , and so on .",Liberal
"The legislation creates a zero-tolerance standard for sexual assaults in prison by , among other things , creating the National Prison Rape Elimination Commission to develop standards for reform to guide corrections officials in preventing prison rapes and hold them accountable for achieving results .",Liberal
"The judiciary and the bureaucracies are staffed with intellectuals , as that term is used in this book , and thus tend to share the views and accept the agendas of modern liberalism .",Conservative
"Only a movement among workers themselves , in which rank-and-file members play a much more active role , can build unions that will survive an employer offensive , and that can fight effectively for social reforms from single-payer health care to true legalization and equality for immigrants .",Liberal
Horowitz exemplifies the irritating and threatening reminder to tyranny that human freedom and the triumph of the human spirit can ultimately never be suffocated or suppressed .,Neutral
"In Words Like Loaded Pistols , he sets out to share his enthusiasm for rhetoric , and , with only an occasional misfire , he succeeds admirably , in large part because of his unflagging good nature and offbeat sense of humor .",Neutral
"In 2012 , this hundred-year history of campaign-finance controls died , thanks to five U.S. Supreme Court justices who decided , in the 2010 Citizens United case , that corporations can use their money to express free speech , most notably in their efforts to influence federal elections .",Liberal
"Perhaps the best opportunity to create such a system came in the late 1940s , when Harry Truman attempted to create a system that would have looked essentially like Medicare for the whole population .",Conservative
"When a conservative advocates peace through strength and rejects appeasement , he does so based on a worldview that recognizes the existence of good and evil in the world , and on our shared historical experience that the appeasement of tyrants is both immoral and dangerous .",Conservative
"For example , polar bears are portrayed as a starving , threatened species -- usually pictured sitting in a forlorn-looking pose , floating on a chunk of ice -- devastated from hunger brought about by limited hunting opportunities that are the result of thin and reduced Arctic ice , when in reality polar bear numbers are increasing , and may in fact be at record levels . ''",Conservative
"I still have my trapline to check , more vermin to kill , feeders to fill , fence to check and fix , guitars to abuse , food plots to disc and plant , barns to sweep , trash to burn , cedars to cut , chainsaws to adjust , and a flat tire on an ATV to get unstuck and fixed .",Neutral
"This is shown by the fact that He allowed His first creatures to misuse that faculty , to commit the sin we call original , and thereby to lose the integrity with which they were created .",Conservative
"Tax and regulatory burdens that drive up our energy costs have a tremendous negative impact on our competitiveness vis-a-vis foreign production and , ultimately , kill domestic jobs .",Conservative
"Feminist scholars spin this as `` the dominant white male ideology behind lynching ... that white womanhood was in need of protection against black men , '' suggesting fantastically that white `` patriarchy '' used rape accusations to break up a progressive political romance developing between black men and white women .",Conservative
"They can , if they have the strategic ability and foresight , purchase properties and `` land bank '' them for future use - or they can try to reclaim some as affordable , energy-retrofitted housing , creating good jobs to make it happen .",Liberal
"Hezbollah chief Hassan Nasrallah , as a result , recently announced his intention to stop confronting Siniora and agreed to rely on elections to change the political equation in Lebanon .",Liberal
Publishers desperate to wedge their wares into the declining number of pages that the declining number of magazines devote to books eagerly send stacks of free copies . ),Neutral
"The unplanned order of old buildings , mixed uses , and formal conventions , Jacobs argued , protects people from danger and makes decent lives for them possible .",Liberal
"All of this is fine and good , but it ignores the real problem : America 's shaky economy is not a private but a government-based problem .",Conservative
"Because virtually all members of the Iranian elite , including moderate ones , appreciate the value of having nuclear weapons -- they are a symbol of national power , they can be useful for deterring the United States , and they are seen as promoting Iranian dominance throughout the Middle East .",Neutral
"And producing recycled paper causes 74 percent less air pollution and 35 percent less water pollution , while it creates five times the number of jobs as producing paper from trees .",Neutral
"From the foregoing it should be apparent that it is not free-enterprise capitalism that is evil , but , rather , it is the people who abuse such an economic system who are evil .",Conservative
"In the economy , I have argued that the village elders have treated the poor as disabled victims who need to be permanently attached to government life support .",Conservative
"Just because he was not a card-carrying Communist Party member does n't mean he did n't have 100 percent progressive politics , which he brought into all his work , even when his conflation of folk song with protest song hurt the cause of folk music .",Neutral
Or of earnest Greenpeace activists denouncing big corporations for killing polar bears and claiming that `` The Science '' shows we 're all doomed -- Greens always use the definite article in relation to science .,Conservative
"Since the collapse of the subprime mortgage market in July 2007 , financial distress and panic have spread uncontrollably not only across countries but also across financial markets themselves , infecting one sector after another : adjustable rate mortgages , commercial paper ( unsecured short-term corporate debt ) , bond insurers , commercial mortgage lending , corporate bonds , auto loans , credit cards , and student loans .",Liberal
"These types of policies encourage U.S. workers to believe that the root cause of existing problems lies not in the functioning of the U.S. economic system , or capitalism more generally , but rather in the behavior of a foreign government .",Conservative
Decades of deindustrialization and outsourcing for the sake of short-term profit have even begun to cut into the mainstay of our national security : our defense sector .,Conservative
"Part of the solution is changing the mind-set of the residents , replacing the alternating feelings of inadequacy , hopelessness , passivity , and defensiveness with more productive emotions and cogitations .",Neutral
"Egypt is a brutal dictatorship , strongly supported by President Obama who has said straight out that he 's not going to criticize them because Egypt helps us maintain stability in the Middle East .",Conservative
"In well-intended efforts to position pro-democracy reforms as nonpartisan , reformers often strip these process reforms of any hint that they would affect the outcomes we actually care about-for example , public decisions around jobs and the economy , health care , energy and the environment , war and peace .",Conservative
"`` It does n't bother me , because I 'm not doing anything wrong '' is a common reply to warnings of danger .",Neutral
"In an earlier book , The Great Unraveling ( 2003 ) , he warned of the dangers of deficit spending when the economy is in good condition , rightly excoriating the Bush administration for its massive defense spending .",Liberal
"Whatever the intruder intended to do , he changed his mind almost immediately when she pointed her gun at him and said , `` If you come any closer to me , I will shoot you to kill .",Conservative
"Seventy-seven percent strongly agreed with the statement that `` an effective probation and parole system would use new technologies to monitor where offenders are and what they are doing , require them to pass drugtests .",Neutral
"Although claiming to reject mystical forces , Wright constantly reassures us that biology and history exude scientific evidence for a `` larger purpose '' and `` a special creative explanation .",Liberal
"However , the air pollution associated with ethanol production and from automobile exhaust fumes as well as water pollution from ethanol plants means that there are significant environmental drawbacks .15 It , of course , also uses land that could be better used to supply food for a malnourished population .",Liberal
"For many low-wage workers , the toughest obstacle to long-term success is unreliable or inadequate child care .",Liberal
"But once they get married , they need the example of loving and giving parents who care for each other and share all things in common with themselves , rather than hoarding important assets for exclusively personal use .",Liberal
"No matter how we protest , these statistics indicate how disconnected we are and how little we value children , especially poor children of color .",Liberal
At times it seems as if any argument is a good argument if it justifies ( or seems to justify ) inserting government into health care .,Conservative
That certainly is not conducive to freedom and independence for anyone other than the central bankers and well-connected special interests that benefit from their monetary policies .,Liberal
"The future Marxist world society will aim at a final solution to the population problem by killing off hundreds of millions of people through abortion , starvation , engineered diseases , needless wars , and the like .",Conservative
A budget crisis created by tax cuts makes it seemingly unthinkable to spend the kind of money necessary to make serious headway on renewable energy .,Liberal
"It rewards failure ( successful companies do not get bailout money ) , encourages more bailouts , and results in more government control .",Conservative
"Such arguments can be constructed on behalf of almost every single thing the party purports to stand for : health-care coverage for those without it , the need to protect the planet and take global warming seriously , energy independence , asset-building for African Americans and other disproportionately poor groups , a path to citizenship for undocumented immigrants , and more .",Liberal
"Incentive was removed and , worse yet , status was withdrawn from working-class families at the lower end , who were told that the system was to blame for their inability to move up the ladder of success .",Conservative
"Though one scholarly article argues for an association between the opening of the supermax and a reduction in aggregate violence against guards , the effect was both small and of extremely short duration .30 Nor did this limited correlation extend to a reduction in violence against prisoners , even though such assaults , too , may lead to a transfer to Tamms .",Neutral
"But , with the Republican leadership making clear it wanted no piece of meaningful health care reform , few Republicans were interested in nego-tiating seriously .",Liberal
